,coin,v,price
0,LUNCUSDT,14617871.45,0.00012393
1,LUNCUSDT,1824466.27,0.0001246
2,LUNCUSDT,720000.0,0.00012464
0,XECUSDT,27189875.0,3.35e-05
0,PEPEUSDT,751651468182.0,1.29e-06
0,FLOKIUSDT,1079641.0,3.589e-05
0,LUNCUSDT,0.0,0.00012377
1,LUNCUSDT,6713606.11,0.00012378
2,LUNCUSDT,4060606.1,0.00012383
3,LUNCUSDT,3942470.05,0.00012388
4,LUNCUSDT,9700857.33,0.00012389
5,LUNCUSDT,650000.0,0.00012392
6,LUNCUSDT,8933873.44,0.00012396
7,LUNCUSDT,39531621.35,0.00012413
0,XECUSDT,91833561.0,3.313e-05
1,XECUSDT,75179366.0,3.315e-05
2,XECUSDT,25533413.0,3.343e-05
0,FLOKIUSDT,2681680.0,3.54e-05
1,FLOKIUSDT,12230027.0,3.541e-05
2,FLOKIUSDT,38646494.0,3.542e-05
0,LUNCUSDT,3928563.99,0.00012377
1,LUNCUSDT,2410606.11,0.00012378
2,LUNCUSDT,4748747.98,0.00012382
3,LUNCUSDT,17377064.98,0.00012383
4,LUNCUSDT,13688265.51,0.00012389
5,LUNCUSDT,34710302.14,0.00012396
0,PEPEUSDT,726049699072.0,1.29e-06
0,FLOKIUSDT,26919079.0,3.541e-05
1,FLOKIUSDT,48646494.0,3.542e-05
2,FLOKIUSDT,67002781.0,3.543e-05
3,FLOKIUSDT,12146164.0,3.544e-05
4,FLOKIUSDT,49638197.0,3.572e-05
0,LUNCUSDT,1629606.11,0.00012378
1,LUNCUSDT,32992442.61,0.00012381
2,LUNCUSDT,4748747.98,0.00012382
3,LUNCUSDT,13377064.98,0.00012383
4,LUNCUSDT,1518271.5,0.00012426
0,PEPEUSDT,726055566791.0,1.29e-06
0,FLOKIUSDT,12230027.0,3.541e-05
1,FLOKIUSDT,38646494.0,3.542e-05
2,FLOKIUSDT,92112781.0,3.543e-05
3,FLOKIUSDT,50554907.0,3.545e-05
0,LUNCUSDT,0.0,0.00012376
1,LUNCUSDT,2350000.0,0.00012377
2,LUNCUSDT,60606.11,0.00012378
0,BONKUSDT,0.0,1.17e-05
1,BONKUSDT,1381766089.0,1.171e-05
2,BONKUSDT,2195986789.0,1.172e-05
3,BONKUSDT,6663317720.0,1.173e-05
4,BONKUSDT,4931443232.0,1.174e-05
0,SHIBUSDT,14074699420.0,4.8e-05
0,BONKUSDT,1402266538.0,1.171e-05
1,BONKUSDT,6642817271.0,1.173e-05
0,LUNCUSDT,9377064.98,0.00012383
0,XECUSDT,61137761.0,3.315e-05
1,XECUSDT,90809855.0,3.319e-05
0,BONKUSDT,1699294179.0,1.186e-05
1,BONKUSDT,1222376317.0,1.187e-05
0,FLOKIUSDT,26172576.0,3.541e-05
1,FLOKIUSDT,48646494.0,3.542e-05
2,FLOKIUSDT,67002781.0,3.543e-05
3,FLOKIUSDT,30729919.0,3.545e-05
4,FLOKIUSDT,26109785.0,3.546e-05
5,FLOKIUSDT,8411188.0,3.585e-05
0,XECUSDT,70581638.0,3.314e-05
0,BONKUSDT,1342773538.0,1.171e-05
0,SHIBUSDT,1205678399.0,9.66e-06
1,SHIBUSDT,11518065669.0,9.67e-06
0,PEPEUSDT,726055566791.0,1.29e-06
1,PEPEUSDT,526970757311.0,1.5e-06
0,FLOKIUSDT,58877172.0,3.584e-05
0,SHIBUSDT,1203930375.0,9.66e-06
0,PEPEUSDT,731504439957.0,1.29e-06
0,LUNCUSDT,0.0,0.00012376
1,LUNCUSDT,2350000.0,0.00012377
2,LUNCUSDT,1377065.0,0.00012385
3,LUNCUSDT,9931798.05,0.00012386
4,LUNCUSDT,42647470.05,0.00012388
5,LUNCUSDT,21863492.24,0.00012394
6,LUNCUSDT,5106019.45,0.00012425
7,LUNCUSDT,710386.55,0.00012426
0,XECUSDT,107917277.0,3.313e-05
0,BONKUSDT,2237378029.0,1.186e-05
1,BONKUSDT,684292467.0,1.187e-05
0,LUNCUSDT,2177738.39,0.00012377
0,XECUSDT,5348923.0,3.342e-05
0,LUNCUSDT,187935.45,0.00012377
1,LUNCUSDT,35480424.77,0.00012385
2,LUNCUSDT,15793060.18,0.00012395
3,LUNCUSDT,17683333.75,0.00012398
4,LUNCUSDT,40930110.43,0.000124
0,SHIBUSDT,1214282341.0,9.66e-06
0,PEPEUSDT,716014069942.0,1.29e-06
0,FLOKIUSDT,83317556.0,3.543e-05
1,FLOKIUSDT,31742466.0,3.545e-05
2,FLOKIUSDT,8782463.0,3.546e-05
0,LUNCUSDT,771207.36,0.00012384
1,LUNCUSDT,35480424.77,0.00012385
2,LUNCUSDT,15793060.18,0.00012395
0,BONKUSDT,1342913720.0,1.171e-05
1,BONKUSDT,870962814.0,1.185e-05
2,BONKUSDT,1554784172.0,1.186e-05
3,BONKUSDT,1789466290.0,1.227e-05
0,PEPEUSDT,721790210741.0,1.29e-06
0,FLOKIUSDT,67002781.0,3.543e-05
1,FLOKIUSDT,28460939.0,3.544e-05
0,LUNCUSDT,771207.36,0.00012384
1,LUNCUSDT,35480424.77,0.00012385
2,LUNCUSDT,15793060.18,0.00012395
0,SHIBUSDT,11822844539.0,9.67e-06
1,SHIBUSDT,9717231703.0,9.68e-06
0,PEPEUSDT,359271020592.0,1.3e-06
0,LUNCUSDT,128979.05,0.00012377
1,LUNCUSDT,771207.36,0.00012384
2,LUNCUSDT,1377065.0,0.00012385
3,LUNCUSDT,6164682.27,0.00012391
4,LUNCUSDT,49896419.95,0.00012395
0,LUNCUSDT,771207.36,0.00012384
1,LUNCUSDT,1377065.0,0.00012385
2,LUNCUSDT,49896419.95,0.00012395
0,XECUSDT,70581638.0,3.314e-05
1,XECUSDT,90809855.0,3.319e-05
0,SHIBUSDT,12017173895.0,9.67e-06
0,PEPEUSDT,721784343022.0,1.29e-06
1,PEPEUSDT,177242765144.0,1.41e-06
0,LUNCUSDT,2462622.12,0.00012376
1,LUNCUSDT,113305.21,0.00012377
2,LUNCUSDT,623487.78,0.00012379
3,LUNCUSDT,8697620.43,0.0001238
4,LUNCUSDT,36992442.61,0.00012381
5,LUNCUSDT,1377064.98,0.00012383
6,LUNCUSDT,771207.36,0.00012384
7,LUNCUSDT,35480424.77,0.00012385
8,LUNCUSDT,8789205.07,0.00012387
9,LUNCUSDT,39521157.94,0.00012395
10,LUNCUSDT,1583270.86,0.00012456
11,LUNCUSDT,1021898.06,0.0001246
12,LUNCUSDT,720000.0,0.00012464
0,SHIBUSDT,12160922437.0,9.67e-06
0,PEPEUSDT,721755501258.0,1.29e-06
0,SHIBUSDT,12589469437.0,9.67e-06
0,LUNCUSDT,2333415.48,0.00012376
1,LUNCUSDT,32992442.61,0.00012381
2,LUNCUSDT,4748747.98,0.00012382
3,LUNCUSDT,5377064.98,0.00012383
0,BONKUSDT,4931443232.0,1.174e-05
0,PEPEUSDT,358434638130.0,1.3e-06
0,FLOKIUSDT,28460939.0,3.544e-05
1,FLOKIUSDT,106460570.0,3.549e-05
2,FLOKIUSDT,3003930.0,3.55e-05
0,LUNCUSDT,568297.33,0.00012376
1,LUNCUSDT,141405.22,0.00012379
2,LUNCUSDT,771207.36,0.00012384
3,LUNCUSDT,35480424.77,0.00012385
4,LUNCUSDT,8789205.07,0.00012387
5,LUNCUSDT,1583270.86,0.00012456
6,LUNCUSDT,1021898.06,0.0001246
0,PEPEUSDT,354338777605.0,1.3e-06
0,LUNCUSDT,0.0,0.00012376
1,LUNCUSDT,173906.43,0.00012377
2,LUNCUSDT,623487.78,0.00012379
3,LUNCUSDT,32992442.61,0.00012381
4,LUNCUSDT,4748747.98,0.00012382
5,LUNCUSDT,39480424.75,0.00012383
6,LUNCUSDT,771207.36,0.00012384
7,LUNCUSDT,1377065.0,0.00012385
8,LUNCUSDT,8789205.07,0.00012387
9,LUNCUSDT,1583270.86,0.00012456
10,LUNCUSDT,1021898.06,0.0001246
0,PEPEUSDT,723286970914.0,1.29e-06
0,LUNCUSDT,581369.52,0.00012376
1,LUNCUSDT,141405.22,0.00012379
2,LUNCUSDT,4748747.98,0.00012382
3,LUNCUSDT,9377064.98,0.00012383
4,LUNCUSDT,771207.36,0.00012384
5,LUNCUSDT,35480424.77,0.00012385
6,LUNCUSDT,21863492.24,0.00012394
7,LUNCUSDT,26241261.45,0.00012405
8,LUNCUSDT,1583270.86,0.00012456
9,LUNCUSDT,1021898.06,0.0001246
10,LUNCUSDT,34159297.11,0.00012733
0,SHIBUSDT,12535421379.0,9.67e-06
0,PEPEUSDT,723292838633.0,1.29e-06
0,LUNCUSDT,32992442.61,0.00012381
1,LUNCUSDT,8748747.98,0.00012382
2,LUNCUSDT,1377064.98,0.00012383
3,LUNCUSDT,771207.36,0.00012384
4,LUNCUSDT,35480424.77,0.00012385
5,LUNCUSDT,8789205.07,0.00012387
6,LUNCUSDT,12075608.07,0.00012393
7,LUNCUSDT,1583270.86,0.00012456
8,LUNCUSDT,1021898.06,0.0001246
9,LUNCUSDT,720000.0,0.00012464
0,SHIBUSDT,11944673996.0,9.67e-06
0,PEPEUSDT,351760401801.0,1.3e-06
0,BONKUSDT,2101079779.0,1.172e-05
1,BONKUSDT,6504156166.0,1.173e-05
2,BONKUSDT,4608354482.0,1.174e-05
3,BONKUSDT,3297437806.0,1.175e-05
0,LUNCUSDT,1937900.54,0.00012376
1,LUNCUSDT,4748747.98,0.00012382
2,LUNCUSDT,5377064.98,0.00012383
3,LUNCUSDT,771207.36,0.00012384
4,LUNCUSDT,35480424.77,0.00012385
5,LUNCUSDT,8789205.07,0.00012387
6,LUNCUSDT,780444.92,0.00012456
7,LUNCUSDT,1021898.06,0.0001246
8,LUNCUSDT,1522310.65,0.00012464
0,PEPEUSDT,349472232278.0,1.3e-06
0,SHIBUSDT,4030376910.0,1.265e-05
0,LUNCUSDT,1884035.74,0.00012376
1,LUNCUSDT,37036233.52,0.0001242
2,LUNCUSDT,61424389.31,0.00012421
3,LUNCUSDT,1522310.65,0.00012464
4,LUNCUSDT,780444.94,0.00012468
0,PEPEUSDT,723286970914.0,1.29e-06
1,PEPEUSDT,302376559255.0,1.31e-06
0,LUNCUSDT,0.0,0.00012376
1,LUNCUSDT,113305.21,0.00012377
2,LUNCUSDT,0.0,0.00012378
3,LUNCUSDT,4748747.98,0.00012382
4,LUNCUSDT,1376745.88,0.00012383
5,LUNCUSDT,12771207.36,0.00012384
6,LUNCUSDT,1377065.0,0.00012385
7,LUNCUSDT,8789205.07,0.00012387
8,LUNCUSDT,8843675.65,0.00012393
9,LUNCUSDT,62802333.01,0.00012394
10,LUNCUSDT,28246961.41,0.00012396
11,LUNCUSDT,2745735.06,0.00012405
12,LUNCUSDT,1824466.27,0.0001246
13,LUNCUSDT,720000.0,0.00012464
0,PEPEUSDT,723292838633.0,1.29e-06
1,PEPEUSDT,304934552938.0,1.31e-06
2,PEPEUSDT,264149365535.0,1.33e-06
3,PEPEUSDT,198346641596.0,1.35e-06
0,LUNCUSDT,0.0,0.00012376
1,LUNCUSDT,113305.21,0.00012377
2,LUNCUSDT,60601.23,0.00012378
3,LUNCUSDT,141405.22,0.00012379
4,LUNCUSDT,28115754.83,0.00012381
5,LUNCUSDT,4748747.98,0.00012382
6,LUNCUSDT,1376745.88,0.00012383
7,LUNCUSDT,12771207.36,0.00012384
8,LUNCUSDT,35480424.77,0.00012385
9,LUNCUSDT,8843675.65,0.00012393
10,LUNCUSDT,28698973.24,0.00012394
11,LUNCUSDT,2470532.71,0.00012396
12,LUNCUSDT,17683333.75,0.00012398
13,LUNCUSDT,1583270.86,0.00012456
14,LUNCUSDT,1021898.06,0.0001246
15,LUNCUSDT,720000.0,0.00012464
0,SHIBUSDT,12127538794.0,9.67e-06
0,LUNCUSDT,1937900.54,0.00012376
1,LUNCUSDT,28115754.83,0.00012381
2,LUNCUSDT,8748747.98,0.00012382
3,LUNCUSDT,771207.36,0.00012384
4,LUNCUSDT,40696512.99,0.00012407
0,BONKUSDT,1291259235.0,1.171e-05
