,coin,v,price
0,AAVEUSDT,50.941,99.45
1,AAVEUSDT,29.978,99.42
2,AAVEUSDT,123.691,99.4
3,AAVEUSDT,52.36,99.22
4,AAVEUSDT,6.163,99.19
5,AAVEUSDT,21.711,98.9
6,AAVEUSDT,0.445,98.79
7,AAVEUSDT,0.338,35.64
8,AAVEUSDT,0.676,35.63
9,AAVEUSDT,0.169,35.62
10,AAVEUSDT,0.845,35.61
11,AAVEUSDT,0.507,35.6
0,RUNEUSDT,11.6,5.378
0,NEARUSDT,1412.9,3.81
1,NEARUSDT,1925.6,3.809
2,NEARUSDT,3749.3,3.808
3,NEARUSDT,4861.3,3.807
4,NEARUSDT,2125.4,3.806
5,NEARUSDT,3021.9,3.805
6,NEARUSDT,1260.7,3.804
7,NEARUSDT,228.4,3.803
8,NEARUSDT,4898.1,3.8
9,NEARUSDT,100.2,3.766
10,NEARUSDT,1669.3,3.755
11,NEARUSDT,52.4,3.412
0,EGLDUSDT,73.3,57.96
0,DOTUSDT,1548.97,7.777
0,UMAUSDT,227.2,3.984
1,UMAUSDT,569.8,3.983
2,UMAUSDT,599.3,3.982
3,UMAUSDT,344.0,3.981
0,TRBUSDT,0.14,115.05
1,TRBUSDT,3.6,115.04
2,TRBUSDT,15.04,115.03
3,TRBUSDT,7.66,115.0
0,SUSHIUSDT,1319.0,1.684
1,SUSHIUSDT,12959.9,1.682
2,SUSHIUSDT,9003.6,1.679
3,SUSHIUSDT,26284.0,1.678
4,SUSHIUSDT,42785.2,1.677
5,SUSHIUSDT,16313.0,1.667
6,SUSHIUSDT,2660.0,1.666
7,SUSHIUSDT,22593.5,1.66
8,SUSHIUSDT,13496.4,1.4
0,NTRNUSDT,383.2,1.5853
1,NTRNUSDT,1242.1,1.5838
2,NTRNUSDT,0.0,1.5815
0,BALUSDT,35.8,1.68
1,BALUSDT,104.11,1.675
2,BALUSDT,35.9,1.674
3,BALUSDT,3.59,1.672
0,YFIUSDT,0.19899,8363.0
1,YFIUSDT,0.31179,8362.0
2,YFIUSDT,2.53709,8360.0
3,YFIUSDT,0.01101,8342.0
4,YFIUSDT,0.10541,8333.0
0,ALPHAUSDT,135935.0,0.1378
0,TIAUSDT,0.0,16.9302
1,TIAUSDT,31.9,16.9297
2,TIAUSDT,0.0,16.9296
3,TIAUSDT,8.7,16.9295
4,TIAUSDT,0.4,16.9292
5,TIAUSDT,1.5,16.929
6,TIAUSDT,1.1,16.9286
7,TIAUSDT,7.6,16.9285
8,TIAUSDT,1.1,16.9284
9,TIAUSDT,0.0,16.9283
10,TIAUSDT,0.0,16.9282
11,TIAUSDT,0.0,16.9281
12,TIAUSDT,0.0,16.928
13,TIAUSDT,0.0,16.9279
14,TIAUSDT,0.0,16.9278
15,TIAUSDT,0.4,16.9274
16,TIAUSDT,0.0,16.9272
17,TIAUSDT,8.7,16.927
18,TIAUSDT,8.7,16.9265
19,TIAUSDT,0.4,16.9262
20,TIAUSDT,0.0,16.926
21,TIAUSDT,9.1,16.9255
22,TIAUSDT,5.9,16.9244
23,TIAUSDT,0.0,16.9229
24,TIAUSDT,0.0,16.9219
25,TIAUSDT,0.0,16.9216
26,TIAUSDT,1.1,16.9213
27,TIAUSDT,0.0,16.9212
28,TIAUSDT,47.3,16.9133
29,TIAUSDT,36.0,16.9119
30,TIAUSDT,120.5,16.9079
31,TIAUSDT,845.5,16.903
32,TIAUSDT,0.4,16.8978
33,TIAUSDT,29.5,16.8973
34,TIAUSDT,233.3,16.8904
35,TIAUSDT,264.5,16.8689
36,TIAUSDT,0.0,16.8532
37,TIAUSDT,36.1,16.8529
38,TIAUSDT,0.0,16.8528
39,TIAUSDT,0.0,16.8508
0,KSMUSDT,0.671,47.11
0,FILUSDT,27.99,7.801
0,SANDUSDT,6332.0,0.5216
1,SANDUSDT,6856.0,0.5215
2,SANDUSDT,7800.0,0.5214
3,SANDUSDT,26177.0,0.5205
0,INJUSDT,120.3,34.7
1,INJUSDT,604.6,34.69
2,INJUSDT,908.4,34.66
3,INJUSDT,1412.0,34.65
4,INJUSDT,482.4,34.64
5,INJUSDT,52.5,34.56
6,INJUSDT,25.5,34.55
0,STORJUSDT,2668.0,0.7291
0,SXPUSDT,4581.2,0.3594
0,CRVUSDT,4871.2,0.5993
0,SUNUSDT,190662.0,0.01089
1,SUNUSDT,231215.0,0.01088
2,SUNUSDT,14572.0,0.01043
0,BELUSDT,5845.6,0.7354
1,BELUSDT,1124.9,0.7336
2,BELUSDT,4309.1,0.729
3,BELUSDT,14.8,0.7289
4,BELUSDT,5970.2,0.7286
0,ORNUSDT,0.0,1.5658
1,ORNUSDT,0.0,1.5632
2,ORNUSDT,600.0,1.5618
3,ORNUSDT,0.0,1.5601
4,ORNUSDT,0.0,1.5559
5,ORNUSDT,0.0,1.5552
6,ORNUSDT,5.4,1.5548
7,ORNUSDT,0.0,1.5546
8,ORNUSDT,2248.7,1.5527
9,ORNUSDT,17299.9,1.5511
10,ORNUSDT,131.5,1.551
11,ORNUSDT,0.0,1.5279
12,ORNUSDT,0.0,1.5277
13,ORNUSDT,0.0,1.5275
0,AKROUSDT,8937.0,0.005819
1,AKROUSDT,77517.0,0.005818
2,AKROUSDT,258.0,0.005814
3,AKROUSDT,39679.0,0.005807
4,AKROUSDT,6561.0,0.005805
5,AKROUSDT,49074.0,0.005798
0,UNIUSDT,17.97,11.163
1,UNIUSDT,376.03,11.162
2,UNIUSDT,317.21,11.156
3,UNIUSDT,60.83,11.116
4,UNIUSDT,91.89,11.044
5,UNIUSDT,0.0,11.021
6,UNIUSDT,158.27,11.015
7,UNIUSDT,762.63,10.993
0,AUDIOUSDT,2054.1,0.2408
1,AUDIOUSDT,5348.2,0.239
2,AUDIOUSDT,5881.6,0.2389
0,BLZUSDT,3644.0,0.3667
1,BLZUSDT,9777.0,0.3663
2,BLZUSDT,30449.0,0.366
0,FIOUSDT,0.0,0.03349
1,FIOUSDT,12168.0,0.03346
2,FIOUSDT,53031.0,0.03345
3,FIOUSDT,16985.0,0.03334
4,FIOUSDT,27279.0,0.03333
0,DCRUSDT,13.808,20.15
1,DCRUSDT,71.627,20.11
2,DCRUSDT,67.73,20.07
3,DCRUSDT,19.386,19.99
4,DCRUSDT,1.884,19.77
5,DCRUSDT,8.304,19.71
0,AAVEUSDT,125.366,99.51
0,KMDUSDT,7639.0,0.3095
1,KMDUSDT,235.0,0.3069
0,NEARUSDT,1415.0,3.81
1,NEARUSDT,1925.8,3.809
2,NEARUSDT,3747.2,3.808
3,NEARUSDT,2256.4,3.806
4,NEARUSDT,294.4,3.698
5,NEARUSDT,428.9,3.641
0,KSMUSDT,145.144,47.05
1,KSMUSDT,0.161,46.87
2,KSMUSDT,144.23,46.85
0,IRISUSDT,7257.6,0.03328
1,IRISUSDT,18170.7,0.03327
2,IRISUSDT,86329.1,0.03321
0,FILUSDT,32.26,7.828
1,FILUSDT,2453.64,7.827
2,FILUSDT,921.69,7.814
3,FILUSDT,9486.88,7.796
4,FILUSDT,1738.2,7.795
0,MKRUSDT,11.4601,2022.0
0,EGLDUSDT,51.81,57.92
0,DOTUSDT,1042.19,7.772
1,DOTUSDT,1013.04,7.771
2,DOTUSDT,1556.15,7.762
0,UMAUSDT,227.2,3.984
1,UMAUSDT,789.5,3.975
2,UMAUSDT,8.4,1.438
3,UMAUSDT,176.4,1.437
0,TRBUSDT,0.0,114.63
1,TRBUSDT,0.06,114.61
2,TRBUSDT,36.81,114.6
3,TRBUSDT,25.63,114.59
4,TRBUSDT,0.84,114.58
5,TRBUSDT,3.94,114.57
6,TRBUSDT,0.92,114.56
0,SUSHIUSDT,182.3,1.684
1,SUSHIUSDT,4326.4,1.683
2,SUSHIUSDT,11668.4,1.682
3,SUSHIUSDT,7805.4,1.681
4,SUSHIUSDT,10443.6,1.68
5,SUSHIUSDT,14946.1,1.679
6,SUSHIUSDT,24078.9,1.678
