coin,amount_max,till_date
ALPHAUSDT,89902.0,2024-02-18
AAVEUSDT,783587.0,2024-02-18
NEARUSDT,594804.0,2024-02-18
FILUSDT,1236637.0,2024-02-18
INJUSDT,883276.0,2024-02-18
AUDIOUSDT,240242.0,2024-02-18
CTKUSDT,75993.0,2024-02-18
AKROUSDT,1078161.0,2024-02-18
AXSUSDT,435338.0,2024-02-18
HARDUSDT,61202.0,2024-02-18
STRAXUSDT,1103261.0,2024-02-18
UNFIUSDT,1815879.0,2024-02-18
ROSEUSDT,271537.0,2024-02-18
AVAUSDT,75839.0,2024-02-18
XEMUSDT,82166.0,2024-02-18
SKLUSDT,96343.0,2024-02-18
GRTUSDT,410573.0,2024-02-18
JUVUSDT,151007.0,2024-02-18
PSGUSDT,165380.0,2024-02-18
1INCHUSDT,266707.0,2024-02-18
REEFUSDT,251362.0,2024-02-18
OGUSDT,998621.0,2024-02-18
ATMUSDT,178860.0,2024-02-18
ASRUSDT,153902.0,2024-02-18
CELOUSDT,256142.0,2024-02-18
RIFUSDT,140847.0,2024-02-18
TRUUSDT,266383.0,2024-02-18
CKBUSDT,72023.0,2024-02-18
TWTUSDT,477934.0,2024-02-18
FIROUSDT,33438.0,2024-02-18
LITUSDT,385727.0,2024-02-18
SFPUSDT,521369.0,2024-02-18
DODOUSDT,662401.0,2024-02-18
CAKEUSDT,370546.0,2024-02-18
ACMUSDT,157213.0,2024-02-18
BADGERUSDT,149508.0,2024-02-18
FISUSDT,105000.0,2024-02-18
OMUSDT,45160.0,2024-02-18
PONDUSDT,123152.0,2024-02-18
DEGOUSDT,77677.0,2024-02-18
ALICEUSDT,146443.0,2024-02-18
LINAUSDT,579632.0,2024-02-18
PERPUSDT,2329160.0,2024-02-18
SUPERUSDT,108473.0,2024-02-18
CFXUSDT,1083117.0,2024-02-18
TKOUSDT,49377.0,2024-02-18
PUNDIXUSDT,62028.0,2024-02-18
TLMUSDT,209513.0,2024-02-18
BARUSDT,134611.0,2024-02-18
FORTHUSDT,336318.0,2024-02-18
BAKEUSDT,1440173.0,2024-02-18
BURGERUSDT,206304.0,2024-02-18
SLPUSDT,109600.0,2024-02-18
SHIBUSDT,4443854.0,2023-12-03
ICPUSDT,453846.0,2024-02-18
ARUSDT,248603.0,2024-02-18
POLSUSDT,43428.0,2024-02-18
MDXUSDT,131752.0,2024-02-18
MASKUSDT,732237.0,2024-02-18
LPTUSDT,1696691.0,2024-02-18
XVGUSDT,492450.0,2024-02-18
ATAUSDT,209690.0,2024-02-18
GTCUSDT,533690.0,2024-02-18
ERNUSDT,105343.0,2024-02-18
KLAYUSDT,240774.0,2024-02-18
PHAUSDT,159021.0,2024-02-18
BONDUSDT,1501488.0,2024-02-18
MLNUSDT,182144.0,2024-02-18
DEXEUSDT,28952.0,2024-02-18
C98USDT,490658.0,2024-02-18
CLVUSDT,169567.0,2024-02-18
QNTUSDT,299300.0,2024-02-18
FLOWUSDT,327836.0,2024-02-18
TVKUSDT,113674.0,2024-02-18
MINAUSDT,274008.0,2024-02-18
RAYUSDT,136800.0,2024-02-18
FARMUSDT,49908.0,2024-02-18
ALPACAUSDT,359688.0,2024-02-18
QUICKUSDT,181956.0,2024-02-18
MBOXUSDT,128178.0,2024-02-18
FORUSDT,37694.0,2024-02-18
REQUSDT,217290.0,2024-02-18
GHSTUSDT,49549.0,2024-02-18
WAXPUSDT,354669.0,2024-02-18
GNOUSDT,9514.0,2024-02-18
XECUSDT,328829.0,2023-12-03
ELFUSDT,202237.0,2024-02-18
DYDXUSDT,1230816.0,2024-02-18
IDEXUSDT,186070.0,2024-02-18
VIDTUSDT,90162.0,2024-02-18
USDPUSDT,840615.0,2023-11-01
GALAUSDT,1377015.0,2024-02-18
ILVUSDT,136668.0,2024-02-18
YGGUSDT,2953850.0,2024-02-18
SYSUSDT,51887.0,2024-02-18
DFUSDT,76036.0,2024-02-18
FIDAUSDT,323132.0,2024-02-18
FRONTUSDT,1898497.0,2024-02-18
CVPUSDT,124120.0,2024-02-18
AGLDUSDT,611387.0,2024-02-18
RADUSDT,216916.0,2024-02-18
BETAUSDT,147670.0,2024-02-18
RAREUSDT,66729.0,2024-02-18
LAZIOUSDT,106017.0,2024-02-18
CHESSUSDT,139487.0,2024-02-18
ADXUSDT,64831.0,2024-02-18
AUCTIONUSDT,1119487.0,2024-02-18
DARUSDT,242538.0,2024-02-18
BNXUSDT,364407.0,2024-02-18
MOVRUSDT,181877.0,2024-02-18
CITYUSDT,107110.0,2024-02-18
ENSUSDT,159727.0,2024-02-18
KP3RUSDT,82368.0,2024-02-18
QIUSDT,51618.0,2024-02-18
PORTOUSDT,113363.0,2024-02-18
POWRUSDT,144693.0,2024-02-18
VGXUSDT,459961.0,2024-02-18
JASMYUSDT,402005.0,2024-02-18
AMPUSDT,296400.0,2024-02-18
PLAUSDT,234882.0,2024-02-18
PYRUSDT,212987.0,2024-02-18
RNDRUSDT,866991.0,2024-02-18
ALCXUSDT,172405.0,2024-02-18
SANTOSUSDT,210645.0,2024-02-18
MCUSDT,750887.0,2023-11-01
BICOUSDT,192721.0,2024-02-18
FLUXUSDT,200279.0,2024-02-18
FXSUSDT,480794.0,2024-02-18
VOXELUSDT,214285.0,2024-02-18
HIGHUSDT,608332.0,2024-02-18
CVXUSDT,119658.0,2024-02-18
PEOPLEUSDT,123786.0,2024-02-18
OOKIUSDT,343245.0,2024-02-18
SPELLUSDT,479595.0,2024-02-18
JOEUSDT,471205.0,2024-02-18
ACHUSDT,327899.0,2024-02-18
IMXUSDT,469117.0,2024-02-18
GLMRUSDT,526964.0,2024-02-18
LOKAUSDT,170295.0,2024-02-18
SCRTUSDT,77609.0,2024-02-18
API3USDT,865964.0,2024-02-18
BTTCUSDT,39671.0,2023-12-03
ACAUSDT,226631.0,2024-02-18
XNOUSDT,70080.0,2024-02-18
WOOUSDT,245256.0,2024-02-18
