,coin,v,price
0,PENDLEUSDT,3.3,2.8172
1,PENDLEUSDT,0.0,2.8174
2,PENDLEUSDT,580.1,2.8181
3,PENDLEUSDT,262.7,2.8184
4,PENDLEUSDT,0.0,2.8191
5,PENDLEUSDT,821.7,2.82
6,PENDLEUSDT,81.3,2.8201
7,PENDLEUSDT,0.0,2.8251
8,PENDLEUSDT,1524.7,2.8254
9,PENDLEUSDT,3.1,2.8257
10,PENDLEUSDT,0.0,2.8259
11,PENDLEUSDT,5.6,2.8313
12,PENDLEUSDT,32.5,2.8485
13,PENDLEUSDT,943.4,2.8491
0,OSMOUSDT,654.46,1.5839
1,OSMOUSDT,284.53,1.584
2,OSMOUSDT,0.0,1.5841
3,OSMOUSDT,226.9,1.5852
4,OSMOUSDT,0.0,1.5853
5,OSMOUSDT,0.0,1.5856
0,LEVERUSDT,813268.0,0.001862
1,LEVERUSDT,6812063.0,0.001865
2,LEVERUSDT,5438496.0,0.001866
3,LEVERUSDT,1669017.0,0.001867
4,LEVERUSDT,865397.0,0.00187
0,PHBUSDT,163.0,1.9011
1,PHBUSDT,383.0,1.9035
2,PHBUSDT,1237.0,1.9037
3,PHBUSDT,1361.0,1.9552
0,LOOMUSDT,24388.0,0.10073
1,LOOMUSDT,1410.0,0.10116
2,LOOMUSDT,917.0,0.10168
0,FDUSDUSDT,2393245.0,1.0006
0,HIFIUSDT,0.0,0.6769
1,HIFIUSDT,300.3,0.6816
2,HIFIUSDT,270.2,0.6824
3,HIFIUSDT,2117.5,0.6827
0,VIBUSDT,945.0,0.07376
1,VIBUSDT,53407.0,0.07435
0,MAGICUSDT,7167.8,1.257
1,MAGICUSDT,2437.9,1.2576
0,PROMUSDT,44.6,11.228
1,PROMUSDT,0.0,11.232
0,POLYXUSDT,9068.6,0.1869
0,MAVUSDT,290.0,0.6675
1,MAVUSDT,355.0,0.6676
2,MAVUSDT,133.0,0.6677
3,MAVUSDT,35.0,0.6678
4,MAVUSDT,737.0,0.6679
5,MAVUSDT,5116.0,0.668
6,MAVUSDT,651.0,0.6681
7,MAVUSDT,7241.0,0.6682
8,MAVUSDT,3847.0,0.6683
9,MAVUSDT,2673.0,0.6684
10,MAVUSDT,8045.0,0.6685
11,MAVUSDT,3951.0,0.6686
12,MAVUSDT,1469.0,0.6687
13,MAVUSDT,3496.0,0.6688
14,MAVUSDT,1836.0,0.6689
15,MAVUSDT,58.0,0.6693
16,MAVUSDT,3635.0,0.6695
17,MAVUSDT,20.0,0.6697
18,MAVUSDT,898.0,0.6699
19,MAVUSDT,738.0,0.6701
0,IDUSDT,1043.0,0.59115
1,IDUSDT,1895.0,0.59158
2,IDUSDT,1964.0,0.59162
0,SYNUSDT,8.4,0.7125
1,SYNUSDT,473.0,0.7127
0,AERGOUSDT,4720.0,0.1489
1,AERGOUSDT,25434.0,0.1501
0,USTCUSDT,0.0,0.03207693
1,USTCUSDT,8000.0,0.032101
2,USTCUSDT,0.0,0.03210104
3,USTCUSDT,11607.0,0.03215773
0,SUIUSDT,2256.0,1.6243
1,SUIUSDT,1502.9,1.6244
2,SUIUSDT,2375.4,1.6245
3,SUIUSDT,2120.6,1.6246
4,SUIUSDT,1468.5,1.6247
5,SUIUSDT,3503.2,1.6248
6,SUIUSDT,2574.6,1.6249
7,SUIUSDT,2280.6,1.625
8,SUIUSDT,2436.5,1.6251
9,SUIUSDT,7184.4,1.6252
10,SUIUSDT,1826.7,1.6253
11,SUIUSDT,7735.9,1.6254
12,SUIUSDT,703.7,1.6255
13,SUIUSDT,870.0,1.6256
14,SUIUSDT,1352.5,1.6257
15,SUIUSDT,2078.6,1.6258
16,SUIUSDT,2936.9,1.6259
17,SUIUSDT,3474.5,1.626
18,SUIUSDT,737.0,1.6261
19,SUIUSDT,1461.9,1.6262
20,SUIUSDT,2622.7,1.6263
21,SUIUSDT,3562.7,1.6264
22,SUIUSDT,1649.7,1.6265
23,SUIUSDT,3231.4,1.6266
24,SUIUSDT,1410.6,1.6268
25,SUIUSDT,3323.7,1.6269
26,SUIUSDT,1585.6,1.6271
27,SUIUSDT,5983.7,1.6273
28,SUIUSDT,360.0,1.6274
29,SUIUSDT,2568.8,1.6275
30,SUIUSDT,217.4,1.6278
31,SUIUSDT,5345.1,1.628
32,SUIUSDT,4536.3,1.6281
33,SUIUSDT,30815.6,1.6282
34,SUIUSDT,5107.2,1.6285
35,SUIUSDT,1697.7,1.63
36,SUIUSDT,1114.7,1.6302
37,SUIUSDT,195.7,1.6799
0,LQTYUSDT,3996.9,1.52
1,LQTYUSDT,7551.6,1.523
2,LQTYUSDT,3554.7,1.524
0,UFTUSDT,631.0,0.4263
1,UFTUSDT,736.0,0.4266
2,UFTUSDT,7215.0,0.4267
3,UFTUSDT,1571.0,0.4268
0,EDUUSDT,0.0,0.82721
1,EDUUSDT,15.0,0.82722
2,EDUUSDT,0.0,0.82728
3,EDUUSDT,87.0,0.82729
4,EDUUSDT,14.0,0.8273
5,EDUUSDT,0.0,0.82731
6,EDUUSDT,0.0,0.82732
7,EDUUSDT,0.0,0.82733
8,EDUUSDT,44.0,0.82737
9,EDUUSDT,133.0,0.82738
10,EDUUSDT,0.0,0.82742
11,EDUUSDT,44.0,0.82743
12,EDUUSDT,0.0,0.82744
13,EDUUSDT,0.0,0.82745
14,EDUUSDT,54.0,0.82746
15,EDUUSDT,44.0,0.82747
16,EDUUSDT,18.0,0.82748
17,EDUUSDT,0.0,0.82749
18,EDUUSDT,55.0,0.8275
19,EDUUSDT,0.0,0.82755
20,EDUUSDT,200.0,0.82756
21,EDUUSDT,0.0,0.82766
22,EDUUSDT,411.0,0.82769
23,EDUUSDT,200.0,0.82788
24,EDUUSDT,0.0,0.82789
25,EDUUSDT,0.0,0.82795
26,EDUUSDT,0.0,0.82799
27,EDUUSDT,871.0,0.828
28,EDUUSDT,298.0,0.82825
29,EDUUSDT,2390.0,0.82826
30,EDUUSDT,0.0,0.82835
31,EDUUSDT,0.0,0.82836
32,EDUUSDT,1070.0,0.8285
33,EDUUSDT,0.0,0.82856
34,EDUUSDT,2375.0,0.82861
35,EDUUSDT,241.0,0.82866
36,EDUUSDT,55.0,0.8287
37,EDUUSDT,2375.0,0.82874
38,EDUUSDT,5492.0,0.82875
39,EDUUSDT,0.0,0.82889
40,EDUUSDT,1278.0,0.82937
41,EDUUSDT,0.0,0.82958
42,EDUUSDT,538.0,0.8309
43,EDUUSDT,0.0,0.83131
44,EDUUSDT,0.0,0.84452
0,GMXUSDT,32.459,50.76
1,GMXUSDT,92.63,50.9
2,GMXUSDT,605.339,52.0
0,COMBOUSDT,17369.6,0.837
1,COMBOUSDT,1483.2,0.847
2,COMBOUSDT,4300.6,0.848
0,OPUSDT,6543.9,3.675
1,OPUSDT,8027.53,3.676
2,OPUSDT,9699.95,3.677
3,OPUSDT,5357.82,3.678
4,OPUSDT,25307.58,3.679
5,OPUSDT,6219.68,3.68
6,OPUSDT,38952.68,3.681
7,OPUSDT,1528.02,3.691
8,OPUSDT,971.85,3.718
9,OPUSDT,6125.12,3.729
10,OPUSDT,7311.19,3.732
