,coin,v,price
0,TUSDUSDT,1295.0,0.9752
1,TUSDUSDT,10355.0,0.9749
0,ZILUSDT,50018.8,0.02365
1,ZILUSDT,74703.0,0.02364
2,ZILUSDT,170806.1,0.02361
3,ZILUSDT,266322.0,0.0236
4,ZILUSDT,136553.8,0.02359
5,ZILUSDT,29754.7,0.02344
0,EOSUSDT,66286.3,0.794
0,TFUELUSDT,12841.0,0.04954
1,TFUELUSDT,25271.0,0.04947
0,LTCUSDT,1015.377,69.87
1,LTCUSDT,579.143,69.86
2,LTCUSDT,190.362,69.85
3,LTCUSDT,757.12,69.84
4,LTCUSDT,104.867,69.81
5,LTCUSDT,1261.862,69.75
0,BATUSDT,20006.0,0.2549
1,BATUSDT,9387.0,0.2548
2,BATUSDT,16499.0,0.2547
3,BATUSDT,9242.0,0.2546
4,BATUSDT,9467.0,0.2545
5,BATUSDT,13700.0,0.2543
0,BTCUSDT,9.76133,51587.1
1,BTCUSDT,0.2953,51587.09
2,BTCUSDT,0.43012,51579.99
3,BTCUSDT,0.2,51524.66
4,BTCUSDT,0.0,51516.27
5,BTCUSDT,0.01784,51499.01
6,BTCUSDT,0.0,51498.44
7,BTCUSDT,0.0,51487.1
8,BTCUSDT,0.0,51071.23
9,BTCUSDT,0.0,47453.33
10,BTCUSDT,0.0025,46428.0
11,BTCUSDT,0.00046,25793.55
0,ADAUSDT,69566.3,0.5886
1,ADAUSDT,106469.5,0.5878
2,ADAUSDT,2427.0,0.5861
0,QTUMUSDT,1740.8,3.331
1,QTUMUSDT,1263.4,3.329
2,QTUMUSDT,334.0,3.328
3,QTUMUSDT,525.9,3.3
4,QTUMUSDT,7.5,3.273
0,ONGUSDT,2369.0,0.342
1,ONGUSDT,2031.0,0.3418
2,ONGUSDT,9131.0,0.339
3,ONGUSDT,0.0,0.3384
0,THETAUSDT,0.0,1.293
1,THETAUSDT,4675.8,1.292
2,THETAUSDT,15528.3,1.291
3,THETAUSDT,14704.9,1.29
4,THETAUSDT,13789.4,1.289
5,THETAUSDT,25896.1,1.288
6,THETAUSDT,575.0,1.281
0,XLMUSDT,54885.0,0.1152
0,FETUSDT,1395.0,1.118
1,FETUSDT,1186.0,1.1179
2,FETUSDT,304.0,1.1178
3,FETUSDT,131.0,1.1177
4,FETUSDT,130.0,1.1176
5,FETUSDT,516.0,1.1175
6,FETUSDT,305.0,1.1174
7,FETUSDT,127.0,1.1173
8,FETUSDT,2078.0,1.1171
9,FETUSDT,143.0,1.117
10,FETUSDT,278.0,1.1169
11,FETUSDT,2395.0,1.1167
12,FETUSDT,1106.0,1.1166
13,FETUSDT,3645.0,1.1164
14,FETUSDT,5264.0,1.1163
15,FETUSDT,3141.0,1.1162
16,FETUSDT,597.0,1.1158
17,FETUSDT,2991.0,1.1156
18,FETUSDT,4994.0,1.1155
19,FETUSDT,4815.0,1.1154
20,FETUSDT,1789.0,1.1153
21,FETUSDT,1050.0,1.1151
22,FETUSDT,37936.0,1.115
23,FETUSDT,35988.0,1.1148
24,FETUSDT,3230.0,1.1141
25,FETUSDT,3202.0,1.1138
26,FETUSDT,10786.0,1.1137
27,FETUSDT,6340.0,1.1136
28,FETUSDT,454.0,1.1127
29,FETUSDT,64.0,1.1123
30,FETUSDT,47.0,0.8944
0,ONTUSDT,18003.0,0.2576
0,BNBUSDT,14.659,379.4
1,BNBUSDT,1.143,137.1
0,MATICUSDT,35924.9,0.9717
1,MATICUSDT,26838.9,0.9709
2,MATICUSDT,7942.5,0.9707
0,HOTUSDT,2563538.0,0.002343
1,HOTUSDT,707018.0,0.002341
0,NEOUSDT,936.29,12.58
1,NEOUSDT,319.24,12.56
0,ONEUSDT,11064.9,0.0222
1,ONEUSDT,49451.9,0.02219
2,ONEUSDT,354828.5,0.02213
3,ONEUSDT,67137.1,0.02212
4,ONEUSDT,166738.1,0.0221
5,ONEUSDT,14977.6,0.02202
6,ONEUSDT,48912.1,0.02201
7,ONEUSDT,259593.0,0.02175
0,ETCUSDT,28.27,26.03
1,ETCUSDT,74.46,26.02
2,ETCUSDT,10.28,25.63
3,ETCUSDT,42.3,25.61
0,ATOMUSDT,313.11,10.252
1,ATOMUSDT,33.13,10.215
2,ATOMUSDT,53.33,10.212
0,IOSTUSDT,176698.0,0.00969
