,coin,v,price
0,LTOUSDT,5257.0,0.0996
0,HBARUSDT,436643.0,0.107
0,RLCUSDT,592.7,3.769
1,RLCUSDT,2252.0,3.763
0,DOCKUSDT,10663.0,0.03465
1,DOCKUSDT,700.0,0.03462
2,DOCKUSDT,14609.0,0.03451
3,DOCKUSDT,70568.0,0.03419
4,DOCKUSDT,0.0,0.03417
0,COMPUSDT,42.313,68.91
0,VTHOUSDT,31841.0,0.00472
1,VTHOUSDT,667147.0,0.004703
0,RVNUSDT,80329.7,0.02457
0,SCUSDT,0.0,0.010295
1,SCUSDT,0.0,0.010294
2,SCUSDT,0.0,0.010293
3,SCUSDT,0.0,0.010292
4,SCUSDT,0.0,0.010291
5,SCUSDT,14293.0,0.01029
6,SCUSDT,737.0,0.010289
7,SCUSDT,15697.0,0.010288
8,SCUSDT,32472.0,0.010287
9,SCUSDT,39564.0,0.010286
10,SCUSDT,8216.0,0.010285
11,SCUSDT,32002.0,0.010284
12,SCUSDT,29862.0,0.010283
13,SCUSDT,3274.0,0.010282
14,SCUSDT,3765.0,0.010281
15,SCUSDT,27275.0,0.01028
16,SCUSDT,3795.0,0.010279
17,SCUSDT,18845.0,0.010278
18,SCUSDT,56293.0,0.010277
19,SCUSDT,43851.0,0.010276
20,SCUSDT,736.0,0.010275
21,SCUSDT,51378.0,0.010272
22,SCUSDT,0.0,0.010271
23,SCUSDT,13160.0,0.01027
24,SCUSDT,67532.0,0.010269
25,SCUSDT,71337.0,0.010268
26,SCUSDT,183410.0,0.010267
27,SCUSDT,41290.0,0.010265
28,SCUSDT,48086.0,0.010264
29,SCUSDT,53425.0,0.01026
30,SCUSDT,0.0,0.010259
31,SCUSDT,39364.0,0.010257
32,SCUSDT,48743.0,0.010256
33,SCUSDT,19816.0,0.010255
34,SCUSDT,20371.0,0.010254
35,SCUSDT,50077.0,0.010251
36,SCUSDT,84909.0,0.01025
37,SCUSDT,20227.0,0.010249
38,SCUSDT,55996.0,0.010247
39,SCUSDT,0.0,0.010246
40,SCUSDT,225063.0,0.010245
41,SCUSDT,113421.0,0.010244
42,SCUSDT,1150.0,0.010242
43,SCUSDT,185640.0,0.010241
44,SCUSDT,41591.0,0.010239
45,SCUSDT,1159.0,0.010236
46,SCUSDT,25344.0,0.010235
47,SCUSDT,521.0,0.010226
48,SCUSDT,29268.0,0.010225
49,SCUSDT,42582.0,0.010213
50,SCUSDT,983.0,0.010205
51,SCUSDT,585.0,0.010164
52,SCUSDT,18466.0,0.010122
53,SCUSDT,0.0,0.010081
54,SCUSDT,3292.0,0.010046
55,SCUSDT,16392.0,0.01004
56,SCUSDT,49966.0,0.010012
57,SCUSDT,0.0,0.010006
58,SCUSDT,0.0,0.009978
59,SCUSDT,29907.0,0.008234
0,GFTUSDT,27781.0,0.02085
1,GFTUSDT,94201.0,0.02084
2,GFTUSDT,97287.0,0.02083
3,GFTUSDT,99299.0,0.02082
4,GFTUSDT,378403.0,0.02079
5,GFTUSDT,685738.0,0.02078
6,GFTUSDT,226196.0,0.02077
0,CTXCUSDT,11.0,0.5975
1,CTXCUSDT,3738.0,0.5966
0,KNCUSDT,0.0,0.6735
1,KNCUSDT,7333.6,0.6717
0,BANDUSDT,4050.8,2.048
1,BANDUSDT,4235.3,2.042
2,BANDUSDT,2094.2,2.035
0,ARDRUSDT,94952.0,0.0946
1,ARDRUSDT,23318.0,0.0944
0,BCHUSDT,81.655,267.1
1,BCHUSDT,99.061,266.9
2,BCHUSDT,30.482,266.3
0,SOLUSDT,447.37,102.52
1,SOLUSDT,323.06,102.5
2,SOLUSDT,442.37,102.4
3,SOLUSDT,16.07,99.55
4,SOLUSDT,65.96,97.04
5,SOLUSDT,273.19,95.55
6,SOLUSDT,5.47,90.34
0,MDTUSDT,2328.3,0.07737
1,MDTUSDT,32803.4,0.07735
2,MDTUSDT,36367.1,0.07725
3,MDTUSDT,15857.6,0.07717
4,MDTUSDT,486.9,0.07603
5,MDTUSDT,39020.6,0.07601
6,MDTUSDT,611.7,0.07497
0,CHZUSDT,157.0,0.12783
1,CHZUSDT,157.0,0.12782
2,CHZUSDT,3017.0,0.12781
3,CHZUSDT,223.0,0.1278
4,CHZUSDT,5452.0,0.12779
5,CHZUSDT,291.0,0.12777
6,CHZUSDT,17930.0,0.12761
7,CHZUSDT,45722.0,0.12759
8,CHZUSDT,81615.0,0.12757
9,CHZUSDT,784.0,0.12742
10,CHZUSDT,0.0,0.1274
11,CHZUSDT,28274.0,0.12647
12,CHZUSDT,451.0,0.12646
0,BNTUSDT,725.0,0.7825
1,BNTUSDT,821.2,0.7755
0,STPTUSDT,34411.1,0.05823
0,IOTXUSDT,2958.0,0.05822
1,IOTXUSDT,19876.0,0.05821
2,IOTXUSDT,7806.0,0.0582
3,IOTXUSDT,19254.0,0.05789
4,IOTXUSDT,0.0,0.05784
5,IOTXUSDT,19400.0,0.05774
