,coin,price,amount,buyer
0,REEFUSDT,0.00178500,280932.00000000,True
0,CAKEUSDT,3.22100000,101.06000000,False
0,CAKEUSDT,3.22200000,945.25000000,False
0,CAKEUSDT,3.22300000,65.22000000,False
0,CAKEUSDT,3.22200000,62.07000000,True
0,CAKEUSDT,3.22100000,43.12000000,False
0,CAKEUSDT,3.22100000,7.26000000,False
0,CFXUSDT,0.25000000,3389.00000000,False
0,CFXUSDT,0.25010000,1810.00000000,False
0,SKLUSDT,0.08783000,202.00000000,True
0,SKLUSDT,0.08780000,4681.00000000,True
0,CFXUSDT,0.25000000,260.00000000,True
0,DEGOUSDT,2.35700000,19.30000000,False
0,DEGOUSDT,2.35800000,196.19000000,False
0,CAKEUSDT,3.22100000,3.60000000,True
0,MASKUSDT,4.67900000,2.30000000,False
0,ARUSDT,13.82100000,2.72000000,True
0,ARUSDT,13.82100000,7.59000000,True
0,ARUSDT,13.81900000,0.58000000,True
0,RIFUSDT,0.19370000,205.00000000,True
0,RIFUSDT,0.19370000,263.00000000,True
0,MASKUSDT,4.67900000,4.30000000,False
0,GRTUSDT,0.27100000,23.00000000,False
0,ARUSDT,13.82200000,0.59000000,False
0,ARUSDT,13.82300000,0.58000000,False
0,ARUSDT,13.82400000,2.44000000,False
0,GRTUSDT,0.27090000,410.00000000,True
0,MASKUSDT,4.67900000,44.50000000,False
0,MASKUSDT,4.68000000,89.90000000,False
0,MASKUSDT,4.68000000,89.90000000,False
0,MASKUSDT,4.68000000,89.90000000,False
0,MASKUSDT,4.68000000,89.90000000,False
0,MASKUSDT,4.68000000,89.90000000,False
0,MASKUSDT,4.68000000,89.90000000,False
0,MASKUSDT,4.68000000,698.90000000,False
0,MASKUSDT,4.68000000,254.80000000,False
0,DODOUSDT,0.20110000,2486.30000000,False
0,MEMEUSDT,0.02728400,8000.00000000,True
0,MASKUSDT,4.68000000,76.00000000,False
0,HARDUSDT,0.20030000,248.00000000,True
0,FISUSDT,0.44330000,22.00000000,True
0,FISUSDT,0.44320000,41.00000000,True
0,FISUSDT,0.44310000,24.00000000,True
0,POLSUSDT,0.91190000,1.10000000,True
0,POLSUSDT,0.91150000,9.10000000,True
0,POLSUSDT,0.91130000,0.50000000,True
0,MASKUSDT,4.68000000,70.30000000,False
0,CKBUSDT,0.01195200,41473.00000000,True
0,CKBUSDT,0.01195200,12630.00000000,True
0,CKBUSDT,0.01194700,634.00000000,True
0,SKLUSDT,0.08777000,1204.00000000,True
0,SKLUSDT,0.08776000,1019.00000000,True
0,SKLUSDT,0.08775000,1203.00000000,True
0,PUNDIXUSDT,0.45060000,364.50000000,False
0,SUPERUSDT,0.99280000,550.00000000,True
0,SUPERUSDT,0.99270000,17.00000000,True
0,SUPERUSDT,0.99260000,112.00000000,True
0,SUPERUSDT,0.99250000,436.00000000,True
0,SUPERUSDT,0.99240000,912.00000000,True
0,SUPERUSDT,0.99230000,467.00000000,True
0,SUPERUSDT,0.99220000,14.00000000,True
0,SUPERUSDT,0.99210000,13.00000000,True
0,SUPERUSDT,0.99200000,371.00000000,True
0,SUPERUSDT,0.99190000,2164.00000000,True
0,SUPERUSDT,0.99180000,911.00000000,True
0,SUPERUSDT,0.99170000,133.00000000,True
0,MASKUSDT,4.68000000,70.90000000,False
0,BURGERUSDT,0.64780000,12.00000000,True
0,BURGERUSDT,0.64770000,12.10000000,True
0,BURGERUSDT,0.64760000,24.40000000,True
0,BURGERUSDT,0.64750000,12.30000000,True
0,MASKUSDT,4.68000000,5668.50000000,False
0,MASKUSDT,4.68000000,1131.40000000,False
0,MASKUSDT,4.68100000,180.80000000,False
0,MASKUSDT,4.68200000,46.70000000,False
0,MASKUSDT,4.68300000,92.00000000,False
0,MASKUSDT,4.68300000,5.30000000,False
0,MASKUSDT,4.68400000,723.70000000,False
0,MASKUSDT,4.68400000,225.50000000,False
0,MASKUSDT,4.68500000,61.30000000,False
0,MASKUSDT,4.68600000,54.80000000,False
0,MASKUSDT,4.68700000,32.80000000,False
0,MASKUSDT,4.68800000,354.60000000,False
0,MASKUSDT,4.68300000,11.20000000,False
0,MASKUSDT,4.68600000,2.70000000,False
0,MASKUSDT,4.68700000,25.70000000,False
0,MASKUSDT,4.68900000,45.90000000,False
0,MASKUSDT,4.69000000,27.70000000,False
0,MASKUSDT,4.68700000,17.30000000,False
0,MASKUSDT,4.68700000,76.40000000,False
0,MASKUSDT,4.68600000,11.00000000,True
0,MASKUSDT,4.68600000,31.00000000,True
0,MASKUSDT,4.68500000,13.50000000,False
0,CKBUSDT,0.01194300,630.00000000,True
0,CKBUSDT,0.01194200,629.00000000,True
0,CKBUSDT,0.01194100,28418.00000000,True
0,CKBUSDT,0.01194000,637.00000000,True
0,CKBUSDT,0.01193900,637.00000000,True
0,CKBUSDT,0.01193800,1267.00000000,True
0,CKBUSDT,0.01193700,79390.00000000,True
0,MASKUSDT,4.68500000,97.90000000,True
0,TRUUSDT,0.06329000,868.00000000,True
0,TRUUSDT,0.06328000,994.00000000,True
0,TRUUSDT,0.06328000,1244.00000000,False
0,MASKUSDT,4.68400000,25.00000000,True
0,MASKUSDT,4.68400000,19.20000000,True
0,SUPERUSDT,0.99230000,9.00000000,False
0,SUPERUSDT,0.99240000,6.00000000,False
0,CFXUSDT,0.25000000,128.00000000,True
0,PERPUSDT,1.41439000,3.60000000,False
0,CKBUSDT,0.01193900,634.00000000,False
0,MASKUSDT,4.68400000,919.00000000,True
0,MASKUSDT,4.68300000,283.10000000,True
0,LINAUSDT,0.00962800,778.93000000,True
0,ICPUSDT,12.59100000,0.55000000,True
0,LITUSDT,1.23100000,112.40000000,False
0,CFXUSDT,0.25010000,449.00000000,False
0,LITUSDT,1.23200000,1599.20000000,False
0,LITUSDT,1.23200000,160.40000000,False
0,LITUSDT,1.23200000,351.00000000,False
0,CELOUSDT,0.82500000,1400.30000000,False
0,LINAUSDT,0.00962700,778.92000000,True
0,MASKUSDT,4.68200000,21.50000000,True
0,MASKUSDT,4.68100000,399.60000000,True
0,LITUSDT,1.23300000,719.20000000,False
0,LITUSDT,1.23300000,1196.10000000,False
0,LITUSDT,1.23300000,719.20000000,False
0,PERPUSDT,1.41473000,26.73000000,False
0,PERPUSDT,1.41476000,6.97000000,False
0,PERPUSDT,1.41490000,3.60000000,False
0,CKBUSDT,0.01193900,635.00000000,False
0,CKBUSDT,0.01194000,633.00000000,False
0,CKBUSDT,0.01194100,631.00000000,False
0,REEFUSDT,0.00178600,41091.00000000,False
0,REEFUSDT,0.00178700,55748.00000000,False
0,MASKUSDT,4.68200000,1.90000000,False
0,TRUUSDT,0.06329000,122.00000000,True
0,TRUUSDT,0.06328000,121.00000000,True
0,TRUUSDT,0.06327000,240.00000000,True
0,LINAUSDT,0.00962600,778.89000000,True
0,PERPUSDT,1.41505000,7.41000000,True
0,PERPUSDT,1.41505000,7.42000000,True
0,PERPUSDT,1.41526000,3.60000000,False
0,PERPUSDT,1.41505000,7.43000000,True
0,PERPUSDT,1.41505000,7.42000000,True
0,MASKUSDT,4.68100000,7.50000000,False
0,MASKUSDT,4.68200000,13.90000000,False
0,MASKUSDT,4.68200000,100.50000000,False
0,MASKUSDT,4.68300000,131.30000000,False
0,MASKUSDT,4.68200000,4.60000000,True
0,LINAUSDT,0.00962500,13605.02000000,True
0,PERPUSDT,1.41483000,3.60000000,False
0,ORDIUSDT,63.48500000,0.26000000,False
0,ORDIUSDT,63.48900000,2.97000000,False
0,ORDIUSDT,63.49000000,28.35000000,False
0,ORDIUSDT,63.49000000,9.77000000,False
0,ORDIUSDT,63.49000000,8.40000000,False
0,ORDIUSDT,63.49000000,17.72000000,False
0,ORDIUSDT,63.49000000,9.69000000,False
0,ORDIUSDT,63.49000000,4.89000000,False
0,ORDIUSDT,63.49000000,8.53000000,False
0,ORDIUSDT,63.49000000,61.17000000,False
0,ORDIUSDT,63.49000000,9.32000000,False
0,ORDIUSDT,63.49000000,23.50000000,False
0,ORDIUSDT,63.49000000,2.80000000,False
0,ORDIUSDT,63.49000000,15.86000000,False
0,ORDIUSDT,63.49500000,0.10000000,False
0,ORDIUSDT,63.49600000,2.80000000,False
0,ORDIUSDT,63.50000000,0.60000000,False
0,ORDIUSDT,63.50000000,2.48000000,False
0,ORDIUSDT,63.50300000,4.90000000,False
0,ORDIUSDT,63.50400000,8.06000000,False
0,ORDIUSDT,63.50500000,4.07000000,False
0,ORDIUSDT,63.50600000,6.67000000,False
0,ORDIUSDT,63.50800000,1.07000000,False
0,ORDIUSDT,63.50900000,7.06000000,False
0,ORDIUSDT,63.51100000,5.69000000,False
0,ORDIUSDT,63.49000000,0.11000000,False
0,ORDIUSDT,63.49300000,0.10000000,False
0,ORDIUSDT,63.51100000,26.86000000,False
0,ORDIUSDT,63.51200000,12.93000000,False
0,ALICEUSDT,1.45200000,63.76000000,True
0,MASKUSDT,4.68100000,15.30000000,True
0,MASKUSDT,4.68100000,1.60000000,True
0,MASKUSDT,4.68000000,4.30000000,True
0,MASKUSDT,4.68000000,5.40000000,True
0,MASKUSDT,4.68000000,5.40000000,True
0,MASKUSDT,4.68000000,2.70000000,True
0,MASKUSDT,4.67900000,30.20000000,True
0,MASKUSDT,4.67900000,5.50000000,True
0,MASKUSDT,4.67900000,1.40000000,True
0,PERPUSDT,1.41483000,50.60000000,False
0,ARUSDT,13.82100000,1.91000000,True
0,PERPUSDT,1.41483000,35.50000000,False
0,LITUSDT,1.23300000,109.20000000,True
0,PERPUSDT,1.41483000,50.60000000,False
0,CKBUSDT,0.01193600,7121.00000000,True
0,PERPUSDT,1.41483000,35.50000000,False
0,ORDIUSDT,63.50700000,1.57000000,True
0,CKBUSDT,0.01193800,634.00000000,False
0,CKBUSDT,0.01193900,632.00000000,False
0,ORDIUSDT,63.50800000,0.11000000,False
0,ORDIUSDT,63.51000000,0.05000000,False
0,CKBUSDT,0.01194000,631.00000000,False
0,CKBUSDT,0.01194100,2129.00000000,False
0,CKBUSDT,0.01194000,638.00000000,False
0,MASKUSDT,4.67900000,4.30000000,True
0,CFXUSDT,0.25010000,130.00000000,False
0,CFXUSDT,0.25020000,506.00000000,False
0,MASKUSDT,4.68000000,2.50000000,False
0,CKBUSDT,0.01193600,2093.00000000,True
0,TRUUSDT,0.06328000,579.00000000,False
0,FISUSDT,0.44330000,45.00000000,False
0,PUNDIXUSDT,0.45060000,728.60000000,False
0,1INCHUSDT,0.49950000,34.60000000,True
0,MASKUSDT,4.67900000,5.40000000,True
0,CFXUSDT,0.25010000,128.00000000,True
0,GRTUSDT,0.27090000,2307.00000000,True
0,ICPUSDT,12.59000000,1.10000000,True
0,RIFUSDT,0.19370000,311.00000000,True
0,CKBUSDT,0.01193900,632.00000000,False
0,DODOUSDT,0.20110000,200.00000000,True
0,ROSEUSDT,0.12136000,685.30000000,True
0,CFXUSDT,0.25010000,35.00000000,True
0,CKBUSDT,0.01193600,3413.00000000,True
0,UNFIUSDT,7.02400000,5.40000000,True
0,TRUUSDT,0.06326000,1675.00000000,True
0,TRUUSDT,0.06325000,119.00000000,True
0,TRUUSDT,0.06324000,3721.00000000,True
0,TRUUSDT,0.06323000,124.00000000,True
0,TRUUSDT,0.06322000,122.00000000,True
0,TWTUSDT,1.31470000,5.00000000,True
0,ORDIUSDT,63.51000000,0.15000000,False
0,MASKUSDT,4.67900000,7.90000000,True
0,TWTUSDT,1.31460000,13.00000000,True
0,LINAUSDT,0.00962500,23216.46000000,True
0,LINAUSDT,0.00962500,3703.70000000,True
0,CKBUSDT,0.01194000,629.00000000,False
0,CKBUSDT,0.01194100,3575.00000000,False
0,TWTUSDT,1.31450000,10.00000000,True
0,ICPUSDT,12.58900000,1.13000000,True
0,CFXUSDT,0.25010000,221.00000000,True
0,CFXUSDT,0.25010000,1.00000000,True
0,GRTUSDT,0.27090000,2053.00000000,True
0,GRTUSDT,0.27090000,4420.00000000,True
0,GRTUSDT,0.27090000,3689.00000000,True
0,GRTUSDT,0.27090000,786.00000000,True
0,GRTUSDT,0.27090000,33.00000000,True
0,TRUUSDT,0.06320000,122.00000000,True
0,TRUUSDT,0.06319000,128.00000000,True
0,TRUUSDT,0.06318000,7658.00000000,True
0,TRUUSDT,0.06317000,603.00000000,True
0,CFXUSDT,0.25000000,656.00000000,True
0,CFXUSDT,0.25000000,1.00000000,True
0,MEMEUSDT,0.02728100,1502.00000000,True
0,MEMEUSDT,0.02728000,2441.00000000,True
0,MEMEUSDT,0.02727700,4500.00000000,True
0,MDXUSDT,0.07340000,206.90000000,False
0,GRTUSDT,0.27090000,2927.00000000,False
0,GRTUSDT,0.27090000,1447.00000000,False
0,MEMEUSDT,0.02727700,769.00000000,False
0,CKBUSDT,0.01193600,2093.00000000,True
0,CKBUSDT,0.01193600,33679.00000000,True
0,CFXUSDT,0.25000000,2000.00000000,False
0,CELOUSDT,0.82600000,97.10000000,False
0,PERPUSDT,1.41456000,8.23000000,True
0,BURGERUSDT,0.64740000,12.40000000,True
0,BURGERUSDT,0.64730000,24.20000000,True
0,BURGERUSDT,0.64720000,98.00000000,True
0,BURGERUSDT,0.64710000,269.70000000,True
0,BURGERUSDT,0.64700000,404.80000000,True
0,LITUSDT,1.23300000,6.50000000,False
0,SKLUSDT,0.08777000,1114.00000000,True
0,SKLUSDT,0.08776000,408.00000000,True
0,BURGERUSDT,0.64720000,11.20000000,False
0,BURGERUSDT,0.64720000,319.30000000,False
0,MASKUSDT,4.68000000,1.40000000,False
0,BURGERUSDT,0.64730000,303.60000000,False
0,BURGERUSDT,0.64730000,364.60000000,False
0,HARDUSDT,0.20030000,248.00000000,True
0,OMUSDT,0.22001000,220.00000000,True
0,OMUSDT,0.22000000,17.00000000,True
0,OMUSDT,0.22002000,173.00000000,True
0,MASKUSDT,4.68000000,8.60000000,False
0,MASKUSDT,4.68100000,81.30000000,False
0,MASKUSDT,4.68100000,673.90000000,False
0,MASKUSDT,4.68200000,650.90000000,False
0,MASKUSDT,4.68300000,91.40000000,False
0,MASKUSDT,4.68400000,650.60000000,False
0,MASKUSDT,4.68500000,926.50000000,False
0,MASKUSDT,4.68400000,180.30000000,False
0,MASKUSDT,4.68600000,296.40000000,False
0,MASKUSDT,4.68700000,18.20000000,False
0,MASKUSDT,4.68800000,62.40000000,False
0,MASKUSDT,4.68900000,29.70000000,False
0,MASKUSDT,4.68900000,59.40000000,False
0,MASKUSDT,4.69000000,230.50000000,False
0,MASKUSDT,4.69000000,729.00000000,False
0,MASKUSDT,4.69000000,210.00000000,False
0,MASKUSDT,4.68500000,201.20000000,False
0,MASKUSDT,4.68600000,170.40000000,False
0,MASKUSDT,4.68700000,68.00000000,False
0,MASKUSDT,4.68700000,74.00000000,False
0,MASKUSDT,4.68700000,8.90000000,False
0,MASKUSDT,4.68600000,32.40000000,True
0,MASKUSDT,4.68800000,7.90000000,True
0,MASKUSDT,4.68700000,7.90000000,True
0,MASKUSDT,4.68600000,100.50000000,True
0,MASKUSDT,4.68600000,85.60000000,True
0,ARUSDT,13.82100000,3.32000000,False
0,MASKUSDT,4.68900000,4.10000000,True
0,MASKUSDT,4.68900000,37.90000000,True
0,MASKUSDT,4.68900000,1.50000000,True
0,MASKUSDT,4.68900000,176.00000000,False
0,MASKUSDT,4.68900000,42.00000000,True
0,MASKUSDT,4.68800000,0.30000000,True
0,MASKUSDT,4.68800000,125.70000000,True
0,MASKUSDT,4.68700000,11.10000000,True
0,LINAUSDT,0.00962200,779.66000000,False
0,LINAUSDT,0.00962300,779.55000000,False
0,LINAUSDT,0.00962400,779.54000000,False
0,ORDIUSDT,63.51100000,8.22000000,False
0,LINAUSDT,0.00962500,779.43000000,False
0,MASKUSDT,4.68900000,3.00000000,True
0,ORDIUSDT,63.51200000,0.11000000,False
0,ORDIUSDT,63.51300000,0.30000000,False
0,ORDIUSDT,63.51800000,0.10000000,False
0,ORDIUSDT,63.51900000,0.10000000,False
0,ORDIUSDT,63.52100000,0.10000000,False
0,MEMEUSDT,0.02728200,506.00000000,False
0,MASKUSDT,4.68900000,203.90000000,True
0,MASKUSDT,4.68900000,894.60000000,True
0,ORDIUSDT,63.52400000,0.16000000,False
0,ORDIUSDT,63.52500000,0.11000000,False
0,MASKUSDT,4.68800000,24.90000000,True
0,MASKUSDT,4.68800000,1.30000000,True
0,MASKUSDT,4.68800000,37.00000000,True
0,MEMEUSDT,0.02728500,8057.00000000,True
0,BURGERUSDT,0.64730000,639.20000000,False
0,BURGERUSDT,0.64730000,264.50000000,False
0,BURGERUSDT,0.64730000,1157.80000000,False
0,BURGERUSDT,0.64730000,1090.10000000,False
0,BURGERUSDT,0.64730000,1770.00000000,False
0,BURGERUSDT,0.64730000,1226.50000000,False
0,BURGERUSDT,0.64730000,72.30000000,False
0,BURGERUSDT,0.64730000,799.10000000,False
0,BURGERUSDT,0.64740000,12.20000000,False
0,BURGERUSDT,0.64750000,12.10000000,False
0,MASKUSDT,4.68800000,1.30000000,True
0,DEGOUSDT,2.35600000,63.46000000,True
0,MASKUSDT,4.68800000,7.40000000,True
0,ROSEUSDT,0.12136000,849.50000000,True
0,ROSEUSDT,0.12135000,2398.40000000,True
0,ROSEUSDT,0.12134000,4474.00000000,True
0,BURGERUSDT,0.64760000,12.00000000,False
0,LITUSDT,1.23300000,9.70000000,False
0,PONDUSDT,0.02125000,1419.11000000,False
0,MASKUSDT,4.68900000,3.20000000,True
0,ALICEUSDT,1.45100000,17.22000000,True
0,MASKUSDT,4.68900000,4.60000000,True
0,BURGERUSDT,0.64770000,24.00000000,False
0,BURGERUSDT,0.64780000,9.10000000,False
0,MASKUSDT,4.68900000,14.40000000,True
0,CFXUSDT,0.25000000,112.00000000,False
0,ALICEUSDT,1.45100000,68.87000000,True
0,1INCHUSDT,0.49980000,24.00000000,False
0,MASKUSDT,4.69000000,31.50000000,False
0,SFPUSDT,0.79410000,34.00000000,True
0,SFPUSDT,0.79400000,5.00000000,True
0,ICPUSDT,12.58900000,11.05000000,False
0,MASKUSDT,4.69000000,7.70000000,False
0,MASKUSDT,4.68900000,32.40000000,True
0,MASKUSDT,4.68900000,19.60000000,True
0,PERPUSDT,1.41471000,11.36000000,True
0,1INCHUSDT,0.49970000,107.50000000,True
