,coin,v,price
0,FXSUSDT,0.0,8.438
1,FXSUSDT,0.0,8.437
2,FXSUSDT,0.0,8.436
3,FXSUSDT,72.9,8.435
4,FXSUSDT,1.8,8.434
5,FXSUSDT,1.8,8.433
6,FXSUSDT,30.6,8.432
7,FXSUSDT,40.5,8.431
8,FXSUSDT,1.0,8.43
9,FXSUSDT,1.7,8.429
10,FXSUSDT,205.3,8.426
11,FXSUSDT,780.4,8.422
12,FXSUSDT,1.0,8.421
13,FXSUSDT,163.7,8.42
14,FXSUSDT,0.0,8.418
15,FXSUSDT,556.5,8.414
16,FXSUSDT,458.3,8.413
17,FXSUSDT,0.0,8.346
18,FXSUSDT,1734.0,8.338
0,STEEMUSDT,5805.9,0.2486
0,GALUSDT,12.968,3.059
1,GALUSDT,59.139,3.058
2,GALUSDT,389.224,3.057
3,GALUSDT,1336.266,3.056
4,GALUSDT,47.713,3.055
5,GALUSDT,104.063,3.054
6,GALUSDT,1272.415,3.053
7,GALUSDT,2256.769,3.052
8,GALUSDT,1558.617,3.05
9,GALUSDT,93.967,3.049
10,GALUSDT,108.225,3.048
11,GALUSDT,175.33,3.047
12,GALUSDT,1464.885,3.046
13,GALUSDT,1242.944,3.045
14,GALUSDT,149.252,3.043
15,GALUSDT,194.101,3.039
16,GALUSDT,295.149,3.038
17,GALUSDT,755.419,3.029
18,GALUSDT,166.107,3.01
19,GALUSDT,12.062,2.938
0,VOXELUSDT,0.0,0.2486
1,VOXELUSDT,0.0,0.2485
2,VOXELUSDT,496.7,0.2484
3,VOXELUSDT,3627.8,0.2482
4,VOXELUSDT,1405.6,0.2481
5,VOXELUSDT,14374.2,0.2477
6,VOXELUSDT,13554.1,0.2474
7,VOXELUSDT,1604.0,0.2473
8,VOXELUSDT,3679.4,0.2472
9,VOXELUSDT,6431.2,0.2469
10,VOXELUSDT,3741.3,0.2468
11,VOXELUSDT,2357.9,0.2467
12,VOXELUSDT,3655.6,0.2466
13,VOXELUSDT,17188.0,0.2465
14,VOXELUSDT,18298.6,0.2464
15,VOXELUSDT,3512.1,0.2463
16,VOXELUSDT,1557.2,0.2461
17,VOXELUSDT,616.5,0.2377
0,PYRUSDT,27.597,6.533
1,PYRUSDT,12.59,6.493
2,PYRUSDT,202.316,6.453
3,PYRUSDT,4.018,6.414
4,PYRUSDT,19.336,6.374
5,PYRUSDT,6.721,6.334
6,PYRUSDT,0.0,6.295
0,ACHUSDT,18883.0,0.02739
1,ACHUSDT,118861.0,0.02735
2,ACHUSDT,78654.0,0.02734
3,ACHUSDT,159695.0,0.02731
4,ACHUSDT,48111.0,0.02718
5,ACHUSDT,10433.0,0.02717
6,ACHUSDT,274107.0,0.02709
7,ACHUSDT,8309.0,0.02707
8,ACHUSDT,370949.0,0.02701
9,ACHUSDT,2243.0,0.02688
0,ASTRUSDT,0.0,0.1595
1,ASTRUSDT,33768.7,0.1594
2,ASTRUSDT,94659.6,0.1593
3,ASTRUSDT,181447.8,0.1592
4,ASTRUSDT,302449.8,0.1591
5,ASTRUSDT,203187.0,0.159
6,ASTRUSDT,215933.7,0.1589
7,ASTRUSDT,42822.4,0.1588
8,ASTRUSDT,31940.3,0.1587
9,ASTRUSDT,31571.5,0.1586
10,ASTRUSDT,13925.7,0.1582
11,ASTRUSDT,26969.2,0.1581
12,ASTRUSDT,56039.5,0.158
13,ASTRUSDT,10050.4,0.1549
0,REIUSDT,25860.9,0.0317
1,REIUSDT,0.0,0.03117
0,RNDRUSDT,72.33,7.503
1,RNDRUSDT,198.0,7.502
2,RNDRUSDT,42110.51,7.5
3,RNDRUSDT,1202.59,7.499
4,RNDRUSDT,3080.61,7.497
