coin,Unnamed: 0,cluster_v_usdt,cluster_v_buyer_usdt,v_4_va,v_8_va,v_4_a,v_8_a,d8_a
ALICEUSDT,19,29956.556700000005,55384.58730000001,192189.22,199375.19,283256.38211,294349.50083,294349.50083
ARUSDT,24037,55369703.59305,46933164.67686,16817.02,16817.02,245852.74668,245852.74668,245852.74668
CELOUSDT,263,2003530.572,1477965.816,3341805.1,3379849.6,2960985.6948,2996195.0531,2996195.0531
CKBUSDT,47600,78052988.58399999,41950134.61696,115241359.0,291004127.0,1670887.680614,4313673.2991120005,4313673.2991120005
DODOUSDT,200,157884.82140000002,9890.75592,3657141.8,3725999.8,717912.8739400001,732194.81394,732194.81394
GRTUSDT,3695,16859885.492450003,9641245.81915,19428532.0,20297920.0,5835886.373,6114090.533,6114090.533
HARDUSDT,122,2170.8,0.0,1083089.0,1083089.0,222951.3947,222951.3947,222951.3947
ICPUSDT,7406,5627985.885550001,293535.62507500005,226829.61,226829.61,2826867.32236,2826867.32236,2826867.32236
LINAUSDT,2583,22953.32886,29652.030099999996,41779312.07,41779312.07,405419.49751427,405419.49751427,405419.49751427
LITUSDT,184,442577.1728,2931.6112000000003,420088.1,425934.5,516374.6752,523858.06720000005,523858.06720000005
MASKUSDT,2892,5871771.15525,5933650.072349999,881607.5,890651.0,3958822.032,4001326.482,4001326.482
REEFUSDT,398,28094.757083999997,28094.757083999997,717368101.0,726202990.0,1323667.757012,1340400.790638,1340400.790638
RIFUSDT,205,114260.54400000002,0.0,1632402.0,1720614.0,319901.43319999997,337940.5952,337940.5952
SLPUSDT,260,45120.140028,4470.106752,150204859.0,150204859.0,554289.987543,554289.987543,554289.987543
STRAXUSDT,179,206824.59000000003,189346.3047,612089.8,612089.8,672345.3706,672345.3706,672345.3706
SUPERUSDT,1924,11687.9485,35379.736,580757.0,582673.0,579682.1678,581692.8182,581692.8182
TKOUSDT,177,1647.6136500000002,0.0,105883.1,106303.4,47990.71554,48187.66812,48187.66812
TLMUSDT,450,111857.72720000001,537621.0189,21867246.0,21882476.0,395925.07886,396211.25056,396211.25056
TRUUSDT,4148,5608286.980450001,4922743.76594,4623506.0,4911022.0,305791.61322,325625.4503,325625.4503
TWTUSDT,6501,452068.31249999994,0.0,151302.0,151310.0,203358.9808,203370.336,203370.336
