coin,Unnamed: 0,cluster_v_usdt,cluster_v_buyer_usdt,v_4_vb,v_8_vb,v_4_b,v_8_b,d8_b
ANKRUSDT,3028,8824887.92493,9575264.552700002,15618363.8,15630124.6,504387.38872,504747.85724,504747.85724
CELRUSDT,916,232668.6298,26443.012000000002,11962159.6,11962159.6,299203.765806,299203.765806,299203.765806
EOSUSDT,55,736633.0795500001,0.0,6455138.6,6546446.2,5114536.763900001,5183013.8858,5183013.8858
FETUSDT,21435,20313080.130999997,7754859.492,4361921.0,4361921.0,4795795.7941,4795795.7941,4795795.7941
FTMUSDT,1584,12933421.415199999,2343182.7276,5323229.0,5468452.0,2199854.0325,2256538.6311,2256538.6311
KEYUSDT,4053,160365.15532800002,0.0,53524069.0,53524069.0,380015.325823,380015.325823,380015.325823
MTLUSDT,459,279423.03839999996,279423.03839999996,204809.6,204809.6,328317.7735,328317.7735,328317.7735
OMGUSDT,99,3316.736500000001,0.0,2785114.4,2785114.4,2105991.5537,2105991.5537,2105991.5537
ONEUSDT,11014,12700783.9647255,8867059.4206845,148496219.9,152451601.0,3280954.700524,3364945.007565,3364945.007565
ONGUSDT,808,194320.56,14443.116800000002,700931.0,701301.0,238533.0405,238653.6975,238653.6975
TFUELUSDT,477,32972.301635,7599.209345,1002045.0,1009026.0,49543.351819999996,49870.14594,49870.14594
THETAUSDT,274,1825.5959999999998,191281.89199999996,1338706.6,1345961.5,1722083.6702999999,1730826.0485999999,1730826.0485999999
VITEUSDT,88,73121.5303975,72088.2381,1644986.9,1959781.9,39514.196334,46796.405649,46796.405649
XLMUSDT,124,64188.3144,122476.15660000002,32878361.0,32878361.0,3797045.662,3797045.662,3797045.662
ZECUSDT,557,11685.201024,11685.201024,21943.695,21943.695,604927.48502,604927.48502,604927.48502
