,Unnamed: 0,coin,v,price
0,0,MLNUSDT,12.302,19.05
1,0,ILVUSDT,11.288,98.96
2,1,ILVUSDT,0.8,99.0
3,2,ILVUSDT,0.082,99.19
4,0,GHSTUSDT,426.4,1.049
5,0,ELFUSDT,42.0,0.6323
6,1,ELFUSDT,1176.8,0.6325
7,2,ELFUSDT,360.0,0.6326
8,0,YGGUSDT,97.8,0.525
9,1,YGGUSDT,784.4,0.5251
10,2,YGGUSDT,1185.3,0.5252
11,3,YGGUSDT,4021.2,0.526
12,4,YGGUSDT,51393.7,0.5262
13,5,YGGUSDT,4371.2,0.5263
14,6,YGGUSDT,426.2,0.5264
15,7,YGGUSDT,4680.0,0.5267
16,8,YGGUSDT,3981.9,0.5271
17,0,MINAUSDT,1861.8,1.283
18,1,MINAUSDT,21.2,1.2831
19,2,MINAUSDT,925.7,1.2832
20,3,MINAUSDT,1133.0,1.2833
21,4,MINAUSDT,942.0,1.2836
22,5,MINAUSDT,2226.4,1.2837
23,6,MINAUSDT,1732.3,1.2842
24,0,WAXPUSDT,6473.0,0.06242
25,1,WAXPUSDT,398.0,0.06244
26,0,RAYUSDT,17227.4,0.9679
27,1,RAYUSDT,0.0,0.969
28,0,PHAUSDT,409.0,0.1324
29,1,PHAUSDT,5690.0,0.1325
30,2,PHAUSDT,11568.0,0.1326
31,3,PHAUSDT,21229.0,0.1327
32,4,PHAUSDT,10663.0,0.1328
33,5,PHAUSDT,3682.0,0.1329
34,6,PHAUSDT,4342.0,0.133
35,7,PHAUSDT,28551.0,0.1348
36,0,XVGUSDT,523159.0,0.0041
37,0,CLVUSDT,23315.2,0.06154
38,1,CLVUSDT,0.0,0.06158
39,2,CLVUSDT,14174.5,0.063
40,0,RADUSDT,1889.5,1.952
41,1,RADUSDT,832.5,1.979
42,0,PIVXUSDT,8475.0,0.3492
43,1,PIVXUSDT,18771.0,0.3498
44,2,PIVXUSDT,1428.0,0.3499
45,3,PIVXUSDT,7016.0,0.35
46,4,PIVXUSDT,701.0,0.3508
47,5,PIVXUSDT,0.0,0.3557
48,0,LPTUSDT,238.21,13.75
49,0,FLOWUSDT,19672.76,1.006
50,0,FRONTUSDT,238.0,0.624
51,1,FRONTUSDT,217.0,0.6241
52,2,FRONTUSDT,449.0,0.6244
53,3,FRONTUSDT,2346.0,0.6246
54,4,FRONTUSDT,273.0,0.6249
55,5,FRONTUSDT,6883.0,0.6252
56,6,FRONTUSDT,2245.0,0.6258
57,7,FRONTUSDT,3580.0,0.626
58,8,FRONTUSDT,1310.0,0.6266
59,9,FRONTUSDT,2312.0,0.6267
60,0,VIDTUSDT,36885.0,0.03618
61,1,VIDTUSDT,9188.0,0.03619
62,2,VIDTUSDT,208.0,0.0362
63,3,VIDTUSDT,217.0,0.03622
64,0,REQUSDT,30951.0,0.1075
65,0,BETAUSDT,1481.0,0.07884
66,1,BETAUSDT,8987.0,0.07885
67,2,BETAUSDT,0.0,0.07886
68,3,BETAUSDT,0.0,0.07888
69,0,GALAUSDT,150901.0,0.02971
70,1,GALAUSDT,453269.0,0.02972
71,2,GALAUSDT,430445.0,0.02973
72,3,GALAUSDT,611496.0,0.02974
73,4,GALAUSDT,1034841.0,0.02975
