,coin,Unnamed: 0_x,cluster_v_usdt_x,cluster_v_buyer_usdt_x,v_4_vb,v_8_vb,v_4_b,v_8_b,d8_b,Unnamed: 0_y,cluster_v_usdt_y,cluster_v_buyer_usdt_y,v_4_va,v_8_va,v_4_a,v_8_a,d8_a,cluster_v,cluster_p,trade_min_p,trade_max_p,cluster_v_usdt,cluster_v_buyer_usdt,amount_max,till_date,Unnamed: 0,buyer,trades_v_usdt,liq_v_l_usdt,liq_v_s_usdt,cluster_max_avg,liq_l_max_avg,liq_s_max_avg,C-i,B/A,B-i,BVi,A/B,A-i,AVi,Liq L,Liq S,L-i L,L-i S,BVi_test,AVi_test
26,SYNUSDT,361,1849471.1669250003,1850348.7333150003,12773.099999999999,12773.099999999999,9002.46409,9002.46409,9002.46409,32,467682.3640500001,467904.27739000006,19127.9,19127.9,13711.36339,13711.36339,13711.36339,29926.5,0.71035,0.7079,0.7125,21258.289275000003,21268.376245000003,158126.0,2024-02-18,0,31,32969.48833,,,166984.4692625,,,0.1,0.7,1.0,0.4,1.5,1.0,0.6,,,,,0.3,0.4
20,SPELLUSDT,8796,5726904.226818751,5430919.8724425,720791625.0,721323444.0,654169.8870769,654631.7026096,654631.7026096,5153,4967916.9196500005,4711159.40742,414665736.0,458135449.0,383423.0087129,426023.32694,426023.32694,15113925.0,0.00091305,0.0009117,0.000914,13799.76922125,13086.5539095,479595.0,2024-02-18,0,54,17254.149507799997,,,272813.88958247495,82763.01525785998,60496.474595839994,0.1,1.5,1.0,47.4,0.7,0.9,27.8,,,,,37.9,22.2
14,DFUSDT,364,7552.657035,7552.657035,609801.0,609801.0,27340.72015,27340.72015,27340.72015,117,4073.3431200000005,4073.3431200000005,238980.0,238980.0,10818.53928,10818.53928,10818.53928,1881.0,0.045115,0.045,0.04513,84.861315,84.861315,76036.0,2024-02-18,0,4,867.9740400000001,,,69808.2024185,,,0.0,2.5,1.0,322.2,0.4,1.0,127.5,,,,,31.5,12.5
25,PHBUSDT,22384,2724748.3619999997,2144854.4319999996,326298.0,344081.0,615439.7409,647453.558,647453.558,22217,2724748.3619999997,2144854.4319999996,296654.0,296654.0,565551.7347,565551.7347,565551.7347,1809.0,1.8969999999999998,1.8946,1.8982,3431.673,2701.3279999999995,338846.0,2024-02-18,0,26,5066.6653,,,316328.699235,67402.8276719,18211.67255972,0.0,1.1,1.0,179.3,0.9,1.0,164.8,,,,,121.5,111.6
24,PENDLEUSDT,3293,80495.488,0.0,68823.3,68823.3,192810.33526,192810.33526,192810.33526,2857,63201.5355,0.0,44511.7,44511.7,125745.24116,125745.24116,125745.24116,111.7,2.815,2.8108,2.8138,314.4355,0.0,345999.0,2024-02-18,0,18,6295.1931700000005,,,485793.0155350001,64245.96787130002,36970.90088513,0.0,1.5,1.0,613.2,0.7,1.0,399.9,,,,,30.6,20.0
23,GLMUSDT,512,939.3005699999999,0.0,956279.9,963293.3,357157.61441000004,359620.81365,359620.81365,268,482.8180499999999,0.0,365160.4,365160.4,137325.29513,137325.29513,137325.29513,23.4,0.37515,0.3746,0.375,8.778509999999999,0.0,110063.0,2024-02-18,0,2,578.8969699999999,,,272204.060152,12729.99235382,4009.4209030399993,0.0,2.6,1.0,40685.4,0.4,1.0,15643.3,,,,,617.0,237.2
22,ARKMUSDT,6625,128978.36249999999,0.0,188562.0,188650.0,310603.4807,310741.2143,310741.2143,3338,99264.35999999999,0.0,148354.0,148354.0,246668.0917,246668.0917,246668.0917,197.0,1.6575,1.6549,1.6568,326.5275,0.0,982579.0,2024-02-18,0,9,1962.4605999999999,,,538807.38513,180586.10786894,59227.52588337,0.0,1.3,1.0,951.2,0.8,1.0,755.4,,,,,158.3,125.7
21,WOOUSDT,1293,31151.513150000002,0.0,932981.3,933318.7,477729.00334,477890.42225,477890.42225,695,19447.187400000003,0.0,568332.3,568332.3,293795.92335,293795.92335,293795.92335,349.0,0.51595,0.5152,0.5158,180.06655,0.0,245256.0,2024-02-18,0,1,2028.48259,,,252390.88187400004,97555.654608,21394.143894000004,0.0,1.6,1.0,2653.1,0.6,1.0,1631.6,,,,,235.5,144.8
19,SCRTUSDT,647,35503.6653,0.0,97538.5,108793.3,50061.95463,55451.87835,55451.87835,342,21823.3539,0.0,97575.1,97575.1,50891.6084,50891.6084,50891.6084,628.2,0.5185,0.5178,0.5186,325.7217,0.0,77609.0,2024-02-18,0,1,540.3967,,,121732.65749099999,,,0.0,1.1,0.9,153.7,0.9,1.0,156.2,,,,,92.6,94.2
18,JASMYUSDT,26158,5579045.88696,6372895.21128,79018120.7,79018120.7,1223805.5253034001,1223805.5253034001,1223805.5253034001,16169,4457699.19504,5091990.7147200005,44853948.3,44853948.3,702676.9764412,702676.9764412,702676.9764412,443711.1,0.0156,0.015577,0.015628,6921.89316,7906.8178800000005,402005.0,2024-02-18,0,51,20731.638203900002,,,657068.778531,144354.77110820002,120398.74217050002,0.0,1.7,1.0,176.8,0.6,1.0,101.5,,,,,59.0,33.9
17,AMPUSDT,1887,10434.3182475,0.0,25110567.0,25110567.0,122531.366007,122531.366007,122531.366007,785,5701.81325,0.0,9307483.0,9307483.0,46741.289904,46741.289904,46741.289904,11513.0,0.0049525,0.004945,0.004951,57.0181325,0.0,296400.0,2024-02-18,0,8,405.887468,,,168974.95964195,,,0.0,2.6,1.0,2149.0,0.4,1.0,819.8,,,,,301.9,115.2
