coin,Unnamed: 0,cluster_v_usdt,cluster_v_buyer_usdt,v_4_vb,v_8_vb,v_4_b,v_8_b,d8_b
AGIXUSDT,284588,218242271.26799998,123059275.54199998,6380142.0,6466061.0,4877138.67705,4938505.58694,4938505.58694
AMBUSDT,992,1537039.54944,85822.37952,261303003.0,262672567.0,2544999.8793,2557570.94263,2557570.94263
ARBUSDT,15374,881121.4637499999,0.0,7667903.9,7710305.5,14167094.36958,14241280.3277,14241280.3277
ARKMUSDT,203827,291850751.812,154109209.012,2834152.0,2852167.0,4660993.0773,4688989.6858,4688989.6858
ASTUSDT,489,195967.45945,0.0,3534219.0,3632643.0,376559.18690000003,386449.9657,386449.9657
COMBOUSDT,212,116180.03474999999,84687.11549999999,1026673.9,1026673.9,852876.7579,852876.7579,852876.7579
CYBERUSDT,2617,587578.9432600001,0.0,118576.75,118576.75,1017618.5538999999,1017618.5538999999,1017618.5538999999
EDUUSDT,45947,15243033.708,1729332.2340000002,1387061.0,1387061.0,1141169.17445,1141169.17445,1141169.17445
GLMUSDT,10303,55439121.37290001,16478828.319899997,17979899.4,17988807.5,6719561.91834,6722732.38492,6722732.38492
GMXUSDT,2092,19618634.933460005,13916639.065919999,32673.631,32673.631,1646898.20447,1646898.20447,1646898.20447
HFTUSDT,3041,593456.052,219882.66551999995,9215471.1,9218364.6,3567359.38333,3568405.04727,3568405.04727
HIFIUSDT,1379,1168200.4919999999,1835779.8049500003,992612.5,992711.5,664345.65117,664407.24403,664407.24403
HOOKUSDT,15627,13539516.009599999,4399438.8636,1098281.2,1098301.3,1221096.03571,1221116.97388,1221116.97388
IDUSDT,8359,1410460.506,1852448.13,1049957.0,1049957.0,618502.25789,618502.25789,618502.25789
LEVERUSDT,1593,4090577.6165760006,804187.58229,1600445873.0,1600523221.0,2954311.051314,2954444.694261,2954444.694261
LOOMUSDT,6513,3263669.7538499995,833813.7884999999,10809252.0,10809252.0,1084380.95787,1084380.95787,1084380.95787
LQTYUSDT,316,44674.13085,0.0,2875460.5,2876461.7,4355937.8209,4357356.1269,4357356.1269
MAGICUSDT,9616,892519.043,62294.7065,2101509.2,2101727.6,2628755.42449,2629013.47463,2629013.47463
MAVUSDT,6202,10647925.47,6578801.775,1980994.0,1981234.0,1310858.2724,1311008.3759,1311008.3759
OAXUSDT,97,12406.221750000002,1784.96175,189109.0,189109.0,31074.395,31074.395,31074.395
OSMOUSDT,3543,625165.9584,345324.00990000006,374169.52,374824.37,588520.277494,589507.23038,589507.23038
PENDLEUSDT,96604,96888181.84920001,25800555.383400004,888435.5,888514.6,2476780.97271,2476986.88434,2476986.88434
PHBUSDT,260739,174301572.06000003,136869218.64000002,1678167.0,1739029.0,3137792.6825,3247461.3119,3247461.3119
PROMUSDT,4159,759271.7988750001,232052.97074999995,33648.94,33648.94,371650.99035,371650.99035,371650.99035
PROSUSDT,924,44115.28800000001,17961.224400000003,300654.0,301159.0,170023.6556,170292.4166,170292.4166
RDNTUSDT,5201,28250002.742399998,13666960.465199998,11899088.0,11899964.0,4266863.2993,4267160.9431,4267160.9431
RPLUSDT,802,85508.49279999999,21377.123199999998,6407.51,6407.51,187581.7719,187581.7719,187581.7719
SEIUSDT,18917,135154158.3488,120774444.95359999,32070796.6,32224718.4,26482392.66404,26601706.16817,26601706.16817
SNTUSDT,3794,1707473.60256,616172.95872,44281484.0,44317479.0,1860684.72004,1862129.45767,1862129.45767
SSVUSDT,2954,784480.1905200002,49865.11483200001,153350.003,155156.03,4849065.42815,4903060.4439,4903060.4439
STGUSDT,3298,3994305.7743499996,3197509.8886000006,1743057.2,1743244.3,1134537.97477,1134650.7856,1134650.7856
SUIUSDT,14943,56434023.7725,19942063.13,5922792.2,5923206.7,9574817.43139,9575453.89614,9575453.89614
SYNUSDT,3670,13725240.8904,0.0,393402.8,397712.3,276114.81020999997,279011.3286,279011.3286
UFTUSDT,211,6331.4400000000005,140789.44,529037.0,530031.0,223484.3237,223889.08049999998,223889.08049999998
USTCUSDT,119233,14993510.811749998,9408082.149,12272731.0,12299868.0,392662.55514259,393490.11652968,393490.11652968
VIBUSDT,2203,196346.43000000002,71162.595,3718119.0,3718426.0,268782.99721,268803.73199,268803.73199
WLDUSDT,71175,596831373.0882001,99570323.18880004,3893233.6,3935470.6,35285435.5294,35650172.8261,35650172.8261
