,coin,cluster_v,cluster_p,trade_min_p,trade_max_p,cluster_v_usdt,cluster_v_buyer_usdt
0,FIOUSDT,10123.0,0.03357,0.03352,0.03364,339.82911,116.68932000000001
0,PAXGUSDT,3.2260999999999997,2010.0115,2007.0,2012.0,6484.49810015,1862.67765705
0,WINGUSDT,520.86,9.3225,9.29,9.36,4855.71735,2442.588225
0,AKROUSDT,787136.0,0.005804,0.005784,0.005856,4568.537344,4633.466692
0,XVSUSDT,120.92,12.714500000000001,12.67,12.71,1537.4373400000002,0.0
0,FLMUSDT,85263.0,0.09885,0.0985,0.0989,8428.24755,1722.9554999999998
0,TRBUSDT,2.37,115.2225,115.05,115.2,273.07732500000003,11.52225
0,DIAUSDT,8158.6,0.51505,0.5138,0.5158,4202.08693,4025.83682
0,SXPUSDT,10251.7,0.36005,0.3595,0.3602,3691.124585,726.328865
0,LUNAUSDT,12323.17,0.6665000000000001,0.6656,0.667,8213.392805000001,15140.767195000004
0,BELUSDT,19228.3,0.7361,0.735,0.7376,14153.95163,8704.45611
0,RSRUSDT,652107.0,0.0031455,0.003131,0.003144,2051.2025685,973.7882937
0,EGLDUSDT,194.39000000000001,58.06699999999999,57.98,58.12,11287.644129999999,3027.0327100000004
0,CRVUSDT,16242.7,0.5994999999999999,0.598,0.6002,9737.49865,6753.54735
0,RUNEUSDT,8275.0,5.434,5.426,5.435,44966.35,31893.7762
0,AXSUSDT,2317.72,8.08,8.06,8.09,18727.1776,1314.2119999999995
0,AAVEUSDT,428.609,99.4985,99.25,99.74,42645.9525865,40326.8415485
0,SANDUSDT,16718.0,0.5215000000000001,0.5202,0.5222,8718.437000000002,3200.9670000000006
0,SUNUSDT,150540.0,0.010915,0.01088,0.01093,1643.1441,826.9094849999999
0,BALUSDT,275.61,4.6715,4.655,4.675,1287.512115,1303.5353599999999
0,AUDIOUSDT,18430.3,0.2405,0.2394,0.2406,4432.48715,3349.6359
0,NTRNUSDT,18638.6,1.5870000000000002,1.583,1.59,29579.4582,21556.062300000005
0,DCRUSDT,319.068,20.3105,20.28,20.44,6480.430614,5427.209326
0,UMAUSDT,2382.5,3.9850000000000003,3.979,3.989,9494.2625,5096.018
0,OXTUSDT,66818.0,0.12315000000000001,0.123,0.1234,8228.636700000001,6196.53855
0,KMDUSDT,1298.0,0.31120000000000003,0.3098,0.3114,403.93760000000003,47.613600000000005
0,WNXMUSDT,4.37,62.641,62.36,62.61,273.74117,0.0
0,ALPHAUSDT,100463.0,0.13855,0.1382,0.1388,13919.148650000001,10508.601850000001
0,NMRUSDT,57.910000000000004,31.0165,30.97,31.03,1796.1655150000001,285.35179999999997
0,KSMUSDT,24.604,47.1405,47.07,47.23,1159.8448620000001,134.82183000000003
0,UTKUSDT,21947.0,0.0796,0.0794,0.08,1746.9812000000002,892.316
0,OCEANUSDT,8283.0,0.7256,0.7209,0.7258,6010.1448,8363.9912
0,YFIUSDT,1.79495,8380.9165,8360.0,8391.0,15043.326071675,10692.70850736
0,UNIUSDT,3122.28,11.1705,11.154,11.231,34877.42874,14026.461735
0,NEARUSDT,35971.4,3.7925,3.783,3.816,136421.5345,73424.69625
0,MANAUSDT,13349.0,0.49915,0.4984,0.5001,6663.15335,3902.3547
0,JSTUSDT,33666.3,0.03389,0.03384,0.03391,1140.9509070000001,2139.9230480000006
0,STORJUSDT,1614.0,0.7312000000000001,0.7301,0.7316,1180.1568000000002,1302.2672000000002
0,ORNUSDT,8725.800000000001,1.5705,1.5588,1.5829,13703.868900000001,6175.99125
0,MKRUSDT,2.0837,2025.034,2022.0,2027.0,4219.5633458,3323.8908076
0,FILUSDT,12498.1,7.835000000000001,7.823,7.856,97922.6135,82082.28060000001
0,IRISUSDT,18075.0,0.03333,0.03328,0.03348,602.43975,122.59440599999999
0,DOTUSDT,9523.48,7.786,7.774,7.794,74149.81528,69906.13383999997
0,INJUSDT,3312.3,34.751999999999995,34.7,34.79,115109.04959999998,109937.95199999999
0,SUSHIUSDT,69743.0,1.6909999999999998,1.677,1.696,117935.41299999999,178826.46289999998
0,TIAUSDT,3490.7,16.950499999999998,16.9248,16.9602,59169.11034999999,11782.292549999998
0,AVAXUSDT,1366.2,36.635,36.58,36.66,50050.737,37571.02424999999
0,CTKUSDT,2324.2,0.7961,0.7949,0.7968,1850.2956199999999,720.0724500000001
0,PNTUSDT,5582.0,0.1812,0.1809,0.1811,1011.4584,1011.4584
0,WANUSDT,3053.0,0.2315,0.2311,0.2315,706.7695,49.7725
0,HIVEUSDT,17.0,0.3339,0.3334,0.3339,5.6762999999999995,5.6762999999999995
0,COMPUSDT,59.07599999999999,67.93199999999999,67.83,67.92,4013.150831999999,4009.890095999999
0,ARDRUSDT,209.0,0.09434999999999999,0.0942,0.0943,19.71915,0.0
0,DGBUSDT,1276.8,0.010305,0.01029,0.01031,13.157423999999999,1867.8276224999997
0,DOCKUSDT,89128.0,0.03453,0.03448,0.03458,3077.5898399999996,3591.91419
0,KAVAUSDT,12949.1,0.8122,0.811,0.813,10517.259020000001,2541.9423400000005
0,ARPAUSDT,38376.0,0.06725,0.06714,0.06726,2580.786,3103.042775000001
0,IOTXUSDT,62832.0,0.059410000000000004,0.05932,0.05939,3732.8491200000003,2875.20636
0,KNCUSDT,331.0,0.6865000000000001,0.6855,0.6865,227.23150000000004,2354.6263500000005
0,RLCUSDT,4144.9,3.7015000000000002,3.696,3.715,15342.34735,14347.7543
0,LSKUSDT,5603.7,1.3535,1.35,1.355,7584.60795,2423.44175
0,LRCUSDT,1592.0,0.2725,0.272,0.2724,433.82000000000005,1025.145
0,MBLUSDT,148504.0,0.0049685,0.004961,0.004967,737.842124,91.96693499999999
0,LTOUSDT,24545.0,0.09834999999999999,0.0975,0.0985,2414.0007499999997,2162.1263999999996
0,STMXUSDT,11018.0,0.007975,0.007963,0.007971,87.86855,87.86855
0,OGNUSDT,2040.0,0.17570000000000002,0.1754,0.1756,358.42800000000005,320.4768
0,NKNUSDT,2277.0,0.13479999999999998,0.1346,0.1348,306.9395999999999,30.464799999999993
0,STXUSDT,4544.2,2.5709999999999997,2.5671,2.5782,11683.138199999998,3910.7480999999993
0,RENUSDT,67262.0,0.08174999999999999,0.081668,0.082,5498.668499999999,3425.6519999999996
0,GFTUSDT,111237.0,0.02121,0.02118,0.02123,2359.33677,1394.5575
0,CHRUSDT,2968.0,0.4232,0.4226,0.4233,1256.0576,434.62640000000005
0,VTHOUSDT,1445388.0,0.0048015,0.004775,0.004831,6940.030482,0.0
0,IQUSDT,311307.0,0.007275,0.007265,0.00728,2264.758425,1992.4188000000001
0,MDTUSDT,50442.1,0.07530500000000001,0.07504,0.07541,3798.5423405000006,2279.4446975000005
0,CHZUSDT,15903.0,0.12714999999999999,0.12693,0.1271,2022.0664499999998,219.58804999999998
0,DATAUSDT,2247.2999999999997,0.07235,0.07226,0.07239,162.59215499999996,407.33773499999995
0,HBARUSDT,148086.0,0.10894999999999999,0.1088,0.1092,16133.969699999998,14580.1248
0,SNXUSDT,10281.4,4.0600000000000005,4.05,4.076,41742.484000000004,14667.968000000003
