coin,Unnamed: 0,cluster_v_usdt,cluster_v_buyer_usdt,v_4_vb,v_8_vb,v_4_b,v_8_b,d8_b
ARDRUSDT,23,557.403,0.0,252885.0,264424.0,23857.9952,24895.508,24895.508
CHZUSDT,3372,205779.04975000003,9775.283150000001,8954174.0,8954174.0,1141166.14821,1141166.14821,1141166.14821
COMPUSDT,12653,6581360.428239999,4589595.121696001,28986.469,28989.145,2005736.66454,2005910.52426,2005910.52426
COTIUSDT,73941,68619859.3132,40869064.0072,7790589.0,7914435.0,1637192.39221,1661999.06233,1661999.06233
CTSIUSDT,2729,865004.1120000001,102835.25280000002,3506047.0,3508572.0,1240982.613,1241831.9621000001,1241831.9621000001
DATAUSDT,3545,1242741.62688,1214689.122816,2912112.0,2914542.7,209842.744637,210012.285962,210012.285962
DGBUSDT,2389,3564807.08424,237409.09338,125414321.3,126932419.6,1389738.323711,1405858.339381,1405858.339381
DOCKUSDT,15,37803.6072,0.0,758042.0,767088.0,25944.531039999998,26239.15926,26239.15926
FUNUSDT,1025,40265.622432000004,6756.6156,29635080.0,29635080.0,167226.979551,167226.979551,167226.979551
HBARUSDT,182,1054821.4853,921566.2296,26148866.0,26519713.0,2815129.6684000003,2852358.0939,2852358.0939
IOTXUSDT,790,39098.401560000006,0.0,6921446.0,6921446.0,399700.18935,399700.18935,399700.18935
IQUSDT,528,44902.047159999995,0.0,17285102.0,19245570.0,134438.75522300001,149155.988999,149155.988999
KAVAUSDT,87,40771.140900000006,0.0,5194488.3,5194488.3,4085765.4682000005,4085765.4682000005,4085765.4682000005
LRCUSDT,544,795881.7641500001,107459.67164999999,4044358.0,4044358.0,1110449.9099,1110449.9099,1110449.9099
LTOUSDT,4602,2055766.86975,901312.18375,8057292.0,8148373.0,809044.7842,817781.3069,817781.3069
MDTUSDT,4346,1292747.0381279998,981093.0314639999,12798263.1,12798398.4,988407.162348,988417.1461349999,988417.1461349999
RLCUSDT,1621,561142.2684000001,0.0,199745.9,199745.9,745566.1291,745566.1291,745566.1291
SCUSDT,59633,270460562.074695,132647648.77009499,229074718.0,352594934.0,2209063.078103,3361584.325141,3361584.325141
WRXUSDT,125,1916.00739,9605.94954,61909.7,61909.7,15086.26415,15086.26415,15086.26415
