,Unnamed: 0,coin,v,price
0,0,GMXUSDT,33.841,50.65
1,1,GMXUSDT,24.401,50.66
2,2,GMXUSDT,53.209,50.72
3,3,GMXUSDT,183.089,50.76
4,0,WLDUSDT,141.8,9.121
5,1,WLDUSDT,396.6,9.123
6,2,WLDUSDT,2074.9,9.124
7,3,WLDUSDT,1396.9,9.125
8,4,WLDUSDT,7634.5,9.126
9,5,WLDUSDT,1150.9,9.127
10,6,WLDUSDT,585.9,9.128
11,7,WLDUSDT,678.1,9.13
12,8,WLDUSDT,1047.5,9.14
13,9,WLDUSDT,2426.2,9.142
14,10,WLDUSDT,2.0,9.143
15,11,WLDUSDT,341.1,9.172
16,0,GLMUSDT,538.3,0.3751
17,1,GLMUSDT,2471.1,0.3752
18,2,GLMUSDT,4605.4,0.3757
19,3,GLMUSDT,34456.0,0.3758
20,0,AGIXUSDT,15805.0,0.77121
21,1,AGIXUSDT,7365.0,0.77122
22,2,AGIXUSDT,0.0,0.77123
23,0,OAXUSDT,7257.0,0.1663
24,1,OAXUSDT,34.0,0.1666
25,0,AMBUSDT,981748.0,0.00982
26,1,AMBUSDT,912682.0,0.00983
27,0,SSVUSDT,15.082,31.76
28,1,SSVUSDT,0.243,31.77
29,2,SSVUSDT,70.075,31.78
30,3,SSVUSDT,45.723,31.79
31,4,SSVUSDT,318.772,31.8
32,5,SSVUSDT,313.033,31.81
33,6,SSVUSDT,956.856,31.82
34,7,SSVUSDT,808.998,31.83
35,0,QKCUSDT,11263.0,0.010741
36,1,QKCUSDT,0.0,0.010745
37,2,QKCUSDT,19064.0,0.010757
38,0,GASUSDT,187.2,6.287
39,1,GASUSDT,393.2,6.288
40,0,CYBERUSDT,4.14,8.611
41,1,CYBERUSDT,61.85,8.618
42,0,PENDLEUSDT,32.5,2.8142
43,1,PENDLEUSDT,3.5,2.8153
44,2,PENDLEUSDT,334.6,2.8154
45,3,PENDLEUSDT,845.0,2.8213
46,0,LEVERUSDT,868124.0,0.001861
47,0,POLYXUSDT,15392.7,0.1863
48,1,POLYXUSDT,52153.4,0.1864
49,2,POLYXUSDT,73975.3,0.1865
50,0,MAVUSDT,295.0,0.6642
51,1,MAVUSDT,1208.0,0.6644
52,2,MAVUSDT,697.0,0.6645
53,3,MAVUSDT,971.0,0.6646
54,0,PHBUSDT,0.0,1.8959
55,1,PHBUSDT,0.0,1.896
56,2,PHBUSDT,512.0,1.8961
57,3,PHBUSDT,0.0,1.8962
58,4,PHBUSDT,28.0,1.8963
59,5,PHBUSDT,0.0,1.8964
60,6,PHBUSDT,0.0,1.8965
61,7,PHBUSDT,0.0,1.8966
62,8,PHBUSDT,84.0,1.8967
63,9,PHBUSDT,0.0,1.8968
