coin,Unnamed: 0,cluster_v_usdt,cluster_v_buyer_usdt,v_4_va,v_8_va,v_4_a,v_8_a,d8_a
AGIXUSDT,239832,187788049.97399998,105887192.48099999,2284483.0,2609956.0,1797064.24701,2068504.52622,2068504.52622
AMBUSDT,342,1011684.23469,56488.558395,308790358.0,309439471.0,3035916.3471600004,3042686.8325300002,3042686.8325300002
ARBUSDT,12963,714712.1948999999,0.0,5037075.6,5299516.7,9342183.20556,9866543.01116,9866543.01116
ARKMUSDT,116688,227199772.53499997,119970831.035,720974.0,1107663.0,1212925.247,1907005.3255,1907005.3255
ASTUSDT,405,197773.61114999998,0.0,4106983.0,4106983.0,446083.1898,446083.1898,446083.1898
COMBOUSDT,233,118563.21495,86424.28709999999,1699910.5,1699910.5,1429261.4013,1429261.4013,1429261.4013
CYBERUSDT,1661,462880.52576000005,0.0,94501.55,94501.55,816633.17192,816633.17192,816633.17192
EDUUSDT,22048,8720824.668000001,989383.3140000001,1085758.0,1088277.0,900372.51187,902539.75871,902539.75871
GLMUSDT,7284,40307425.1308,11981054.574799998,169732.9,242488.80000000002,65566.75215,94654.56097,94654.56097
GMXUSDT,2439,15767466.198300002,11184781.041599998,24880.079,24880.079,1265013.28552,1265013.28552,1265013.28552
HFTUSDT,2325,423794.042,157020.83291999996,3498389.9,3545094.0,1364819.33597,1384005.04501,1384005.04501
HIFIUSDT,1702,1561318.0799999998,2453548.1880000005,1001049.4,1011486.1,673039.93002,680344.57635,680344.57635
HOOKUSDT,8106,9297348.984,3021017.769,443946.9,443946.9,499284.42305,499284.42305,499284.42305
IDUSDT,12407,1778657.643,2336025.015,570175.0,570175.0,337333.31412,337333.31412,337333.31412
LEVERUSDT,1261,3483772.9090560004,684892.7402400001,1656372453.0,1726058986.0,3077400.190137,3215603.082746,3215603.082746
LOOMUSDT,3783,2093406.97005,534830.9504999999,5278675.0,5278675.0,535351.22316,535351.22316,535351.22316
LQTYUSDT,236,42524.85995,0.0,1346403.0,1346403.0,2054654.6025,2054654.6025,2054654.6025
MAGICUSDT,6701,648657.5407,45274.02685,1733863.8,1760139.4,2178881.7907000002,2214147.1529200003,2214147.1529200003
MAVUSDT,5777,11295092.83,6978652.975000001,2960698.0,3094460.0,1973170.637,2066305.2737,2066305.2737
OAXUSDT,65,8363.745,1203.345,1677623.0,1677623.0,283687.60459999996,283687.60459999996,283687.60459999996
OSMOUSDT,3809,732470.5632,404596.0414500001,163327.58,165633.57,259645.793348,263477.706483,263477.706483
PENDLEUSDT,61547,73522644.3594,19578497.826300003,610679.3,610679.3,1751740.18414,1751740.18414,1751740.18414
PHBUSDT,230460,172052260.38000003,135102960.72000003,1471283.0,1560176.0,2810349.3884,2988305.1695,2988305.1695
PROMUSDT,6136,696275.4487500001,212799.66749999995,25351.3,26551.95,284912.93251,299082.62675,299082.62675
PROSUSDT,437,28930.678000000004,11778.918900000002,492058.0,529532.0,286629.2609,309368.7394,309368.7394
RDNTUSDT,4539,24191094.3024,11703316.720199998,3050044.0,3051643.0,1104373.3922000001,1104979.4876,1104979.4876
RPLUSDT,389,37045.22239999999,9261.305599999998,2184.35,2184.35,64892.515999999996,64892.515999999996,64892.515999999996
SEIUSDT,17754,113258295.52419999,101208190.3024,41788879.5,42011637.6,34701237.24052,34898387.5915,34898387.5915
SNTUSDT,1894,1087368.09984,392396.59008,25569676.0,26459280.0,1085674.54731,1125190.7569900001,1125190.7569900001
SSVUSDT,1779,603028.4013000001,38331.21708,116298.824,116408.566,3708822.97714,3712463.3806499997,3712463.3806499997
STGUSDT,4638,3945772.28985,3158658.0066000004,2056159.7,2069230.5,1356287.61129,1365437.17129,1365437.17129
SUIUSDT,12326,51391571.220000006,18160214.16,2401666.4,2408343.5,3906434.71968,3917719.01868,3917719.01868
SYNUSDT,1418,8512288.82145,0.0,79727.9,117896.1,57411.24469,86093.45125,86093.45125
UFTUSDT,1052,16382.601,364292.676,780664.0,797195.0,334113.3249,341552.2749,341552.2749
USTCUSDT,14878,4971601.572749999,3119565.2970000003,12456152.0,12456152.0,401149.1686857,401149.1686857,401149.1686857
VIBUSDT,1115,152127.23400000003,55136.06100000001,4025460.0,4025460.0,294530.72447,294530.72447,294530.72447
WLDUSDT,41092,431562537.64800006,71998261.63200003,2227099.3,2387940.2,20414853.6421,21951322.8957,21951322.8957
