,Unnamed: 0,coin,v,price
0,0,RLCUSDT,184.7,3.701
1,1,RLCUSDT,742.9,3.703
2,0,COMPUSDT,38.322,67.87
3,1,COMPUSDT,28.335,67.96
4,2,COMPUSDT,94.413,67.97
5,0,VTHOUSDT,18103.0,0.004832
6,1,VTHOUSDT,166403.0,0.004837
7,0,RVNUSDT,0.0,0.02432
8,1,RVNUSDT,41123.0,0.02433
9,2,RVNUSDT,63041.1,0.02434
10,3,RVNUSDT,83373.9,0.02435
11,4,RVNUSDT,400194.9,0.02436
12,5,RVNUSDT,170948.8,0.02437
13,6,RVNUSDT,311378.8,0.02438
14,7,RVNUSDT,92826.7,0.02439
15,8,RVNUSDT,115667.9,0.0244
16,9,RVNUSDT,204485.2,0.02441
17,0,SCUSDT,0.0,0.011722
18,1,SCUSDT,0.0,0.011723
19,2,SCUSDT,1531.0,0.011724
20,3,SCUSDT,1948.0,0.011725
21,4,SCUSDT,1531.0,0.011726
22,5,SCUSDT,0.0,0.011727
23,6,SCUSDT,516.0,0.011728
24,7,SCUSDT,1540.0,0.011729
25,8,SCUSDT,3091.0,0.01173
26,9,SCUSDT,1024.0,0.011731
27,10,SCUSDT,0.0,0.011732
28,11,SCUSDT,0.0,0.011733
29,12,SCUSDT,742.0,0.011734
30,13,SCUSDT,0.0,0.011735
31,14,SCUSDT,649.0,0.011736
32,15,SCUSDT,30577.0,0.011737
33,16,SCUSDT,118342.0,0.011738
34,17,SCUSDT,0.0,0.011739
35,18,SCUSDT,223202.0,0.01174
36,19,SCUSDT,0.0,0.011741
37,20,SCUSDT,0.0,0.011747
38,21,SCUSDT,0.0,0.011751
39,22,SCUSDT,0.0,0.011752
40,23,SCUSDT,0.0,0.011759
41,24,SCUSDT,644.0,0.01176
42,25,SCUSDT,0.0,0.011762
43,26,SCUSDT,0.0,0.011763
44,27,SCUSDT,17717.0,0.011764
45,28,SCUSDT,12766.0,0.011778
46,29,SCUSDT,0.0,0.011781
47,30,SCUSDT,12638.0,0.011784
48,31,SCUSDT,6218.0,0.011796
49,32,SCUSDT,1710.0,0.011815
50,33,SCUSDT,56322.0,0.011819
51,34,SCUSDT,13888.0,0.011936
52,35,SCUSDT,10166.0,0.011997
53,36,SCUSDT,186429.0,0.01265
54,37,SCUSDT,415734.0,0.0129
55,38,SCUSDT,4302736.0,0.0166
56,0,GFTUSDT,1997.0,0.0212
57,1,GFTUSDT,19411.0,0.02121
58,2,GFTUSDT,62888.0,0.02122
59,3,GFTUSDT,88272.0,0.02123
60,4,GFTUSDT,257400.0,0.02124
61,5,GFTUSDT,188951.0,0.02125
62,6,GFTUSDT,154.0,0.02126
63,7,GFTUSDT,95091.0,0.02129
64,8,GFTUSDT,53904.0,0.02131
65,0,KNCUSDT,13074.2,0.6873
66,1,KNCUSDT,79.5,0.6874
67,0,BANDUSDT,3461.6,2.085
68,0,SOLUSDT,861.84,104.09
69,1,SOLUSDT,285.62,104.1
70,2,SOLUSDT,467.39,104.11
71,3,SOLUSDT,608.76,104.12
72,4,SOLUSDT,173.36,104.13
73,5,SOLUSDT,662.5,104.14
74,6,SOLUSDT,578.59,104.15
75,7,SOLUSDT,1541.37,104.17
76,8,SOLUSDT,409.68,104.18
77,9,SOLUSDT,297.04,104.19
78,10,SOLUSDT,389.31,104.22
79,11,SOLUSDT,944.13,104.5
80,0,MDTUSDT,0.0,0.07542
