,coin,cluster_v,cluster_p,trade_min_p,trade_max_p,cluster_v_usdt,cluster_v_buyer_usdt
0,GALUSDT,1864.288,3.0445,3.034,3.049,5675.824816,1966.1959455000003
0,GMTUSDT,7327.799999999999,0.2642,0.2638,0.2643,1936.0047599999998,1780.0210799999998
0,ACAUSDT,9082.9,0.10155,0.1014,0.1017,922.3684949999999,717.5705790000001
0,APEUSDT,5414.76,1.766,1.763,1.766,9562.46616,2475.56114
0,IMXUSDT,3353.41,3.1005000000000003,3.0955,3.1115,10397.247705,6906.115710000001
0,SPELLUSDT,38431242.0,0.0009141500000000001,0.0009082,0.0009171,35131.9198743,15131.328010050001
0,API3USDT,25685.8,3.9050000000000002,3.899,3.911,100303.049,47681.416750000004
0,RNDRUSDT,17894.71,7.5,7.489,7.518,134210.32499999998,117913.04999999999
0,WOOUSDT,33559.2,0.51595,0.5152,0.5166,17314.86924,8454.614675
0,POWRUSDT,45314.0,0.35665,0.3561,0.3574,16161.2381,11610.74075
0,AMPUSDT,6315372.0,0.0050255000000000005,0.004933,0.005063,31737.901986000004,6087.910802
0,ACHUSDT,2750847.0,0.026905,0.02684,0.02719,74011.538535,24450.67209
0,JASMYUSDT,3036882.7,0.015575,0.015522,0.015621,47299.4480525,20983.485722499998
0,MLNUSDT,17.926,18.735500000000002,18.67,18.75,335.852573,0.0
0,ERNUSDT,12.2,2.4555,2.452,2.455,29.957099999999997,65.3163
0,DFUSDT,24973.0,0.045064999999999994,0.045,0.04513,1125.4082449999999,1146.9042499999998
0,VIDTUSDT,12673.0,0.036035,0.03598,0.03606,456.67155499999996,7.78356
0,REQUSDT,6944.0,0.10694999999999999,0.1068,0.107,742.6607999999999,173.15204999999997
0,DARUSDT,8866.0,0.15705,0.15665,0.157,1392.4053,0.0
0,ALPACAUSDT,12025.6,0.19390000000000002,0.1934,0.1941,2331.76384,24.14055
0,SYSUSDT,5094.0,0.14665,0.1463,0.1466,747.0351,0.0
0,GHSTUSDT,15.4,1.0345,1.033,1.035,15.9313,9.00015
0,CHESSUSDT,2278.2,0.2148,0.2143,0.2148,489.3573599999999,0.0
0,LAZIOUSDT,68.92,2.7645,2.76,2.763,190.52934,113.15098500000002
0,XVGUSDT,268745.0,0.004029,0.004023,0.004029,1082.7736049999999,0.0
0,BETAUSDT,17323.0,0.07855000000000001,0.07846,0.07884,1360.7216500000002,3167.1360000000004
0,MBOXUSDT,26712.4,0.33815,0.3353,0.3411,9032.798060000001,3503.3016300000004
0,LPTUSDT,209.53,13.750499999999999,13.73,13.76,2881.142265,476.86733999999996
0,ATAUSDT,27128.0,0.13755,0.1372,0.1378,3731.4564,2643.29835
0,AGLDUSDT,317.8,1.4289999999999998,1.427,1.429,454.1362,423.4127
0,IDEXUSDT,9520.599999999999,0.06745000000000001,0.06738,0.06746,642.16447,535.370885
0,YGGUSDT,2992.3,0.52495,0.5242,0.5252,1570.8078850000002,852.046345
0,QUICKUSDT,653.0,0.06014,0.06005,0.06019,39.27142,0.0
0,MOVRUSDT,7.78,21.918,21.885,21.908,170.52204,0.0
0,CVPUSDT,982.8,0.46209999999999996,0.4614,0.4622,454.15187999999995,0.0
0,ILVUSDT,13.722,98.76150000000001,98.22,98.79,1355.2053030000002,725.2056945
0,FLOWUSDT,13321.94,1.0045,1.001,1.006,13381.88873,7699.120834999998
0,BEAMXUSDT,93445.0,0.031435,0.031385,0.03148,2937.443575,2156.0009099999997
0,AUCTIONUSDT,212.32999999999998,27.741500000000002,27.7,27.85,5890.352695,4585.392535
