,Unnamed: 0,coin,v,price,cluster_v,cluster_p,trade_min_p,trade_max_p,cluster_v_usdt,cluster_v_buyer_usdt,v_4_vb,v_8_vb
3984,0,DENTUSDT,8491399.0,0.001445,5130016.0,0.0014485000000000001,0.001442,0.001449,7430.828176000001,367.872648,0.0,0.0
3985,0,IOTAUSDT,19140.0,0.2721,16586.0,0.27190000000000003,0.2715,0.2726,4509.7334,3831.6148000000003,0.0,0.0
3986,0,VETUSDT,15750.9,0.04417,481084.2,0.04446,0.04435,0.0445,21389.003532,13329.503693999999,15750.9,15750.9
3987,1,VETUSDT,35799.1,0.04415,481084.2,0.04446,0.04435,0.0445,21389.003532,13329.503693999999,35799.1,35799.1
3988,0,DUSKUSDT,0.0,0.2099,51.0,0.29085,0.2904,0.2907,14.83335,0.0,0.0,0.0
3989,1,DUSKUSDT,0.0,0.2078,51.0,0.29085,0.2904,0.2907,14.83335,0.0,0.0,0.0
3990,2,DUSKUSDT,0.0,0.2057,51.0,0.29085,0.2904,0.2907,14.83335,0.0,0.0,0.0
3991,0,CELRUSDT,155387.0,0.02372,104569.9,0.023795,0.02376,0.0238,2488.2407705,1232.2145569999998,155387.0,155387.0
3992,0,LINKUSDT,385.78,18.433,246.35999999999999,18.4575,18.43,18.45,4547.1897,11562.14715,0.0,0.0
3993,1,LINKUSDT,56.15,18.428,246.35999999999999,18.4575,18.43,18.45,4547.1897,11562.14715,56.15,56.15
3994,0,KEYUSDT,3527.0,0.007214,283598.0,0.0072250000000000005,0.007214,0.007225,2048.99555,3326.9391,0.0,0.0
3995,1,KEYUSDT,54822.0,0.007213,283598.0,0.0072250000000000005,0.007214,0.007225,2048.99555,3326.9391,54822.0,54822.0
3996,2,KEYUSDT,94118.0,0.007212,283598.0,0.0072250000000000005,0.007214,0.007225,2048.99555,3326.9391,94118.0,94118.0
3997,3,KEYUSDT,1230518.0,0.0072,283598.0,0.0072250000000000005,0.007214,0.007225,2048.99555,3326.9391,1230518.0,1230518.0
3998,4,KEYUSDT,159373.0,0.007197,283598.0,0.0072250000000000005,0.007214,0.007225,2048.99555,3326.9391,159373.0,159373.0
3999,5,KEYUSDT,364372.0,0.007196,283598.0,0.0072250000000000005,0.007214,0.007225,2048.99555,3326.9391,364372.0,364372.0
