,coin,Unnamed: 0_x,cluster_v_usdt_x,cluster_v_buyer_usdt_x,v_4_vb,v_8_vb,v_4_b,v_8_b,d8_b,Unnamed: 0_y,cluster_v_usdt_y,cluster_v_buyer_usdt_y,v_4_va,v_8_va,v_4_a,v_8_a,d8_a,cluster_v,cluster_p,trade_min_p,trade_max_p,cluster_v_usdt,cluster_v_buyer_usdt,amount_max,till_date,Unnamed: 0,buyer,trades_v_usdt,liq_v_l_usdt,liq_v_s_usdt,cluster_max_avg,liq_l_max_avg,liq_s_max_avg,C-i,B/A,B-i,BVi,A/B,A-i,AVi,Liq L,Liq S,L-i L,L-i S,BVi_test,AVi_test
100,AUDIOUSDT,833050,8492574763.239059,5188030049.466839,37074860.8,38098585.3,8985154.45691,9223168.81154,9223168.81154,239312,4612310655.5799,2817615027.9185996,20422476.5,22265430.4,5503532.6287,6018781.015810001,6018781.015810001,788431.8,0.2521,0.245,0.2645,198763.65678,121422.75491999998,240242.0,2024-02-18,0,5532,3231503.47822,6498.976,10351.4018,179501.7768925,62521.499180000006,12677.01291,1.1,1.5,1.0,45.2,0.7,0.9,27.7,6.5,10.4,0.1,0.8,2.8,1.7
199,ATAUSDT,181955,2647938749.775,691609437.1999999,112893232.0,116046201.0,16207480.5208,16641048.0511,16641048.0511,38623,1166078329.4358,304565495.4144,71479390.0,82567834.0,10725379.0,12491837.9895,12491837.9895,832443.0,0.14795,0.1448,0.149,123159.94185,32167.8808,209690.0,2024-02-18,0,1540,1222988.3299,,228.4527,113955.960605,52141.991740000005,13179.87905,1.1,1.3,1.0,131.6,0.8,0.9,87.1,,0.2,,0.0,13.3,8.8
57,COTIUSDT,17137563,69233602726.08,21983929615.44,79910678.0,85854878.0,13387947.71352,14344748.64036,14344748.64036,4616557,36918402762.24,11722798408.32,185813581.0,234601957.0,35012201.25846,44525095.7895,44525095.7895,1895024.0,0.18,0.1698,0.18436,341104.32,108311.76,3226684.0,2024-02-18,0,21588,6933387.93104,18024.35338,79224.60472,375153.70627950004,76733.928748,117910.405711,0.9,0.3,0.9,39.2,3.1,0.8,102.6,18.0,79.2,0.2,0.7,1.9,5.0
286,SPELLUSDT,1076023,10842467830.47415,3687260300.133041,8760565703.0,9356821737.0,7256437.6521401,7726713.1066761,7726713.1066761,456735,7420830404.665926,2523644411.306341,5500760881.0,5827341703.0,4813688.3718275,5113737.7251542,5113737.7251542,263351853.0,0.0008597,0.0008339,0.0008671,226403.5880241,76994.3683469,479595.0,2024-02-18,0,4887,1958527.6623956,11340.2289482,183.7141429,270475.02386313997,82763.01525785998,60496.474595839994,0.8,1.5,0.9,32.1,0.7,0.9,21.3,11.3,0.2,0.1,0.0,3.7,2.5
247,ACHUSDT,326049,4362495255.62361,2814982263.3942447,552857209.0,563965986.0,14720851.19562,15001080.7163,15001080.7163,124058,2698757971.12845,1741424431.8380249,127559009.0,172105273.0,3551553.82628,4843401.24605,4843401.24605,5616786.0,0.027215,0.02682,0.02761,152860.83099,98636.33145499999,327899.0,2024-02-18,0,2676,1757930.88476,2388.1558554,449.62236299999995,201350.08289350002,79104.1345578,14097.097273340001,0.8,3.1,1.0,96.3,0.3,0.7,23.2,2.4,0.4,0.0,0.0,8.4,2.0
267,JASMYUSDT,3243170,40914215820.72613,22112879563.48707,1077464454.7,1101378702.1,17144888.2190164,17503779.6674792,17503779.6674792,1839146,32038654378.854504,17315910654.626442,673279690.0,782183758.0,11305372.3962012,13203570.6091101,13203570.6091101,26783956.1,0.016204999999999997,0.016003,0.016509,434034.00860049995,234582.07779649997,402005.0,2024-02-18,0,10474,4797598.7481451,8075.882854,3694.1076820000003,657068.778531,144354.77110820002,120398.74217050002,0.7,1.3,1.0,39.5,0.8,0.9,26.0,8.1,3.7,0.1,0.0,3.6,2.4
85,SCUSDT,1691788,13796946410.234985,12228777608.333311,1317650402.0,1560506245.0,14083882.340409,16569823.128501,16569823.128501,864010,9894772462.55712,8770126978.23552,398555081.0,683756865.0,4776135.79878,8330331.425606,8330331.425606,21082377.0,0.011405,0.010873,0.011817,240444.509685,213115.44951,79392.0,2024-02-18,0,6098,2448230.491021,,,403310.4589515,,,0.6,2.0,0.8,58.6,0.5,0.6,19.9,,,,,5.8,2.0
1,ALGOUSDT,14744,606714396.4485,297276765.8121,32961569.0,33979495.0,6356849.08,6543913.0747,6543913.0747,10079,504564204.615,247225409.139,24373683.0,24612842.0,4799517.8878,4849448.1417000005,4849448.1417000005,705405.0,0.19490000000000002,0.1934,0.1963,137483.4345,67363.8717,4790897.0,2024-02-18,0,377,450845.81309999997,,159.18027,281298.18959,114962.399818,32678.374296,0.5,1.3,1.0,46.2,0.7,1.0,34.9,,0.2,,0.0,14.1,10.6
0,ADAUSDT,134366,8583273141.72144,5397348725.936159,37671195.0,40042135.2,22043088.85379,23358965.63797,23358965.63797,70546,7268526181.96253,4570607259.01367,58404244.1,79502117.0,35133183.90712,48445941.50919,48445941.50919,1315759.7,0.5987,0.5895,0.5998,787745.33239,495351.38820999995,4092818.7,2024-02-18,0,1474,3816889.9738,15.284360000000001,4382.52318,1675315.702968,386165.984198,164951.659928,0.5,0.5,0.9,28.0,2.1,0.7,44.6,0.0,4.4,0.0,0.0,5.8,9.2
257,CITYUSDT,6045,54188788.92096001,7425059.46176,711229.96,711348.66,2256278.64439,2256634.97319,2256634.97319,3141,35048454.24504001,4802411.3842400005,532317.37,615148.53,1744227.66836,2024019.55119,2024019.55119,8761.29,3.208,3.2,3.219,28106.218320000004,3851.1719200000002,107110.0,2024-02-18,0,75,48431.68155,,,69020.35391799998,,,0.4,1.1,1.0,80.3,0.9,0.9,62.1,,,,,46.6,36.0
