coin,Unnamed: 0,cluster_v_usdt,cluster_v_buyer_usdt,v_4_va,v_8_va,v_4_a,v_8_a,d8_a
ACHUSDT,11869,38913978.02528,14535538.78536,34857310.0,38610717.0,960707.48264,1069399.55861,1069399.55861
ALCXUSDT,1032,652369.2156609,481672.60452315,5555.3558,5555.3558,173088.640665,173088.640665,173088.640665
AMPUSDT,5322,1482288.3738,2076863.61285,31643872.0,31643872.0,159645.537479,159645.537479,159645.537479
APEUSDT,329,453986.12159999995,230308.23551999996,2186053.1,2186053.1,3868904.64524,3868904.64524,3868904.64524
API3USDT,886,862607.5392,408828.4416,194619.16,199573.37,760866.54608,781428.29558,781428.29558
BSWUSDT,50,1108.23174,0.0,744926.5,744926.5,96093.63468,96093.63468,96093.63468
ENSUSDT,699,27805.166400000002,27805.166400000002,148667.62,148667.62,3214355.9948,3214355.9948,3214355.9948
FLUXUSDT,681,23322.918820000003,18725.455295,91199.86,91199.86,80835.487952,80835.487952,80835.487952
GALUSDT,1410,2217847.8581155,1458607.6502199997,250540.247,250591.015,765012.60143,765177.394358,765177.394358
IMXUSDT,11855,1416085.6079,0.0,243274.61,243274.61,758284.556913,758284.556913,758284.556913
JASMYUSDT,25926,30792988.355629504,8220968.3529765,81350729.4,81708846.7,1275086.7780089001,1281001.4803189,1281001.4803189
LDOUSDT,1705,5954291.90721,6826926.73707,638935.27,638935.27,2120375.16063,2120375.16063,2120375.16063
PORTOUSDT,89,1250.93157,0.0,29505.7,39263.89,90009.98746,120457.81258,120457.81258
POWRUSDT,670,222339.61750000002,67258.2625,1559403.0,1559403.0,558475.4983,558475.4983,558475.4983
PYRUSDT,218,150438.0831175,0.0,8354.05,8354.05,55667.501598999996,55667.501598999996,55667.501598999996
QIUSDT,140,42356.63850000001,2790.5790000000006,21724076.0,21724076.0,370968.08194999996,370968.08194999996,370968.08194999996
RNDRUSDT,13807,57682162.563825004,31453117.384335,890584.4,890584.4,6712486.34458,6712486.34458,6712486.34458
SCRTUSDT,1239,928564.745625,741926.0062500001,202394.1,202394.1,106608.20993,106608.20993,106608.20993
SPELLUSDT,18619,17082025.087302,6134848.310209501,1824954371.0,1825189474.0,1675138.6308351,1675362.8589203,1675362.8589203
WOOUSDT,2396,1133726.2804999999,580109.0409999999,2166220.4,2167516.0,1122137.71456,1122836.0871000001,1122836.0871000001
