coin,Unnamed: 0,cluster_v_usdt,cluster_v_buyer_usdt,v_4_vb,v_8_vb,v_4_b,v_8_b,d8_b
ALICEUSDT,71,44629.155900000005,82511.73210000001,78940.26,78940.26,115596.21588,115596.21588,115596.21588
ARUSDT,48723,70205605.03425,59508558.0831,78553.12,78616.72,1130596.99392,1131466.67113,1131466.67113
CELOUSDT,611,3478351.6875,2565912.875,4696248.5,4729267.0,4119784.6368,4147274.6315,4147274.6315
CKBUSDT,112114,120606370.451375,64820752.77173,159362546.0,162138192.0,2242187.874873,2279715.738979,2279715.738979
DODOUSDT,291,199890.87480000002,12522.24144,2764924.2,2771758.6,538895.56059,540173.5933899999,540173.5933899999
GRTUSDT,4605,19875066.20645,11365462.657150002,26015598.0,26052503.0,7753442.0514,7763791.1079,7763791.1079
HARDUSDT,157,3015.0,0.0,438266.0,438266.0,87017.9087,87017.9087,87017.9087
ICPUSDT,7128,5780322.345610001,301480.95026500005,204413.46,204413.46,2527801.95378,2527801.95378,2527801.95378
LINAUSDT,3013,26758.09261125,34567.17639375,32569088.419999998,32674811.93,312240.05342658,313214.78054524,313214.78054524
LITUSDT,196,564511.7000000001,3739.3,647251.7,675868.7999999999,788720.4051,821630.0701,821630.0701
MASKUSDT,3727,7213108.15575,7289122.58305,1321159.0,1321159.0,5891765.9684,5891765.9684,5891765.9684
REEFUSDT,439,17938.436447999997,17938.436447999997,128922789.0,128922789.0,231064.901681,231064.901681,231064.901681
RIFUSDT,252,156033.21600000001,0.0,2404720.0,2415845.0,464373.0825,466431.2075,466431.2075
SLPUSDT,652,69339.03871950001,6869.502288,100889222.0,100889222.0,369929.00543,369929.00543,369929.00543
STRAXUSDT,357,386213.2650000001,353575.24245,746019.4,747976.6,811825.1435,813856.5379,813856.5379
SUPERUSDT,1590,11208.632,33928.831999999995,624057.0,627413.0,619369.565,622557.765,622557.765
TKOUSDT,243,2076.4446000000003,0.0,106305.9,106305.9,47575.79922,47575.79922,47575.79922
TLMUSDT,385,132519.3456,636926.8122,48829063.0,48836916.0,877957.57003,878091.3066199999,878091.3066199999
TRUUSDT,6118,7282577.2481,6392372.90692,6440243.0,6590728.0,420673.63055,430111.83733,430111.83733
TWTUSDT,8737,681767.8875,0.0,460394.0,460394.0,612561.7313,612561.7313,612561.7313
