coin,Unnamed: 0,cluster_v_usdt,cluster_v_buyer_usdt,v_4_va,v_8_va,v_4_a,v_8_a,d8_a
ANKRUSDT,1519,5868767.831850001,6367786.771500001,8020574.5,8020574.5,262380.963253,262380.963253,262380.963253
CELRUSDT,632,214616.75335,24391.399,18425330.5,18470372.1,466605.176206,467822.59073999996,467822.59073999996
EOSUSDT,49,700256.1373500001,0.0,2405691.1,2405691.1,1917182.6886,1917182.6886,1917182.6886
FETUSDT,16593,18029000.656,6882873.791999999,2228576.0,2293890.0,2470692.0073,2547086.5873,2547086.5873
FTMUSDT,1212,9583197.795599999,1736213.7077999997,3365844.0,3365844.0,1399489.1605,1399489.1605,1399489.1605
KEYUSDT,2434,110251.04428800002,0.0,26887159.0,32098843.0,193492.907738,233204.829902,233204.829902
MTLUSDT,241,215917.8024,215917.8024,505251.9,505251.9,816130.6732000001,816130.6732000001,816130.6732000001
OMGUSDT,42,1356.8467500000002,0.0,557544.3,558048.9,424442.12230000005,424844.7931,424844.7931
ONEUSDT,3605,7084791.055153,4946250.833307,70541085.8,71507545.1,1588448.932978,1611335.16249,1611335.16249
ONGUSDT,502,146042.16,10854.7648,151015.0,151015.0,52052.6484,52052.6484,52052.6484
TFUELUSDT,479,29711.304770000002,6847.63919,462191.0,462191.0,23159.89439,23159.89439,23159.89439
THETAUSDT,198,1290.7079999999999,135237.51599999997,929401.0,929401.0,1203185.7293,1203185.7293,1203185.7293
VITEUSDT,52,42005.9855475,41412.392100000005,2386842.5,2386842.5,60148.817454,60148.817454,60148.817454
XLMUSDT,153,56636.748,108067.19700000001,19973301.0,19973301.0,2318985.3295,2318985.3295,2318985.3295
ZECUSDT,646,10920.098575999999,10920.098575999999,17457.034,17457.034,484274.8332,484274.8332,484274.8332
