,coin,cluster_v,cluster_p,trade_min_p,trade_max_p,cluster_v_usdt,cluster_v_buyer_usdt
0,FLUXUSDT,170.96,0.88015,0.8788,0.8806,150.47044400000001,120.809389
0,PORTOUSDT,10.03,2.9695,2.965,2.968,29.784084999999997,0.0
0,QIUSDT,24923.0,0.016995000000000003,0.01697,0.017,423.5663850000001,27.905790000000007
0,LDOUSDT,5581.09,3.303,3.298,3.309,18434.34027,21135.99609
0,GALUSDT,2099.357,3.0445,3.04,3.049,6391.4923865,4203.480259999999
0,BSWUSDT,242.3,0.12705,0.1267,0.127,30.784215,0.0
0,WOOUSDT,5353.7,0.5165,0.5159,0.5169,2765.18605,1414.9000999999996
0,IMXUSDT,469.34,3.1105,3.106,3.1095,1459.8820699999999,0.0
0,SCRTUSDT,6459.299999999999,0.52275,0.522,0.5233,3376.599075,2697.9127500000004
0,JASMYUSDT,1171725.1,0.015615,0.015575,0.015625,18296.487436500003,4884.7108455
0,API3USDT,775.28,3.904,3.898,3.904,3026.69312,1434.48576
0,SPELLUSDT,13140924.0,0.0009135,0.0009123,0.0009154,12004.234074,4311.2075265
0,POWRUSDT,3157.0,0.3575,0.3568,0.3575,1128.6275,341.41249999999997
0,PYRUSDT,527.965,6.6265,6.61,6.628,3498.5600725000004,0.0
0,ACHUSDT,1131644.0,0.027205,0.02708,0.02737,30786.37502,11499.635115
0,AMPUSDT,633140.0,0.0050025,0.004965,0.005005,3167.28285,4437.7427625
0,APEUSDT,1459.8,1.767,1.764,1.767,2579.4665999999997,1308.5695199999998
0,ALCXUSDT,80.4662,30.8265,30.78,30.89,2480.4913143,1831.45477005
0,ENSUSDT,5.28,21.5825,21.55,21.58,113.9556,113.9556
0,RNDRUSDT,5981.35,7.5165,7.505,7.524,44958.817275,24515.290245
0,LPTUSDT,9.74,13.7605,13.74,13.76,134.02727000000002,134.02727000000002
0,DEXEUSDT,405.91,4.095000000000001,4.089,4.098,1662.2014500000002,744.7167000000002
0,RAYUSDT,945.6,0.9435,0.9425,0.9437,892.1736000000001,2656.7073
0,SYSUSDT,976.0,0.1466,0.1464,0.1466,143.0816,0.0
0,BEAMXUSDT,171278.0,0.031365000000000004,0.031315,0.031387,5372.134470000001,1520.3242800000003
0,AUCTIONUSDT,11.8,27.761499999999998,27.72,27.75,327.5857,0.0
0,C98USDT,3648.1000000000004,0.34525,0.3444,0.3452,1259.5065250000002,348.529875
0,FRONTUSDT,5319.0,0.62485,0.6233,0.6273,3323.57715,215.57325
0,MBOXUSDT,11510.5,0.33799999999999997,0.3375,0.3383,3890.5489999999995,1147.4424
0,DYDXUSDT,2827.48,3.4459999999999997,3.441,3.445,9743.496079999999,42.31688
0,ALPACAUSDT,1312.3000000000002,0.19390000000000002,0.1936,0.1941,254.45497000000006,35.580650000000006
0,ILVUSDT,1.755,98.77799999999999,98.63,98.79,173.35538999999997,157.15579799999998
0,ATAUSDT,400.0,0.13740000000000002,0.1372,0.1374,54.96000000000001,100.30200000000002
0,ALICEUSDT,415.89,1.4700000000000002,1.468,1.471,611.3583000000001,1130.2977
0,REEFUSDT,73156.0,0.001803,0.0018,0.001802,131.90026799999998,131.90026799999998
0,TKOUSDT,50.1,0.4505,0.4499,0.4504,22.570050000000002,0.0
0,SLPUSDT,90117.0,0.0036815,0.003676,0.003681,331.7657355,32.868432
0,HARDUSDT,201.0,0.2,0.1997,0.1999,40.2,0.0
0,RIFUSDT,6320.0,0.19440000000000002,0.1941,0.1944,1228.6080000000002,0.0
