,coin,Unnamed: 0_x,cluster_v_usdt_x,cluster_v_buyer_usdt_x,v_4_vb,v_8_vb,v_4_b,v_8_b,d8_b,Unnamed: 0_y,cluster_v_usdt_y,cluster_v_buyer_usdt_y,v_4_va,v_8_va,v_4_a,v_8_a,d8_a,cluster_v,cluster_p,trade_min_p,trade_max_p,cluster_v_usdt,cluster_v_buyer_usdt,amount_max,till_date,Unnamed: 0,buyer,trades_v_usdt,liq_v_l_usdt,liq_v_s_usdt,cluster_max_avg,liq_l_max_avg,liq_s_max_avg,C-i,B/A,B-i,BVi,A/B,A-i,AVi,Liq L,Liq S,L-i L,L-i S,BVi_test,AVi_test
2,COSUSDT,84,2675527.7028480005,243245.173248,45491446.1,45491446.1,303218.48609,303218.48609,303218.48609,55,2229606.4190400005,202704.31104,10302444.5,17309864.5,70402.249868,119850.20318099999,119850.20318099999,6032484.9,0.00672,0.00671,0.00673,40538.29852800001,3685.532928,31169999.7,2024-02-18,0,15,41505.919987,,,145807.663794165,,,0.3,2.5,1.0,7.5,0.4,0.6,1.7,,,,,7.3,1.7
152,WLDUSDT,20330,182309877.79500002,28492517.04899999,2039283.3,2102623.3,16824960.8036,17312789.9765,17312789.9765,10643,126641046.4975,19792247.244499996,846615.1,895166.1,7047489.7424,7474257.3424,7474257.3424,13382.5,8.2865,8.274,8.297,110894.08625000001,17331.214749999996,3842802.0,2024-02-18,0,159,146271.2444,,,1583927.72772,237848.53727410003,199653.99799722998,0.1,2.3,1.0,151.7,0.4,0.9,63.6,,,,,115.0,48.2
17,COTIUSDT,888930,457338089.25,179354290.50000003,14846640.0,16905357.0,2435005.32785,2759413.76392,2759413.76392,287926,257897418.75,101139637.50000001,14013871.0,19214750.0,2383545.50714,3319248.674,3319248.674,226412.0,0.16875,0.166,0.16915,38207.025,14983.650000000001,3226684.0,2024-02-18,0,984,399084.41485,,5549.20121,375153.70627950004,76733.928748,117910.405711,0.1,0.8,0.9,63.7,1.2,0.7,62.4,,5.5,,0.0,6.1,6.0
69,MASKUSDT,20870,79799847.12480001,26529356.9508,2156404.3,2157608.1,10026403.2996,10031712.2914,10031712.2914,13864,60589642.60800001,20142949.068,1792546.0,1794655.9,8453743.7515,8464283.9996,8464283.9996,10023.2,4.686,4.679,4.698,46968.715200000006,15614.6892,732237.0,2024-02-18,0,115,150294.7179,,,921861.43652,210850.69904,200994.0895,0.1,1.2,1.0,213.5,0.8,1.0,180.0,,,,,66.7,56.2
106,ACHUSDT,10123,16507522.85106,14166639.702359999,108559568.0,109839822.0,2867057.17182,2898767.59803,2898767.59803,3993,10284239.4759,8825861.7954,55870191.0,60839520.0,1500846.84921,1639879.10854,1639879.10854,494651.0,0.026654999999999998,0.02659,0.0267,13184.922405,11315.207429999999,327899.0,2024-02-18,0,116,43841.40716,,,201350.08289350002,79104.1345578,14097.097273340001,0.1,1.8,1.0,217.4,0.6,0.9,113.8,,,,,65.4,34.2
117,JASMYUSDT,127420,442977133.8564,217417226.862924,307177850.0,309939360.2,5080413.8255767,5124154.4308725,5124154.4308725,72223,336921572.47319996,165364187.807412,163304776.5,218990001.2,2746886.0440369,3746893.2897949,3746893.2897949,5712720.0,0.016665,0.01664,0.016698,95202.4788,46726.246908,402005.0,2024-02-18,0,409,203357.7981778,,,657068.778531,144354.77110820002,120398.74217050002,0.1,1.4,1.0,53.4,0.7,0.7,28.9,,,,,25.0,13.5
125,STEEMUSDT,721,936950.4982799999,6796.463400000001,909655.7,941479.7,224564.71676,231954.73046,231954.73046,419,696382.1270999999,5051.4255,344625.1,360509.0,86214.28401999999,90332.97929,90332.97929,16956.6,0.2489,0.2483,0.2489,4220.49774,30.614700000000003,36622.0,2024-02-18,0,13,9699.4453,,,70447.935116,58189.4738918,3786.2682537,0.1,2.6,1.0,53.2,0.4,1.0,20.4,,,,,23.2,8.9
128,WOOUSDT,11961,15677629.8546,14358755.21055,2743171.4,2779654.9,1438471.67786,1456569.43185,1456569.43185,10873,14814522.87,13568256.7725,3769592.1,3795648.4,1997094.1973299999,2011686.19315,2011686.19315,24432.8,0.52725,0.5259,0.5283,12882.1938,11798.48415,245256.0,2024-02-18,0,62,31839.47003,273.60785999999996,,252390.88187400004,97555.654608,21394.143894000004,0.1,0.7,1.0,111.7,1.4,1.0,155.0,0.3,,0.0,,45.2,62.7
28,SCUSDT,162614,154693338.71418,80639579.97261,314431359.0,448043723.0,3565690.093378,5032039.338803,5032039.338803,56701,90054336.897,46944128.056499995,17273896.0,24598900.0,206045.148093,297360.618581,297360.618581,2876538.0,0.011595,0.011541,0.01171,33353.45811,17386.714095,79392.0,2024-02-18,0,339,148773.477744,,,403310.4589515,,,0.1,16.9,0.7,106.9,0.1,0.7,6.2,,,,,24.0,1.4
129,AGIXUSDT,84652,102993082.10070002,79024841.07210001,1633867.0,1633915.0,1210952.76679,1210986.77599,1210986.77599,68016,100204715.58735003,76885374.84705001,1072946.0,1072954.0,802828.93116,802835.1516399999,802835.1516399999,47431.0,0.7441500000000001,0.74303,0.74647,35295.77865000001,27081.850950000004,531857.0,2024-02-18,0,193,95860.74535,797.1117828000001,,647455.8348000001,163355.04307946,102163.86738759,0.1,1.5,1.0,34.3,0.7,1.0,22.7,0.8,,0.0,,12.6,8.4
131,ARKMUSDT,27448,56451524.26399999,28751220.887999997,791605.0,792800.0,1094930.8023,1096499.0301,1096499.0301,15223,38865629.791999996,19794581.663999997,791474.0,806757.0,1115145.9713,1137459.1513,1137459.1513,28792.0,1.3944999999999999,1.3922,1.3987,40150.443999999996,20448.947999999997,982579.0,2024-02-18,0,110,107616.7634,,502.517488,538807.38513,180586.10786894,59227.52588337,0.1,1.0,1.0,27.3,1.0,1.0,27.8,,0.5,,0.0,10.2,10.4
132,ASTUSDT,341,391081.527,78381.64259999999,2383258.0,2383258.0,258729.1363,258729.1363,258729.1363,257,325901.2725,65318.0355,2518476.0,3221888.0,279001.8885,359375.1205,359375.1205,33115.0,0.10935,0.1092,0.1096,3621.12525,725.75595,46150.0,2024-02-18,0,2,7409.2641,,,58578.442500000005,,,0.1,0.7,1.0,71.4,1.4,0.8,77.0,,,,,34.9,37.7
39,CTKUSDT,7973,3975896.55312,2834683.8076800006,400273.9,400372.9,314444.76297,314517.61707,314517.61707,3654,2523965.7438,1799504.7732000002,105266.7,105266.7,83869.83677,83869.83677,83869.83677,6565.8,0.7926,0.7914,0.795,5204.05308,3710.3191200000006,75993.0,2024-02-18,0,92,12886.48271,,,59943.445807,25699.687593999995,3977.901621,0.1,3.8,1.0,60.4,0.3,1.0,16.1,,,,,24.4,6.5
11,OMGUSDT,239,1395417.16496,498637.5266599999,3863062.6,3863062.6,2879060.5701,2879060.5701,2879060.5701,162,889386.76448,317812.92908,1886446.1,1888223.5,1415834.8367,1417251.4245,1417251.4245,10248.8,0.7481,0.747,0.748,7667.12728,2739.7666299999996,295708.60000000003,2024-02-18,0,10,8504.5352,,,135136.0223165,76136.650174,24380.931247999997,0.1,2.0,1.0,375.5,0.5,1.0,184.7,,,,,338.5,166.5
142,OAXUSDT,221,1179.6840000000002,7733.484,224672.0,224672.0,36824.0086,36824.0086,36824.0086,166,1251.18,8202.18,1833572.0,1835554.0,305295.2966,305638.7772,305638.7772,108.0,0.1655,0.1652,0.1654,17.874000000000002,117.174,641319.0,2024-02-18,0,7,117.0374,,,45927.066285,,,0.0,0.1,1.0,2060.2,8.3,1.0,17080.4,,,,,314.6,2608.5
102,REQUSDT,361,113951.57375,0.0,2402719.0,2402719.0,260305.9703,260305.9703,260305.9703,153,100545.50624999999,0.0,1981053.0,1981053.0,217367.0298,217367.0298,217367.0298,8765.0,0.10925,0.1091,0.1093,957.57625,0.0,217290.0,2024-02-18,0,1,1608.616,,,155595.48553,,,0.0,1.2,1.0,271.8,0.8,1.0,227.0,,,,,161.8,135.1
97,MBOXUSDT,1670,228868.14006,212580.90180000005,833200.0,887911.4,283168.15955,300785.84121,300785.84121,1269,173255.32098000002,160925.72940000004,199956.0,199956.0,68889.68162,68889.68162,68889.68162,2081.1,0.3426,0.3421,0.3428,712.98486,662.2458000000001,128178.0,2024-02-18,0,12,2408.18018,,,215989.7186605,,,0.0,4.4,0.9,397.2,0.2,1.0,96.6,,,,,117.6,28.6
98,MOVRUSDT,10529,183162.18195,0.0,39494.423,39546.801,869400.511962,870497.644679,870497.644679,9074,172974.20085,0.0,21764.12,23090.734,483414.085269,514591.639824,514591.639824,9.999,22.15,22.117,22.142,221.47785,0.0,181877.0,2024-02-18,0,39,6121.616869,,,659391.9065410501,128626.27922180199,88914.238600903,0.0,1.7,1.0,3925.5,0.6,0.9,2182.7,,,,,142.0,79.0
99,PIVXUSDT,2211,635089.0995,621920.6460000001,314680.0,319219.0,110002.036,111522.9807,111522.9807,1179,588477.0555,576275.094,373510.0,373510.0,133770.8202,133770.8202,133770.8202,8247.0,0.35325,0.352,0.3541,2913.25275,2852.847,0.0,2024-02-18,0,15,14320.3353,,,62889.15592999999,,,0.0,0.8,1.0,37.8,1.2,1.0,45.9,,,,,7.7,9.3
100,QUICKUSDT,3914,9291.9729,68692.71290000001,5753943.0,5772759.0,352197.5191,353293.31716,353293.31716,1660,7084.113450000001,52370.683450000004,2348152.0,2348152.0,146161.49741,146161.49741,146161.49741,219.0,0.06185,0.06177,0.06184,13.545150000000001,100.13515000000001,181956.0,2024-02-18,0,2,2499.4617399999997,,,193911.36961149998,,,0.0,2.4,1.0,26001.7,0.4,1.0,10790.7,,,,,140.9,58.5
101,RAREUSDT,73,4234.18359,0.0,1159072.6,1159072.6,161175.91433,161175.91433,161175.91433,31,2000.7680699999999,0.0,485345.7,499990.4,68680.15059,70825.59913999999,70825.59913999999,330.7,0.1407,0.1405,0.1407,46.529489999999996,0.0,66729.0,2024-02-18,0,1,688.90971,,,124707.4722565,,,0.0,2.3,1.0,3464.0,0.4,1.0,1476.1,,,,,234.0,99.7
103,SYSUSDT,20,9669.4488,0.0,177066.0,177066.0,25307.2324,25307.2324,25307.2324,23,11427.5304,0.0,93232.0,93232.0,13614.8583,13614.8583,13614.8583,3027.0,0.1452,0.145,0.1452,439.5204,0.0,51887.0,2024-02-18,0,1,541.1654,,,68801.338545,,,0.0,1.9,1.0,57.6,0.5,1.0,31.0,,,,,46.8,25.2
95,ILVUSDT,3240,56236.0764405,0.0,3304.19,3304.19,316778.95082,316778.95082,316778.95082,2258,58528.67428100001,0.0,4529.336,4887.832,438693.75038,474898.26142,474898.26142,1.397,96.53450000000001,96.39,96.51,134.8586965,0.0,136668.0,2024-02-18,0,8,1325.16094,,,182880.1031717,65376.617355600014,14840.6595237,0.0,0.7,1.0,2349.0,1.5,0.9,3253.0,,,,,239.0,331.0
104,WAXPUSDT,1193,15366.714,16754.5455,3329267.0,3329267.0,209473.08329,209473.08329,209473.08329,1182,16768.081000000002,18282.475749999998,4656228.0,4656228.0,295913.71735,295913.71735,295913.71735,764.0,0.06325,0.06317,0.06324,48.323,52.68725,354669.0,2024-02-18,0,7,516.0376,,,186120.21274699998,44503.758756740004,5291.59635768,0.0,0.7,1.0,4334.9,1.4,1.0,6123.7,,,,,405.9,573.4
105,YGGUSDT,745,3129.69216,0.0,3616254.1,3616546.6,1934018.38825,1934163.4975,1934163.4975,741,2625.2352,0.0,3006794.8,3006794.8,1614056.23614,1614056.23614,1614056.23614,19.2,0.5362,0.5354,0.536,10.29504,0.0,2953850.0,2024-02-18,0,3,459.05726,,,364088.83890399995,132051.50022904,43596.10656845,0.0,1.2,1.0,187859.2,0.8,1.0,156780.0,,,,,4213.0,3516.0
150,USTCUSDT,312350,11226025.035699999,3483292.0489,10046969.0,10053953.0,325878.23360241,326093.81215554,326093.81215554,259210,9373790.176324999,2908567.252025,12158398.0,12158654.0,397088.86223011,397097.54283939,397097.54283939,90977.0,0.032575,0.03252488,0.03259012,2963.575775,919.559675,369155.0,2024-02-18,0,36,5276.74477195,,,390616.70357649995,159334.14965704,59685.620791400004,0.0,0.8,1.0,110.0,1.2,1.0,134.0,,,,,61.8,75.3
107,ALCXUSDT,2214,447965.93340975005,257165.56834675005,10442.9654,10889.4413,306284.063007,318712.605057,318712.605057,887,276143.38360875,158526.72021375003,6236.4559,6451.0884,186321.482987,193020.163312,193020.163312,41.4147,29.634500000000003,29.59,29.68,1227.3039271500002,704.5632009500001,172405.0,2024-02-18,0,14,6391.341049,,,171803.47532557504,,,0.0,1.7,1.0,249.6,0.6,1.0,151.8,,,,,47.9,29.2
108,ALPINEUSDT,543,8869.099500000002,15354.512299999999,86491.09,87190.89,194697.39955,196213.16634999998,196213.16634999998,199,5516.147250000001,9549.75765,47726.15,47726.15,110155.94737,110155.94737,110155.94737,23.85,2.2675,2.264,2.267,54.07987500000001,93.625075,179172.0,2024-02-18,0,3,1116.94175,,,147819.93926200006,,,0.0,1.8,1.0,3600.2,0.6,1.0,2036.9,,,,,174.3,98.6
109,AMPUSDT,1485,798449.3595119999,0.0,44760888.0,44858524.0,217017.163649,217465.501097,217465.501097,844,562348.7424519999,0.0,16722281.0,16722281.0,82698.291076,82698.291076,82698.291076,437276.0,0.0049085,0.004891,0.00491,2146.3692459999997,0.0,296400.0,2024-02-18,0,27,4369.44086,,,168974.95964195,,,0.0,2.6,1.0,101.1,0.4,1.0,38.5,,,,,49.7,18.9
96,LPTUSDT,751,9847291.02324,9847291.02324,225753.72,225863.36,3128016.0080999997,3129430.3953,3129430.3953,693,8897827.701439999,8897827.701439999,271446.41,276930.87,3797858.4439,3880077.1443,3880077.1443,1951.48,13.901,13.88,13.93,27127.52348,27127.52348,1696691.0,2024-02-18,0,185,60666.6316,,,971898.9929579999,137631.04095999998,228203.94040000002,0.0,0.8,1.0,115.3,1.2,1.0,140.0,,,,,51.6,62.6
94,GTCUSDT,373,5985.2519999999995,0.0,428787.3,431796.1,649468.7685,653813.4757,653813.4757,112,3325.14,0.0,144652.1,145234.7,221357.1677,222286.9893,222286.9893,31.2,1.5225,1.52,1.522,47.501999999999995,0.0,533690.0,2024-02-18,0,2,949.6191,,,234087.01252499997,57255.586079999994,24140.721080000003,0.0,2.9,1.0,13672.5,0.3,1.0,4660.0,,,,,683.9,233.1
111,API3USDT,3785,5512209.486839999,4446134.6468400005,418391.34,418481.68,1617518.06979,1617843.91613,1617843.91613,2275,3868703.1406799993,3120486.46068,272133.14,272689.5,1059278.87173,1061530.46065,1061530.46065,2378.46,3.8819999999999997,3.876,3.883,9233.181719999999,7447.46172,865964.0,2024-02-18,0,30,18246.49087,,,613873.1819755,120126.27298400001,169944.21721600002,0.0,1.5,1.0,175.2,0.7,1.0,114.7,,,,,88.6,58.1
