coin,Unnamed: 0,cluster_v_usdt,cluster_v_buyer_usdt,v_4_vb,v_8_vb,v_4_b,v_8_b,d8_b
ALPACAUSDT,427,48346.44430000001,6760.323500000001,913708.5,951771.4,176124.11768999998,183031.87430999998,183031.87430999998
ATAUSDT,287,11706.480000000001,21364.326000000005,5120383.0,5120383.0,700754.7211,700754.7211,700754.7211
AUCTIONUSDT,1920,128413.59439999999,0.0,79580.15,79710.59,2197672.5544,2201123.2198,2201123.2198
BEAMXUSDT,19326,5141132.687790001,1454950.3359600003,31063671.0,31063671.0,969344.055585,969344.055585,969344.055585
C98USDT,2367,608341.6515750001,168339.929625,7274469.9,7310440.8,2498511.80412,2510033.28047,2510033.28047
DEXEUSDT,733,310831.67115000007,139262.02290000004,22343.82,23783.17,90187.39945,95797.30561000001,95797.30561000001
DYDXUSDT,1625,3527145.5809599995,15318.71056,2032235.11,2055098.44,6976797.73093,7052246.71993,7052246.71993
FRONTUSDT,17553,4237560.86625,274855.89375,1332778.0,1332778.0,826127.5609,826127.5609,826127.5609
ILVUSDT,3048,77663.21471999999,70405.79750399999,3567.928,3567.928,350675.21026,350675.21026,350675.21026
LPTUSDT,332,24795.044950000003,24795.044950000003,172253.83,172253.83,2361081.6054000002,2361081.6054000002,2361081.6054000002
MBOXUSDT,2682,1824667.4809999997,538150.4856,1861337.1,1919422.8,622103.99599,640909.65634,640909.65634
RAYUSDT,1607,201631.2336,600415.8498,130831.0,130831.0,122409.42829,122409.42829,122409.42829
SYSUSDT,53,8298.7328,0.0,402685.0,402685.0,58322.3092,58322.3092,58322.3092
