coin,Unnamed: 0,cluster_v_usdt,cluster_v_buyer_usdt,v_4_vb,v_8_vb,v_4_b,v_8_b,d8_b
ACHUSDT,26905,57755239.53752,21573315.475739997,89746841.0,90382432.0,2413965.54879,2430281.84302,2430281.84302
ALCXUSDT,4932,1560229.0366947,1151985.05036145,16004.7196,16262.8862,486494.498847,493996.080567,493996.080567
AMPUSDT,18254,3290806.8811500003,4610814.7302375,100682488.0,104464936.0,494269.56145700003,512043.735738,512043.735738
APEUSDT,345,484939.72079999995,246011.06975999995,2161223.51,2161223.51,3804251.79421,3804251.79421,3804251.79421
API3USDT,1325,1016968.8883199999,481987.21536000003,271069.26,271070.89,1053008.1149,1053014.12797,1053014.12797
BSWUSDT,135,3047.637285,0.0,1833038.7,1833343.6,230907.07627,230944.15211,230944.15211
ENSUSDT,902,36807.658800000005,36807.658800000005,256963.88,257041.65,5524564.8774,5526132.4907,5526132.4907
FLUXUSDT,1763,37467.140556000006,30081.537861,215751.12,216038.92,188287.11208700002,188525.065127,188525.065127
GALUSDT,2253,2920912.0206305,1920990.4788199996,373741.749,374671.627,1132894.444755,1135562.475286,1135562.475286
IMXUSDT,10214,1354770.56096,0.0,175746.74,175746.74,544291.996618,544291.996618,544291.996618
JASMYUSDT,34282,35165848.85295301,9388414.245051,179347336.1,179634737.9,2776462.8314447,2780709.9988198,2780709.9988198
LDOUSDT,2160,5825251.52532,6678974.76444,649364.23,649389.13,2135580.38033,2135656.02653,2135656.02653
PORTOUSDT,64,923.3066349999999,0.0,8008.169999999999,8008.169999999999,23566.5421,23566.5421,23566.5421
POWRUSDT,805,283285.5025,85694.53749999999,3213605.0,3213605.0,1144515.1769,1144515.1769,1144515.1769
PYRUSDT,453,258893.44536500002,0.0,11876.278,11876.278,78182.80738700001,78182.80738700001,78182.80738700001
QIUSDT,110,38968.10742000001,2567.3326800000004,9218856.0,9255842.0,155335.5884,155933.48266,155933.48266
RNDRUSDT,12968,57097697.93925,31134418.61115,1731761.62,1747056.28,12961909.23684,13069061.93854,13069061.93854
SCRTUSDT,3498,1647780.3486000001,1316581.4220000003,408506.3,409489.8,211322.70554,211795.17893999998,211795.17893999998
SPELLUSDT,24739,18906668.66655,6790151.854237501,2958786617.0,2962448751.0,2688228.9653397,2691411.0093125002,2691411.0093125002
WOOUSDT,3494,1559564.9322,798003.6563999997,2646969.4,2647281.2,1361895.67214,1362045.14036,1362045.14036
