,Unnamed: 0,coin,v,price
0,0,WOOUSDT,616.5,0.5315
1,1,WOOUSDT,403.2,0.5314
2,2,WOOUSDT,214.6,0.5313
3,3,WOOUSDT,846.6,0.5312
4,4,WOOUSDT,2026.4,0.5311
5,5,WOOUSDT,2934.4,0.531
6,6,WOOUSDT,3333.1,0.5308
7,7,WOOUSDT,272.3,0.5307
8,8,WOOUSDT,9881.2,0.5291
9,9,WOOUSDT,9619.8,0.529
10,10,WOOUSDT,819.5,0.5288
11,11,WOOUSDT,0.0,0.5258
12,12,WOOUSDT,6824.5,0.5256
13,13,WOOUSDT,0.0,0.5231
14,0,JOEUSDT,23.51,0.564
15,1,JOEUSDT,1204.59,0.5616
16,2,JOEUSDT,701.44,0.5601
17,3,JOEUSDT,1920.4,0.5559
18,4,JOEUSDT,0.0,0.5555
19,0,HIGHUSDT,0.0,1.698
20,1,HIGHUSDT,8754.439,1.696
21,0,API3USDT,2918.26,3.881
22,0,APEUSDT,24968.62,1.749
23,1,APEUSDT,18974.91,1.748
24,2,APEUSDT,14911.0,1.747
25,3,APEUSDT,123.71,0.631
26,0,PEOPLEUSDT,32763.2,0.02951
27,0,GMTUSDT,39654.5,0.266
28,1,GMTUSDT,124039.5,0.2656
29,2,GMTUSDT,37059.1,0.2655
30,0,GLMRUSDT,4565.1,0.4381
31,1,GLMRUSDT,0.0,0.4328
32,2,GLMRUSDT,19827.9,0.4326
33,0,JASMYUSDT,0.0,0.016475
34,1,JASMYUSDT,0.0,0.016474
35,2,JASMYUSDT,0.0,0.016473
36,3,JASMYUSDT,0.0,0.016472
37,4,JASMYUSDT,0.0,0.016471
38,5,JASMYUSDT,0.0,0.01647
39,6,JASMYUSDT,0.0,0.016469
40,7,JASMYUSDT,0.0,0.016468
41,8,JASMYUSDT,0.0,0.016467
42,9,JASMYUSDT,0.0,0.016466
43,10,JASMYUSDT,0.0,0.016465
44,11,JASMYUSDT,0.0,0.016464
45,12,JASMYUSDT,0.0,0.016463
46,13,JASMYUSDT,911.4,0.016462
47,14,JASMYUSDT,0.0,0.016461
48,15,JASMYUSDT,976336.4,0.01646
49,16,JASMYUSDT,0.0,0.016459
50,17,JASMYUSDT,3491.6,0.016458
51,18,JASMYUSDT,10566.1,0.016457
52,19,JASMYUSDT,5968.6,0.016456
53,20,JASMYUSDT,10563.6,0.016455
54,21,JASMYUSDT,11475.0,0.016454
55,22,JASMYUSDT,11205.7,0.016453
56,23,JASMYUSDT,455.8,0.016452
57,24,JASMYUSDT,0.0,0.016451
58,25,JASMYUSDT,10563.6,0.016449
59,26,JASMYUSDT,12863.7,0.016448
60,27,JASMYUSDT,37456.8,0.016446
61,28,JASMYUSDT,47287.6,0.01644
62,29,JASMYUSDT,108930.0,0.016435
63,30,JASMYUSDT,13493.4,0.016433
64,31,JASMYUSDT,189427.3,0.016431
65,32,JASMYUSDT,19808.3,0.01643
66,33,JASMYUSDT,0.0,0.016429
67,34,JASMYUSDT,17670.0,0.016426
68,35,JASMYUSDT,29227.8,0.016424
69,36,JASMYUSDT,59682.8,0.016423
70,37,JASMYUSDT,45701.0,0.016419
71,38,JASMYUSDT,58205.5,0.016418
72,39,JASMYUSDT,36565.2,0.016409
73,40,JASMYUSDT,242890.0,0.016407
74,41,JASMYUSDT,29721.0,0.016389
75,42,JASMYUSDT,180654.7,0.016386
76,43,JASMYUSDT,4295.1,0.016268
77,44,JASMYUSDT,4590.8,0.016174
78,45,JASMYUSDT,1597.0,0.01571
79,46,JASMYUSDT,1228494.3,0.0155
80,47,JASMYUSDT,834.8,0.013176
81,48,JASMYUSDT,86072.4,0.013173
82,0,IMXUSDT,0.0,3.1133
83,1,IMXUSDT,0.0,3.1132
84,2,IMXUSDT,0.0,3.113
85,3,IMXUSDT,0.0,3.1127
86,4,IMXUSDT,298.22,3.1126
