,Unnamed: 0,coin,v,price
0,0,MLNUSDT,17.1,18.61
1,1,MLNUSDT,12.878,18.6
2,2,MLNUSDT,124.55,18.59
3,0,ILVUSDT,8.608,98.74
4,1,ILVUSDT,7.891,98.7
5,2,ILVUSDT,36.066,98.63
6,3,ILVUSDT,11.933,98.61
7,4,ILVUSDT,1.116,98.48
8,0,BEAMXUSDT,724.0,0.031322
9,0,ELFUSDT,883.5,0.6321
10,1,ELFUSDT,0.0,0.6315
11,2,ELFUSDT,0.0,0.6314
12,3,ELFUSDT,0.0,0.6313
13,4,ELFUSDT,316.5,0.6312
14,5,ELFUSDT,0.0,0.6311
15,6,ELFUSDT,1468.1,0.6308
16,7,ELFUSDT,540.0,0.6307
17,8,ELFUSDT,5182.8,0.6299
18,9,ELFUSDT,0.0,0.6297
19,10,ELFUSDT,311.5,0.6294
20,0,BNXUSDT,4235.0,0.304
21,1,BNXUSDT,11825.8,0.3034
22,2,BNXUSDT,7146.7,0.3032
23,0,YGGUSDT,0.0,0.525
24,1,YGGUSDT,2019.6,0.5249
25,2,YGGUSDT,8683.9,0.5248
26,3,YGGUSDT,2816.8,0.5247
27,4,YGGUSDT,6051.1,0.5244
28,5,YGGUSDT,6672.7,0.5243
29,6,YGGUSDT,13240.9,0.524
30,0,MINAUSDT,0.0,1.2829
31,1,MINAUSDT,0.0,1.2828
32,2,MINAUSDT,0.0,1.2827
33,3,MINAUSDT,762.0,1.2826
34,4,MINAUSDT,48.8,1.2824
35,5,MINAUSDT,14.6,1.2823
36,6,MINAUSDT,14.0,1.2822
37,7,MINAUSDT,162.2,1.2821
38,8,MINAUSDT,1060.4,1.282
39,9,MINAUSDT,1644.7,1.2819
40,10,MINAUSDT,814.3,1.2787
41,11,MINAUSDT,1337.2,1.2784
42,12,MINAUSDT,2728.5,1.2578
43,0,ALPACAUSDT,2633.6,0.1924
44,0,MOVRUSDT,116.893,21.838
45,1,MOVRUSDT,0.0,21.827
46,2,MOVRUSDT,5.584,21.825
47,0,WAXPUSDT,251.0,0.06237
48,1,WAXPUSDT,22000.0,0.06234
49,2,WAXPUSDT,14726.0,0.06233
50,3,WAXPUSDT,37261.0,0.06232
51,0,DFUSDT,0.0,0.04351
52,0,PHAUSDT,0.0,0.1325
53,1,PHAUSDT,0.0,0.1324
54,2,PHAUSDT,6268.0,0.1323
55,3,PHAUSDT,1400.0,0.1322
56,4,PHAUSDT,5704.0,0.1321
57,5,PHAUSDT,0.0,0.1319
58,6,PHAUSDT,17017.0,0.1318
59,7,PHAUSDT,3724.0,0.1317
60,8,PHAUSDT,15122.0,0.1316
61,9,PHAUSDT,27896.0,0.1314
62,10,PHAUSDT,4973.0,0.1313
63,11,PHAUSDT,9631.0,0.1312
64,12,PHAUSDT,5916.0,0.1311
65,0,CLVUSDT,0.0,0.06114
66,1,CLVUSDT,5155.4,0.06109
67,0,RADUSDT,2148.2,1.935
68,0,PIVXUSDT,419.0,0.348
69,1,PIVXUSDT,900.0,0.3477
70,2,PIVXUSDT,572.0,0.3476
71,3,PIVXUSDT,849.0,0.3475
72,4,PIVXUSDT,0.0,0.3473
73,5,PIVXUSDT,3143.0,0.3467
74,6,PIVXUSDT,1918.0,0.3465
75,7,PIVXUSDT,3053.0,0.3455
76,8,PIVXUSDT,0.0,0.3416
77,0,FLOWUSDT,6431.56,1.002
78,1,FLOWUSDT,60079.95,1.0
79,2,FLOWUSDT,46672.79,0.995
80,0,FRONTUSDT,0.0,0.6239
81,1,FRONTUSDT,0.0,0.6238
82,2,FRONTUSDT,927.0,0.6237
83,3,FRONTUSDT,348.0,0.6236
84,4,FRONTUSDT,152.0,0.6235
85,5,FRONTUSDT,2659.0,0.6234
86,6,FRONTUSDT,213.0,0.623
87,7,FRONTUSDT,2046.0,0.6229
88,8,FRONTUSDT,3057.0,0.6226
89,9,FRONTUSDT,4204.0,0.6225
90,10,FRONTUSDT,2440.0,0.6224
91,11,FRONTUSDT,3602.0,0.6223
92,12,FRONTUSDT,6027.0,0.622
93,13,FRONTUSDT,812.0,0.6218
94,14,FRONTUSDT,17.0,0.6209
95,15,FRONTUSDT,401.0,0.6207
96,16,FRONTUSDT,73.0,0.6163
97,17,FRONTUSDT,0.0,0.6139
98,18,FRONTUSDT,2074.0,0.6136
99,19,FRONTUSDT,0.0,0.6114
100,0,GTCUSDT,21.9,1.478
101,0,VIDTUSDT,0.0,0.03552
102,0,C98USDT,37295.9,0.34
103,1,C98USDT,226.4,0.336
104,0,BONDUSDT,2161.64,3.584
105,0,REQUSDT,23538.0,0.1065
106,1,REQUSDT,29359.0,0.1064
107,2,REQUSDT,3654.0,0.1062
108,0,BETAUSDT,6200.0,0.07793
109,0,GALAUSDT,0.0,0.02971
110,1,GALAUSDT,697770.0,0.0297
