coin,Unnamed: 0,cluster_v_usdt,cluster_v_buyer_usdt,v_4_va,v_8_va,v_4_a,v_8_a,d8_a
AKROUSDT,257,386.6302,0.0,20657847.0,20657847.0,119387.143564,119387.143564,119387.143564
ALPHAUSDT,165,241220.88900000005,73285.34850000001,1745648.0,1745821.0,244304.7544,244330.0989,244330.0989
AUDIOUSDT,570,143906.65910999998,143906.65910999998,1333500.8,1409784.9000000001,321889.35868,341715.59627000004,341715.59627000004
AXSUSDT,46,20403.359200000003,0.0,223305.89,223305.89,1791713.5914999999,1791713.5914999999,1791713.5914999999
DCRUSDT,99,11648.882106000001,0.0,1277.587,1277.587,27032.818209999998,27032.818209999998,27032.818209999998
FILUSDT,47325,213059382.24789998,78059872.54776,1602586.39,1866800.8699999999,13692056.26959,16069181.25307,16069181.25307
FLMUSDT,29,752.8153500000001,0.0,4773142.0,4773142.0,464726.0283,464726.0283,464726.0283
NEARUSDT,4484,8061524.9055,7960082.29335,1346408.1,1346408.1,5051192.2683,5051192.2683,5051192.2683
NMRUSDT,778,1039281.2492800001,0.0,2255.12,2304.89,73532.1193,75226.9165,75226.9165
NTRNUSDT,3824,32565.697499999995,152841.67359999998,313022.2,313944.8,522070.86792,523687.72442,523687.72442
OCEANUSDT,2966,446829.79799999995,243313.18199999997,567658.0,567658.0,423526.0539,423526.0539,423526.0539
STORJUSDT,2517,824695.2945000001,1118342.8025,1703158.0,1703158.0,1248012.717,1248012.717,1248012.717
SUNUSDT,4,1848.1111999999998,11340.234699999999,4319889.0,4319889.0,46674.53289,46674.53289,46674.53289
SUSHIUSDT,870,6219714.32775,3129644.0385,3225906.5,3234878.2,5161530.6085,5176860.5582,5176860.5582
SXPUSDT,5265,18012193.77125,4505189.638,1334637.5,1334676.8,498541.58816,498556.80905,498556.80905
UNIUSDT,13764,45611249.004719995,34540434.8997,478877.28,478877.28,5087874.4492999995,5087874.4492999995,5087874.4492999995
WINGUSDT,12,12197.721239999999,0.0,11727.289999999999,11727.289999999999,110700.5609,110700.5609,110700.5609
