,coin,Unnamed: 0_x,cluster_v_usdt_x,cluster_v_buyer_usdt_x,v_4_vb,v_8_vb,v_4_b,v_8_b,d8_b,Unnamed: 0_y,cluster_v_usdt_y,cluster_v_buyer_usdt_y,v_4_va,v_8_va,v_4_a,v_8_a,d8_a,cluster_v,cluster_p,trade_min_p,trade_max_p,cluster_v_usdt,cluster_v_buyer_usdt,amount_max,till_date,Unnamed: 0,buyer,trades_v_usdt,liq_v_l_usdt,liq_v_s_usdt,cluster_max_avg,liq_l_max_avg,liq_s_max_avg,C-i,B/A,B-i,BVi,A/B,A-i,AVi,Liq L,Liq S,L-i L,L-i S,BVi_test,AVi_test
0,ALGOUSDT,1098,6411310.191,2830255.0848,12451368.0,12455684.0,2443130.3323,2443934.1943,2443934.1943,983,5738795.136,2533375.1807999997,5314135.0,5396493.0,1051139.6926,1068416.9801,1068416.9801,113735.0,0.1971,0.1968,0.1973,22417.1685,9895.996799999999,4790897.0,2024-02-18,0,31,34920.4654,,,281298.18959,114962.399818,32678.374296,0.1,2.3,1.0,109.0,0.4,1.0,46.9,,,,,70.0,30.1
32,POLSUSDT,5588,3550487.6517,64993.97850000001,163347.1,167936.7,148164.03327,152179.93327,152179.93327,484,890494.47575,16301.078750000002,64455.3,64455.3,59796.34622,59796.34622,59796.34622,6254.9,0.9185000000000001,0.9173,0.9192,5745.12565,105.16825000000001,43428.0,2024-02-18,0,4,7477.65149,,,72921.71922350001,,,0.1,2.5,1.0,25.8,0.4,1.0,10.4,,,,,19.8,8.0
50,AGIXUSDT,164834,105783528.28225002,32775583.7745,2185031.0,2185544.0,1594158.28052,1594516.8629,1594516.8629,122395,87394309.08000001,27077934.96,1382003.0,1382003.0,1029117.34187,1029117.34187,1029117.34187,49439.0,0.73655,0.73471,0.7389,36414.295450000005,11282.4729,531857.0,2024-02-18,0,223,106631.55236,,,647455.8348000001,163355.04307946,102163.86738759,0.1,1.5,1.0,43.8,0.6,1.0,28.3,,,,,15.0,9.7
8,COTIUSDT,234893,122804422.69680001,53139289.28880001,11628012.0,11865911.0,2025328.25339,2065061.74668,2065061.74668,84513,71600648.93280001,30982659.364800002,4393697.0,4895107.0,793107.3926199999,887489.34962,887489.34962,159567.0,0.1768,0.17616,0.17819,28211.445600000003,12207.509600000001,3226684.0,2024-02-18,0,400,104313.36144,,,391066.29004449997,76733.928748,123996.44965599998,0.1,2.3,1.0,71.8,0.4,0.9,28.1,,,,,19.4,7.6
43,JASMYUSDT,77493,125565636.40899199,108502171.41483201,154052337.9,154401122.0,2515765.1189417997,2521182.7599027,2521182.7599027,42457,92600159.515084,80016465.237514,81274608.9,84372718.3,1350099.8255061,1404316.7400061,1404316.7400061,2724007.6,0.01651,0.01647,0.016534,44973.365476,38861.809246000004,402005.0,2024-02-18,0,212,131094.7956766,,49.19324,657068.778531,144354.77110820002,120398.74217050002,0.1,1.8,1.0,55.9,0.6,1.0,30.0,,0.0,,0.0,19.2,10.3
42,IMXUSDT,5544,297481.82645,0.0,145148.52,145148.52,444819.982226,444819.982226,444819.982226,6396,285694.81068500003,0.0,91600.97,92219.43000000001,283055.055034,285072.612348,285072.612348,181.97,3.0845000000000002,3.0802,3.0834,561.286465,0.0,469117.0,2024-02-18,0,10,8368.541675999999,,,545926.4962765,110542.57102,74840.44922,0.0,1.6,1.0,792.5,0.6,1.0,504.3,,,,,53.2,33.8
31,MASKUSDT,1989,1442883.7994999997,1353317.1794999996,511499.2,512354.0,2404394.4496,2408164.9724,2408164.9724,2334,1446836.9057999996,1357024.8977999997,805333.0,880508.6,3814203.9047,4190081.9047,4190081.9047,837.6999999999999,4.718999999999999,4.712,4.722,3953.106299999999,3707.718299999999,732237.0,2024-02-18,0,17,10143.9113,,,921861.43652,210850.69904,200994.0895,0.0,0.6,1.0,608.2,1.7,0.9,964.9,,,,,237.0,376.0
33,TLMUSDT,364,86988.45056,86988.45056,28570440.0,28762815.0,512570.57118,515862.10743000003,515862.10743000003,320,64252.832800000004,64252.832800000004,17008661.0,17320762.0,307426.44784,313325.15674,313325.15674,27428.0,0.01802,0.01799,0.01802,494.25256,494.25256,209513.0,2024-02-18,0,3,663.6510000000001,,,118751.11764699998,62502.270032960005,9334.83553052,0.0,1.6,1.0,1037.1,0.6,1.0,622.0,,,,,772.3,463.2
34,ATAUSDT,1658,580223.874,1418263.5528,6080491.0,6120426.0,879010.6028999999,884487.817,884487.817,726,295620.39149999997,722596.3038,2362639.0,2393200.0,349232.9459,353927.5253,353927.5253,12585.0,0.1459,0.1457,0.1461,1836.1515,4488.1758,209690.0,2024-02-18,0,6,4861.644,,,116271.9392,52141.991740000005,13179.87905,0.0,2.5,1.0,478.7,0.4,1.0,190.2,,,,,180.8,71.8
35,AUCTIONUSDT,1418,2160657.030805,2113598.751355,50755.68,50755.68,1390831.5846,1390831.5846,1390831.5846,554,1145935.510265,1120977.4754149998,10847.61,10971.86,302116.4772,305756.259,305756.259,316.81,27.6115,27.57,27.63,8747.599315,8557.079964999999,1119487.0,2024-02-18,0,7,14887.819099999999,,,821416.9876410001,184754.945068392,65352.29169583899,0.0,4.5,1.0,159.0,0.2,1.0,34.5,,,,,93.4,20.3
36,BEAMXUSDT,7310,8691.5367,0.0,16062959.0,16062959.0,526603.469962,526603.469962,526603.469962,5849,7998.4317,0.0,10784344.0,10784344.0,356603.555697,356603.555697,356603.555697,420.0,0.033005,0.032953,0.03299,13.8621,0.0,0.0,2024-02-18,0,8,1595.053768,,,512893.87744899996,119222.68082283999,62616.441559100014,0.0,1.5,1.0,37988.7,0.7,1.0,25725.1,,,,,330.1,223.6
