,Unnamed: 0,coin,v,price,cluster_v,cluster_p,trade_min_p,trade_max_p,cluster_v_usdt,cluster_v_buyer_usdt,v_4_vb,v_8_vb
0,0,ILVUSDT,8.608,98.74,1.755,98.77799999999999,98.63,98.79,173.35538999999997,157.15579799999998,0.0,0.0
1,1,ILVUSDT,7.891,98.7,1.755,98.77799999999999,98.63,98.79,173.35538999999997,157.15579799999998,0.0,0.0
2,2,ILVUSDT,36.066,98.63,1.755,98.77799999999999,98.63,98.79,173.35538999999997,157.15579799999998,0.0,0.0
3,3,ILVUSDT,11.933,98.61,1.755,98.77799999999999,98.63,98.79,173.35538999999997,157.15579799999998,11.933,11.933
4,4,ILVUSDT,1.116,98.48,1.755,98.77799999999999,98.63,98.79,173.35538999999997,157.15579799999998,1.116,1.116
5,0,BEAMXUSDT,724.0,0.031322,171278.0,0.031365000000000004,0.031315,0.031387,5372.134470000001,1520.3242800000003,0.0,0.0
6,0,ALPACAUSDT,2633.6,0.1924,1312.3000000000002,0.19390000000000002,0.1936,0.1941,254.45497000000006,35.580650000000006,2633.6,2633.6
7,0,FRONTUSDT,0.0,0.6239,5319.0,0.62485,0.6233,0.6273,3323.57715,215.57325,0.0,0.0
8,1,FRONTUSDT,0.0,0.6238,5319.0,0.62485,0.6233,0.6273,3323.57715,215.57325,0.0,0.0
9,2,FRONTUSDT,927.0,0.6237,5319.0,0.62485,0.6233,0.6273,3323.57715,215.57325,0.0,0.0
10,3,FRONTUSDT,348.0,0.6236,5319.0,0.62485,0.6233,0.6273,3323.57715,215.57325,0.0,0.0
11,4,FRONTUSDT,152.0,0.6235,5319.0,0.62485,0.6233,0.6273,3323.57715,215.57325,0.0,0.0
12,5,FRONTUSDT,2659.0,0.6234,5319.0,0.62485,0.6233,0.6273,3323.57715,215.57325,0.0,0.0
13,6,FRONTUSDT,213.0,0.623,5319.0,0.62485,0.6233,0.6273,3323.57715,215.57325,213.0,213.0
14,7,FRONTUSDT,2046.0,0.6229,5319.0,0.62485,0.6233,0.6273,3323.57715,215.57325,2046.0,2046.0
15,8,FRONTUSDT,3057.0,0.6226,5319.0,0.62485,0.6233,0.6273,3323.57715,215.57325,3057.0,3057.0
16,9,FRONTUSDT,4204.0,0.6225,5319.0,0.62485,0.6233,0.6273,3323.57715,215.57325,4204.0,4204.0
17,10,FRONTUSDT,2440.0,0.6224,5319.0,0.62485,0.6233,0.6273,3323.57715,215.57325,2440.0,2440.0
18,11,FRONTUSDT,3602.0,0.6223,5319.0,0.62485,0.6233,0.6273,3323.57715,215.57325,3602.0,3602.0
19,12,FRONTUSDT,6027.0,0.622,5319.0,0.62485,0.6233,0.6273,3323.57715,215.57325,6027.0,6027.0
20,13,FRONTUSDT,812.0,0.6218,5319.0,0.62485,0.6233,0.6273,3323.57715,215.57325,812.0,812.0
21,14,FRONTUSDT,17.0,0.6209,5319.0,0.62485,0.6233,0.6273,3323.57715,215.57325,17.0,17.0
22,15,FRONTUSDT,401.0,0.6207,5319.0,0.62485,0.6233,0.6273,3323.57715,215.57325,401.0,401.0
23,16,FRONTUSDT,73.0,0.6163,5319.0,0.62485,0.6233,0.6273,3323.57715,215.57325,73.0,73.0
24,17,FRONTUSDT,0.0,0.6139,5319.0,0.62485,0.6233,0.6273,3323.57715,215.57325,0.0,0.0
25,18,FRONTUSDT,2074.0,0.6136,5319.0,0.62485,0.6233,0.6273,3323.57715,215.57325,2074.0,2074.0
26,19,FRONTUSDT,0.0,0.6114,5319.0,0.62485,0.6233,0.6273,3323.57715,215.57325,0.0,0.0
27,0,C98USDT,37295.9,0.34,3648.1000000000004,0.34525,0.3444,0.3452,1259.5065250000002,348.529875,37295.9,37295.9
28,1,C98USDT,226.4,0.336,3648.1000000000004,0.34525,0.3444,0.3452,1259.5065250000002,348.529875,226.4,226.4
29,0,MBOXUSDT,0.0,0.3381,11510.5,0.33799999999999997,0.3375,0.3383,3890.5489999999995,1147.4424,0.0,0.0
30,1,MBOXUSDT,0.0,0.338,11510.5,0.33799999999999997,0.3375,0.3383,3890.5489999999995,1147.4424,0.0,0.0
31,2,MBOXUSDT,0.0,0.3379,11510.5,0.33799999999999997,0.3375,0.3383,3890.5489999999995,1147.4424,0.0,0.0
32,3,MBOXUSDT,2924.0,0.3378,11510.5,0.33799999999999997,0.3375,0.3383,3890.5489999999995,1147.4424,0.0,0.0
33,4,MBOXUSDT,2695.9,0.3377,11510.5,0.33799999999999997,0.3375,0.3383,3890.5489999999995,1147.4424,0.0,0.0
34,5,MBOXUSDT,392.9,0.3376,11510.5,0.33799999999999997,0.3375,0.3383,3890.5489999999995,1147.4424,0.0,0.0
35,6,MBOXUSDT,322.9,0.3375,11510.5,0.33799999999999997,0.3375,0.3383,3890.5489999999995,1147.4424,0.0,0.0
36,7,MBOXUSDT,1287.9,0.3374,11510.5,0.33799999999999997,0.3375,0.3383,3890.5489999999995,1147.4424,1287.9,1287.9
37,8,MBOXUSDT,1098.0,0.3373,11510.5,0.33799999999999997,0.3375,0.3383,3890.5489999999995,1147.4424,1098.0,1098.0
38,9,MBOXUSDT,1536.5,0.3372,11510.5,0.33799999999999997,0.3375,0.3383,3890.5489999999995,1147.4424,1536.5,1536.5
39,10,MBOXUSDT,5799.9,0.3371,11510.5,0.33799999999999997,0.3375,0.3383,3890.5489999999995,1147.4424,5799.9,5799.9
40,11,MBOXUSDT,174.3,0.337,11510.5,0.33799999999999997,0.3375,0.3383,3890.5489999999995,1147.4424,174.3,174.3
41,12,MBOXUSDT,1041.0,0.3369,11510.5,0.33799999999999997,0.3375,0.3383,3890.5489999999995,1147.4424,1041.0,1041.0
42,13,MBOXUSDT,749.4,0.3368,11510.5,0.33799999999999997,0.3375,0.3383,3890.5489999999995,1147.4424,749.4,749.4
43,14,MBOXUSDT,0.0,0.3367,11510.5,0.33799999999999997,0.3375,0.3383,3890.5489999999995,1147.4424,0.0,0.0
44,15,MBOXUSDT,65.7,0.3358,11510.5,0.33799999999999997,0.3375,0.3383,3890.5489999999995,1147.4424,65.7,65.7
