coin,Unnamed: 0,cluster_v_usdt,cluster_v_buyer_usdt,v_4_va,v_8_va,v_4_a,v_8_a,d8_a
ALPACAUSDT,243,24427.677120000008,3415.7424000000005,495610.5,1015326.8,96674.58478,202426.15381,202426.15381
ATAUSDT,161,8079.120000000001,14744.394000000004,5708680.0,5708680.0,786079.3455,786079.3455,786079.3455
AUCTIONUSDT,785,72724.0254,0.0,21386.86,21386.86,596861.3167,596861.3167,596861.3167
BEAMXUSDT,13443,3991495.9112100005,1129600.9400400002,16905751.0,17248474.0,535859.483432,547409.159142,547409.159142
C98USDT,2096,517657.1817750001,143245.778625,4910565.7,4913587.0,1699190.67377,1700284.38437,1700284.38437
DEXEUSDT,157,141287.12325000003,63300.91950000002,2258.52,2259.94,9321.07719,9327.22437,9327.22437
DYDXUSDT,1379,2971766.3044,12906.6484,1274689.33,1275108.75,4400058.0623,4401569.97466,4401569.97466
FRONTUSDT,10867,3190634.0640000002,206950.32,1011177.0,1011177.0,635975.1259,635975.1259,635975.1259
ILVUSDT,3690,87717.82733999999,79520.83378799999,3256.666,3256.666,323276.15955,323276.15955,323276.15955
LPTUSDT,254,20104.090500000002,20104.090500000002,116830.53,116835.72,1612139.1668,1612213.9028,1612213.9028
MBOXUSDT,1128,875373.5249999999,258174.53999999998,212487.0,212487.0,72159.86447,72159.86447,72159.86447
RAYUSDT,1025,168620.81040000002,502117.6797,85012.6,85136.6,80823.18571,80946.75171,80946.75171
SYSUSDT,0,1573.8976,0.0,209520.0,209520.0,31278.476499999997,31278.476499999997,31278.476499999997
