,coin,Unnamed: 0_x,cluster_v_usdt_x,cluster_v_buyer_usdt_x,v_4_vb,v_8_vb,v_4_b,v_8_b,d8_b,Unnamed: 0_y,cluster_v_usdt_y,cluster_v_buyer_usdt_y,v_4_va,v_8_va,v_4_a,v_8_a,d8_a,cluster_v,cluster_p,trade_min_p,trade_max_p,cluster_v_usdt,cluster_v_buyer_usdt,amount_max,till_date,Unnamed: 0,buyer,trades_v_usdt,liq_v_l_usdt,liq_v_s_usdt,cluster_max_avg,liq_l_max_avg,liq_s_max_avg,C-i,B/A,B-i,BVi,A/B,A-i,AVi,Liq L,Liq S,L-i L,L-i S,BVi_test,AVi_test
72,IQUSDT,454611,5232629432.10673,1114503905.9518828,264273344.0,273164749.0,2232873.793857,2304891.748528,2304891.748528,196264,3463260339.611127,737643898.905111,356121447.0,516915382.0,3199481.844977,4725093.284807,4725093.284807,17372959.0,0.008654499999999999,0.00853,0.008877,150354.2736655,32024.133841499995,73595.0,2024-02-18,0,1563,1018739.867621,,,74718.97166775001,,,2.0,0.5,1.0,14.9,2.1,0.7,21.3,,,,,2.2,3.1
141,UNIUSDT,21078880,281610468316.97925,231164803525.3056,12056196.21,13176648.16,130107714.02765,141625419.00739,141625419.00739,8834231,186620845375.1757,153190935382.13425,8826102.28,27585126.48,110865281.4974,354766156.15538,354766156.15538,86826.88,11.498000000000001,10.921,12.423,998335.4662400001,819500.86332,756407.0,2024-02-18,0,28188,24453932.79493,513882.9177,430388.7761,521539.81013599987,361642.48627999995,225035.44160000002,1.9,0.4,0.9,130.3,2.5,0.3,111.1,513.9,430.4,1.4,1.9,5.3,4.5
339,WLDUSDT,2243241,205363457585.586,33181857278.2584,24513245.5,26674049.4,199932834.4973,216906191.3611,216906191.3611,1610397,176519540272.392,28521365295.4848,5716575.2,9053632.4,51651031.3789,83133338.5038,83133338.5038,271860.5,8.298,8.277,8.894,2255898.429,364499.6076,3842802.0,2024-02-18,0,5847,15748268.9272,156386.2328642,13026.671132399999,1438935.5638200003,191217.64832292,179983.97913838,1.6,2.6,0.9,88.6,0.4,0.6,22.9,156.4,13.0,0.8,0.1,12.7,3.3
136,SUSHIUSDT,1232688,18210819358.2238,7228065206.8636,81116198.4,84309352.9,117598374.5772,122036565.1015,122036565.1015,347088,9797856680.5889,3888872081.0258,12871811.4,13466941.1,20376383.419800002,21360314.267500002,21360314.267500002,180067.3,1.4905,1.466,1.558,268390.31065,106526.9293,283363.0,2024-02-18,0,2955,3465863.9602,56490.3871,52018.9483,276967.89872,99640.80964000002,22036.14934,1.0,5.7,1.0,438.2,0.2,1.0,75.9,56.5,52.0,0.6,2.4,33.9,5.9
198,ADXUSDT,16013,294596416.1008,226236589.67360002,12621996.0,16183755.0,2635374.6267,3341323.8235,3341323.8235,11768,229095640.0336,175934985.8912,9249549.0,11526959.0,2034257.1,2556649.8932000003,2556649.8932000003,364954.0,0.2152,0.2102,0.2165,78538.1008,60313.6736,64831.0,2024-02-18,0,560,521495.1151,,,82173.78592,,,1.0,1.3,0.8,33.6,0.8,0.8,25.9,,,,,5.1,3.9
214,DYDXUSDT,2147666,74417798120.23933,28962345998.464203,32221026.3,33453995.78,99364891.65995,102973083.59172,102973083.59172,752677,44569946991.11788,17345987902.037823,41969853.73,44873858.37,146897421.29189,157499535.44675002,157499535.44675002,265523.91,3.2005,3.114,3.453,849809.2739549999,330733.65306000004,1230816.0,2024-02-18,0,14260,24368867.42125,133886.6863,336244.6717,1059328.9130580002,303937.98504000006,132878.21652,0.8,0.7,1.0,116.9,1.5,0.9,172.9,133.9,336.2,0.4,2.5,4.1,6.0
269,JASMYUSDT,3807997,29899570262.970993,17355944624.637333,2861987351.4,3004748425.5,37104273.4299755,38876165.7078342,38876165.7078342,2410904,24545365150.613327,14247963920.509449,403454379.9,569407998.7,5908223.2850375,8477098.1096905,8477098.1096905,19627616.4,0.01323,0.013118,0.014449,259673.36497199998,150733.82337299996,402005.0,2024-02-18,0,12479,4378712.8149468,138438.575385,464.210017,311793.21463362,89243.18783420001,34730.2879282,0.8,4.6,1.0,142.9,0.2,0.7,22.8,138.4,0.5,1.6,0.0,8.5,1.3
158,CAKEUSDT,810738,25321353471.355267,10871924975.914452,13252711.5,14067983.57,40652167.2185,43024865.73607,43024865.73607,400245,18602919964.368465,7987311990.030451,3271928.69,9596506.83,10763623.21762,32808707.43612,32808707.43612,157864.31,3.1855,3.096,3.255,502876.759505,215914.14565000002,370546.0,2024-02-18,0,5145,6687666.31863,40417.7467047,398.3790313,659633.047179,127470.2101114,38993.93071797,0.8,1.3,0.9,80.8,0.8,0.3,21.4,40.4,0.4,0.3,0.0,6.1,1.6
296,AGIXUSDT,13009179,70401252964.78401,18919623283.680004,28398211.0,31017615.0,21689691.59892,23597467.0131,23597467.0131,9924056,62659238960.02981,16839035477.946003,17988350.0,20298306.0,15233848.24129,17259806.24249,17259806.24249,437263.0,0.7834000000000001,0.77286,0.82733,342551.83420000004,92057.33400000002,531857.0,2024-02-18,0,11126,4674548.78366,145036.9113863,1866.1891176,462591.2655199999,97004.58330715999,73800.11552351,0.7,1.4,0.9,63.3,0.7,0.9,44.5,145.0,1.9,1.5,0.0,4.6,3.3
263,FXSUSDT,323477,6044395689.611199,5027170654.345199,861480.9,865571.0,6972019.3103,7002925.3237,7002925.3237,333695,6095861515.584799,5069975179.945799,412680.3,448757.9,3454209.7622,3770369.0492,3770369.0492,22125.2,8.277999999999999,8.151,8.325,183152.40559999997,152329.27259999997,480794.0,2024-02-18,0,1612,524883.0405,584.1957130000001,,263447.40387,58153.5767923,6317.97197267,0.7,1.9,1.0,38.1,0.5,0.9,18.9,0.6,,0.0,,13.3,6.6
