,coin,Unnamed: 0_x,cluster_v_usdt_x,cluster_v_buyer_usdt_x,v_4_vb,v_8_vb,v_4_b,v_8_b,d8_b,Unnamed: 0_y,cluster_v_usdt_y,cluster_v_buyer_usdt_y,v_4_va,v_8_va,v_4_a,v_8_a,d8_a,cluster_v,cluster_p,trade_min_p,trade_max_p,cluster_v_usdt,cluster_v_buyer_usdt,amount_max,till_date,Unnamed: 0,buyer,trades_v_usdt,liq_v_l_usdt,liq_v_s_usdt,cluster_max_avg,liq_l_max_avg,liq_s_max_avg,C-i,B/A,B-i,BVi,A/B,A-i,AVi,Liq L,Liq S,L-i L,L-i S,BVi_test,AVi_test
217,FIDAUSDT,86869,628571740.08772,163524283.26233998,18214523.3,18425824.8,6090021.23912,6158036.96879,6158036.96879,40914,451504816.73102,117459944.24618998,2189900.1,3093032.6,784885.55576,1121608.83991,1121608.83991,186354.80000000002,0.33995,0.3371,0.3545,63351.31426,16480.979969999997,323132.0,2024-02-18,0,1031,807457.35926,,,88827.4056385,,,0.7,5.5,1.0,96.1,0.2,0.7,12.4,,,,,7.5,1.0
112,FILUSDT,1756911,116072940222.85391,54929533155.96384,8668844.92,10428644.35,70388777.27175,83897668.78209,83897668.78209,1296571,103330413317.70143,48899350300.394875,6287727.54,12343082.71,54531639.83933,109147462.54352,109147462.54352,168690.43,8.496,8.2,8.572,1433193.89328,678234.49056,1236637.0,2024-02-18,0,8132,13965878.9251,209645.78720000002,162602.616,2097421.2521565,632751.03234,407537.11065999995,0.7,0.8,0.8,49.1,1.3,0.5,38.0,209.6,162.6,0.3,0.4,5.0,3.9
135,SUSHIUSDT,811364,7466551262.542351,5132356513.515,3626412.3,5359790.9,4594157.1135,6676661.4825,6676661.4825,214765,4057926707.6752505,2789336848.7250004,12201046.1,13404153.1,19053862.467100002,21008406.208,21008406.208,120268.3,1.4085,1.275,1.543,169397.90055000002,116440.695,283363.0,2024-02-18,0,2441,2700216.3945999998,18120.0423,49045.8962,276967.89872,99640.80964000002,18525.67813,0.6,0.3,0.7,27.1,3.1,0.9,112.5,18.1,49.0,0.2,2.6,1.7,7.1
166,GRTUSDT,581884,16197677538.364353,11826506544.511051,163649955.0,168944415.0,46234003.4159,47650017.0943,47650017.0943,281398,12462916315.603952,9099623141.717852,285085725.0,299395897.0,84544290.2837,88964252.2958,88964252.2958,1310193.0,0.28805000000000003,0.2845,0.2923,377401.09365000005,275554.10295000003,410573.0,2024-02-18,0,4615,4027742.6561,16063.7714,15354.13549,672763.4128850001,106242.730962,42962.53412000001,0.6,0.5,1.0,122.5,1.9,1.0,224.0,16.1,15.4,0.2,0.4,11.5,21.0
78,MDTUSDT,2816438,12360494263.288605,7944209739.134758,149537401.9,168048978.3,11797091.613544,13205120.397852,13205120.397852,1133654,8202626732.445106,5271907885.4246645,89151165.1,153807183.8,7636221.037801,13455109.086894,13455109.086894,1601746.6,0.08347,0.08,0.08489,133697.78870200002,85928.86760700001,366111.0,2024-02-18,0,11400,3239766.20007,5093.166124900001,613.2024036,227331.42798280003,61555.543977559995,10151.204943980001,0.6,1.0,0.9,88.2,1.0,0.6,57.1,5.1,0.6,0.1,0.1,3.6,2.4
218,FLOWUSDT,29156,1436891135.49828,498343718.7867601,39686387.17,39744447.07,37660334.98387,37712349.23449,37712349.23449,24075,1227770306.4606,425816267.65020007,39512616.44,39850888.1,38874714.82236,39225728.60768,39225728.60768,153315.29,0.966,0.954,0.978,148102.57014,51365.05038000001,327836.0,2024-02-18,0,781,1140692.19165,,376.24249999999995,237201.81815934996,69843.49376000001,17138.46771,0.6,1.0,1.0,254.3,1.0,1.0,262.5,,0.4,,0.0,33.0,34.1
146,1INCHUSDT,809839,6978375276.031321,1467862295.88667,11162149.2,11376148.1,4861044.33379,4948939.67205,4948939.67205,398356,5184218890.0656,1090471512.5436,3244484.8,4969715.1,1610074.65976,2505217.1742,2505217.1742,373405.2,0.45730000000000004,0.4374,0.4861,170758.19796000002,35918.03401,266707.0,2024-02-18,0,5357,2275488.3894,387.9596,8172.441,351765.87016449997,89104.29452000002,30988.327050000004,0.5,2.0,1.0,28.5,0.5,0.6,9.4,0.4,8.2,0.0,0.3,2.1,0.7
19,FETUSDT,3695548,30830386096.899998,18520223529.274998,24752305.0,25828065.0,28638482.5611,29812092.5124,29812092.5124,2284604,25082210060.025997,15067217629.3835,24256940.3,35118789.1,30248927.0613,44375679.2292,44375679.2292,239164.0,1.1735,1.1635,1.2336,280658.95399999997,168595.5715,2263752.0,2024-02-18,0,7034,4774012.9326,20834.951234,43727.4771023,615075.43512,169065.24369936,60775.47843659,0.5,0.7,1.0,102.0,1.5,0.7,107.8,20.8,43.7,0.1,0.7,6.0,6.3
200,ATAUSDT,31698,456940720.6407,445833325.2285,46303373.0,51758425.0,5760187.6972,6394233.504,6394233.504,19041,337810165.8111,329598616.8805,2650290.0,3111965.0,352624.4647,416960.3662,416960.3662,465111.0,0.12605,0.125,0.1311,58627.24155,57202.12025,209690.0,2024-02-18,0,639,389275.9287,2332.1104,,108012.83235,52141.991740000005,8789.452909999998,0.5,15.3,0.9,98.3,0.1,0.8,6.0,2.3,,0.0,,14.8,0.9
22,ICXUSDT,29740,514813745.90827996,161841674.25517005,4316399.3,4395182.1,1055357.04602,1073485.15925,1073485.15925,14808,337571310.90032,106122081.18148004,5278861.8,5390644.5,1326042.72746,1355785.06564,1355785.06564,236028.4,0.2471,0.2455,0.2499,58322.61764,18334.844710000005,930593.7,2024-02-18,0,127,162993.98408,982.917,,110790.883112,40750.49398,11133.01212,0.5,0.8,1.0,18.1,1.3,1.0,22.7,1.0,,0.0,,6.5,8.1
208,CLVUSDT,48003,361935616.77689993,36021833.16968999,86118411.5,87857061.8,5071624.553044,5169094.37326,5169094.37326,19449,185050586.3685,18417257.216849998,44419028.0,64350107.3,2716219.166199,3976770.089214,3976770.089214,590129.0,0.059899999999999995,0.05927,0.06,35348.7271,3518.1007099999993,169567.0,2024-02-18,0,208,118161.973878,,,73569.77900790001,,,0.5,1.3,1.0,143.5,0.8,0.7,76.8,,,,,42.9,23.0
